"";"YEAR";"Month";"DW_F";"N_F";"Ca_F";"Mg_F";"K_F";"S_F";"P_F";"DW_Brk";"N_Brk";"Ca_Brk";"Mg_Brk";"K_Brk";"S_Brk";"P_Brk";"DW_Brh";"N_Brh";"Ca_Brh";"Mg_Brh";"K_Brh";"S_Brh";"P_Brh";"DW_Bol";"N_Bol";"Ca_Bol";"Mg_Bol";"K_Bol";"S_Bol";"P_Bol"
"3";2005;1;6763,3305664;115,1233139;25,0243206;8,0668755;38,3814163;6,4241619;13,5283194;2351,1872559;5,3757172;3,1861327;1,1259832;4,0041265;0,2575727;0,7661349;4042,9660645;16,3090858;14,3121176;2,811254;9,0949669;1,0663919;"      1.8199837";28668,3476562;23,2325382;8,6005039;1,8516006;8,415041;11,1789112;1,6171831
"4";2005;2;6747,5400391;114,854538;24,9659004;8,0480413;38,2918053;6,409163;13,4967356;2452,048584;5,6290698;3,4433291;1,1605698;4,146235;0,2669849;0,8026176;4085,5517578;16,4808731;14,5974426;2,8324184;9,1741352;1,0759511;"      1.8412793";29235,4101562;23,6920815;8,7706232;1,8854185;8,5814924;11,400032;1,6455399
"5";2005;3;6746,0595703;114,8293228;24,9604168;8,0462751;38,2834053;6,4077568;13,4937725;2552,909668;5,882422;3,7005253;1,1951563;4,288343;0,2763971;0,8391002;4128,1376953;16,6526623;14,8827686;2,8535824;9,2533035;1,0855103;"      1.8625747";29802,4765625;24,1516266;8,9407415;1,9192365;8,7479439;11,6211529;1,6738967
"6";2005;4;6779,6147461;115,4004898;25,0845757;8,0862989;38,4738235;6,4396296;13,5608931;2794,9765625;6,4904675;4,3177962;1,2781639;4,6294026;0,2989865;0,9266586;4230,34375;17,0649567;15,5675497;2,904376;9,4433069;1,1084522;"      1.9136841";31163,4296875;25,25453;9,3490276;2,0003996;9,1474257;12,1518431;1,7419525
"7";2005;5;8685,671875;147,8447876;32,1369858;10,359724;49,2905617;8,2501001;17,373476;3501,0048828;8,263936;6,1181679;1,5202696;5,6241593;0,3648722;1,1820369;4528,4443359;18,267477;17,5648251;3,0525243;9,9974842;1,175366;"      2.0627530";35132,8828125;28,4713345;10,5398636;2,2371249;10,312582;13,6996861;1,9404494
"8";2005;6;8565,1044922;145,7925415;31,6908855;10,2159176;48,6063423;8,1355801;17,132309;3773,3303223;8,9479876;6,8125968;1,6136533;6,0078521;0,3902853;1,2805399;4643,4262695;18,731308;18,3352032;3,1096675;10,2112408;1,2011758;"      2.1202509";36663,953125;29,7120991;10,9991846;2,3284333;10,7619991;14,296711;2,0170124
"9";2005;7;8475,1308594;144,2610321;31,3579807;10,1086025;48,0957527;8,0501175;16,9523411;4045,6557617;9,63204;7,5070271;1,7070367;6,3915439;0,4156983;1,3790429;4758,4077148;19,1951351;19,1055794;3,16681;10,4249945;1,2269855;"      2.1777492";38195,03125;30,9528656;11,4585075;2,4197419;11,2114153;14,8937368;2,0935757
"10";2005;8;8344,3642578;142,0351715;30,8741474;9,9526348;47,3536606;7,925909;16,6907768;4045,6557617;9,63204;7,5070271;1,7070367;6,3915439;0,4156983;1,3790429;4758,4077148;19,1951351;19,1055794;3,16681;10,4249945;1,2269855;"      2.1777492";38195,03125;30,9528656;11,4585075;2,4197419;11,2114153;14,8937368;2,0935757
"11";2005;9;8078,3916016;137,5078583;29,890049;9,6353979;45,8442917;7,673274;16,1587658;4045,6557617;9,63204;7,5070271;1,7070367;6,3915439;0,4156983;1,3790429;4758,4077148;19,1951351;19,1055794;3,16681;10,4249945;1,2269855;"      2.1777492";38195,03125;30,9528656;11,4585075;2,4197419;11,2114153;14,8937368;2,0935757
"12";2005;10;7545,4589844;128,4364471;27,9181938;8,9997492;42,819931;7,1670671;15,0927687;4146,5170898;9,8853912;7,7642226;1,7416233;6,5336518;0,4251106;1,4155257;4800,9936523;19,3669224;19,3909054;3,1879745;10,5041618;1,2365446;"      2.1990445";38762,09375;31,4124088;11,6286259;2,4535599;11,3778667;15,1148567;2,1219323
