"";"Year";"N_PP";"Ca_PP";"Mg_PP";"K_PP";"S_PP";"P_PP";"N_PU";"Ca_PU";"Mg_PU";"K_PU";"S_PU";"P_PU";"N_AU";"Ca_AU";"Mg_AU";"K_AU";"S_AU";"P_AU";"N_Diff";"Ca_Diff";"Mg_Diff";"K_Diff";"S_Diff";"P_Diff"
"1";2005;2197552,546875;413604,5683595;97616,0571289;245097,8515624;169299,1904297;75157,4003904;329989,4296876;51116,6518555;16791,6005858;41886,1494142;18076,718567;12023,6901857;329989,4433593;52951,2804414;17864,3389663;54401,7585448;18076,7174071;12023,6900636;-0,0136717000277713;-1834,6285859;-1072,7383805;-12515,6091306;0,00115989999903832;0,000122099998407066
"2";2006;1795149,8359375;386663,6035154;83124,8491211;172136,1787108;159345,2373046;60041,1765137;330199,0075684;54755,0153806;18403,4362182;45963,5598143;20184,544861;13151,7077028;330199,0039063;56951,1596831;19687,5661926;61092,5382081;20184,542053;13151,7078249;0,00366210000356659;-2196,1443025;-1284,1299744;-15128,9783938;0,00280799999745796;-0,000122100000226055
"3";2007;1408226,4648437;360280,9160157;69059,7485352;100645,559082;149732,5966797;45474,6789549;330305,6936032;54296,4309082;18360,3554079;45897,3776857;20482,8908691;13106,5953979;330305,7094723;56691,7970733;19760,9730454;62575,9824217;20482,8862303;13106,5953979;-0,0158690999960527;-2395,3661651;-1400,6176375;-16678,604736;0,00463880000097561;0
"4";2008;1010637,7421874;335030,839844;54632,0153808;32137,7364502;140998,8867189;30557,371582;331105,3146973;53616,9433592;18353,482727;45961,3229979;20932,9689941;13089,3458251;331105,3149414;56215,1073456;19872,673233;64187,7457274;20932,9669191;13089,3468629;-0,000244099996052682;-2598,1639864;-1519,190506;-18226,4227295;0,00207500000033178;-0,00103780000063125
"5";2009;719437,9160156;325321,4492186;45286,973877;15207,1585694;139029,9492186;19847,6842043;330579,4763185;52875,9328612;18279,6972658;45818,8481443;21140,3782959;13023,367859;330579,5019532;55655,7323152;19905,090622;64796,6116943;21140,3759768;13023,367859;-0,0256346999667585;-2779,79945400001;-1625,3933562;-18977,76355;0,00231910000366042;0
"6";2010;645156,9941406;322767,6210936;37247,3265381;13497,2175294;141150,8935545;10120,9645995;329392,2919924;51958,7648923;18163,2897339;45561,9582521;21286,7506102;12923,9770509;329392,3176271;54930,569275;19900,954712;65336,1188965;21286,7501219;12923,977173;-0,0256346999667585;-2971,80438270001;-1737,6649781;-19774,1606444;0,000488299996504793;-0,000122100000226055
"7";2011;637010,7578125;240568,9316407;31766,0998536;14454,3608399;147894,0849609;5976,5854491;327553,843994;51248,5207521;18037,713562;45243,3645021;21176,242798;12824,585083;327553,8544919;40422,832428;19881,6202392;66019,8156739;21176,23999;12824,5853272;-0,0104979000170715;10825,6883241;-1843,9066772;-20776,4511718;0,00280800000109593;-0,000244200000452111
"8";2012;632637,0214843;67867,6013031;26846,3021241;17196,1560668;156190,4853515;6834,0058899;325474,6921387;50015,3762209;17879,602173;44876,5383301;21177,163086;12697,0911252;325474,6752927;37911,9618225;19827,5279848;66734,4938964;21177,1605227;12697,0911252;0,0168459999840707;12103,4143984;-1947,9258118;-21857,9555663;0,00256330000047456;0
"9";2013;965607,3925781;8701,0852052;39020,8538821;54691,0383302;194182,9443358;19588,4885864;324556,9394531;49514,8488771;17807,6464842;44706,0161132;21182,204712;12638,3484498;324556,9472656;37436,2280579;19827,6880798;67380,8509522;21182,2023923;12638,3493651;-0,0078125;12078,6208192;-2020,0415956;-22674,834839;0,00231970000095316;-0,000915299999178387
"10";2014;1068721,0859373;5765,7624511;52435,0590819;54286,1105957;225035,986328;24679,6085817;323639,0998533;49014,3168943;17735,6920778;44535,5026857;17877,9473877;12579,6069338;323639,0939939;36990,6299439;19863,0594635;65903,0344238;17877,9434813;12579,6069338;0,00585940002929419;12023,6869504;-2127,3673857;-21367,5317381;0,0039063999975042;0
"11";2015;1309867,7519531;3087,61084;72339,359375;22252,4169922;232169,5898435;35564,9803468;323629,0678709;48631,2309572;17702,236328;44482,7832031;16055,5338136;12546,1938478;323629,0778807;36559,9761047;19918,8359375;63240,0559083;16055,5319213;12546,1937258;-0,0100098000257276;12071,2548525;-2216,5996095;-18757,2727052;0,00189230000069074;0,000122000001283595
"12";2016;1659006,8671875;1588,6972656;97358,6391599;15152,0129393;236287,1875001;50586,708496;321933,2158202;48030,0395505;17597,2890013;44211,3039551;14995,1658935;12465,7423099;321933,2395018;36038,4060669;19891,6115112;62370,5065919;14995,1651612;12465,7432249;-0,0236815999960527;11991,6334836;-2294,3225099;-18159,2026368;0,000732299999071984;-0,000915000002351007
"13";2017;1993943,4921875;1588,7679443;121822,8027343;10800,0720214;236631,2402344;65011,2690429;321920,3125;47937,763672;17582,1643678;44181,0161132;14992,8878174;12450,423523;321920,2985838;35851,5432436;19965,4679413;62549,7319336;14992,8862304;12450,4224853;0,0139162000268698;12086,2204284;-2383,3035735;-18368,7158204;0,00158700000065437;0,0010376999998698
"14";2018;2386568,1328125;1268,6201171;148354,4765627;8412,1083985;237407,0839842;81501,3315429;318269,2529296;46701,8215332;17361,263611;43604,409424;14594,6801757;12282,2789918;318269,2736819;34727,0405885;19821,4168855;61506,5942383;14594,6783447;12282,2789918;-0,0207522999844514;11974,7809447;-2460,1532745;-17902,1848143;0,00183099999958358;0
"15";2019;2818483,484375;1752,8261719;176058,4355471;6679,1323242;238513,3300782;99420,8300781;314485,6296387;45739,9167479;16926,2890623;43033,4133301;13844,9608765;12128,6072389;314485,6413574;33921,8102721;19455,5286408;60515,750244;13844,9594115;12128,6083982;-0,0117186999996193;11818,1064758;-2529,2395785;-17482,3369139;0,00146500000118976;-0,00115929999992659
"16";2020;3334744,671875;2799,1011963;197339,00293;4819,6877136;239865,4960937;120567,0234374;315118,2182617;46022,3339842;14537,9784546;43109,6972658;13071,0178223;12149,4762571;315118,2414552;33886,2615662;17129,2648315;59731,9033205;13071,0161135;12149,4785769;-0,0231935000047088;12136,072418;-2591,2863769;-16622,2060547;0,00170880000041507;-0,00231979999989562
"17";2021;3877063,96875;3750,3447266;198982,9580078;3596,8505859;239090,4980469;143901,220703;298382,2050781;45306,4941408;14250,4718629;42930,2102051;12583,3985595;12084,3421021;298382,2014162;33207,5351563;16901,8474426;58999,6550291;12583,3963624;12084,3431398;0,00366189994383603;12098,9589845;-2651,3755797;-16069,444824;0,00219710000237683;-0,0010376999998698
"18";2022;4144667,34375;4136,3076172;199928,3320316;3324,8869629;239747,3847656;165406,4941406;263276,4030761;44920,610596;13926,9105837;42667,7097168;12109,4806517;10296,6601565;263276,3973391;32854,7182616;16634,7321778;58473,2011717;12109,4798585;10296,6602174;0,00573699997039512;12065,8923344;-2707,8215941;-15805,4914549;0,000793200000771321;-6,08999998803483e-05
"19";2023;4172045,78125;4510,2226562;199922,9472659;3288,297119;239709,3515625;169833,1474609;260722,0617677;45147,1047362;13893,788513;42832,6125489;11950,4492185;9926,7373048;260722,0737305;32737,860321;16657,4835663;58484,4135741;11950,447876;9926,7373048;-0,011962799995672;12409,2444152;-2763,6950533;-15651,8010252;0,0013424999997369;0
"20";2024;4208326,6875;4126,8894043;201081,5810547;4174,6662598;241848,0722656;171176,4257813;255731,1381835;44285,8645021;13459,2999266;42362,5786132;11205,211853;9578,4043577;255731,1506345;31470,8175964;16276,6308594;58251,0432128;11205,2110595;9578,4036905;-0,0124509999877773;12815,0469057;-2817,3309328;-15888,4645996;0,00079350000123668;0,000667199998133583
"21";2025;4332038,8125;8815,1026001;206836,9853515;7677,9754637;243538,5410156;175656,6738282;238182,1149902;37821,4890134;12053,5688474;34257,6160888;10177,1586304;9154,9805301;238182,1051025;26595,9244497;14234,1695021;45833,969505;10177,1575318;9154,9806522;0,0098876999982167;11225,5645637;-2180,6006547;-11576,3534162;0,00109859999975015;-0,000122100000226055
"22";2026;4779435,375;32929,7109372;221084,5781256;31635,0117192;252873,1171872;189543,7734372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23";2027;4779435,375;32929,7109372;221084,5781256;31635,0117192;252873,1171872;189543,7734372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
