"";"YEAR";"Litter_N_Min";"Litter_Ca_Min";"Litter_Mg_Min";"Litter_K_Min";"Litter_S_Min";"Litter_P_Min";"SOM_N_Min";"SOM_Ca_Min";"SOM_Mg_Min";"SOM_K_Min";"SOM_S_Min";"SOM_P_Min";"MB_NUP_SOM";"MB_CaUP_SOM";"MB_MgUP_SOM";"MB_KUP_SOM";"MB_SUP_SOM";"MB_PUP_SOM";"MB_NUP_DOC";"MB_CaUP_DOC";"MB_MgUP_DOC";"MB_KUP_DOC";"MB_SUP_DOC";"MB_PUP_DOC";"MB_NT";"MB_CaT";"MB_MgT";"MB_KT";"MB_ST";"MB_PT";"X";"Net_N_Minz";"Net_P_Minz";"Net_Ca_Minz";"Net_K_Minz";"Net_Mg_Minz";"Net_S_Minz"
"1";2005;240,5133525;37,5423482;17,0958006;10,0308727;11,0336606;7,6629113;340,2977104;6,78e-05;6,78e-05;6,78e-05;5,5604317;11,8749733;50,0606841;6,78e-05;6,78e-05;6,78e-05;0,1089463;0,902864;117,8806124;0,1820527;0,1820527;0,1820527;0,1820527;1,6090518;80,0634276;0,0856002;0,0856002;0,0856002;0,1395537;1,2094263;0;64,81026307;5,55255951816;14,972539196108;3,850718152044;4,110902905885;5,26169989576
"2";2006;175,5015882;25,6150481;11,9242864;10,2227385;7,3466194;5,7847931;339,7130574;0,0004494;0,0004494;0,0004494;5,548034;11,8411694;50,0159541;0,0004494;0,0004494;0,0004494;0,1088551;0,902017;115,9499389;0,180051;0,180051;0,180051;0,180051;1,5009248;141,5267744;0,1534753;0,1534753;0,1534753;0,2466129;2,0613369;0;55,897058938;4,99392417569;10,19350953934;3,926665665162;2,85454564064;4,07630152944
"3";2007;182,4688317;25,3763212;12,0092583;12,6771673;7,1410946;6,150769;339,284135;0,0009545;0,0009545;0,0009545;5,5358678;11,8096193;50,0032145;0,0009545;0,0009545;0,0009545;0,1088135;0,9017043;117,3339624;0,1811285;0,1811285;0,1811285;0,1811285;1,5074131;159,7235212;0,1736315;0,1736315;0,1736315;0,2774581;2,3090535;0;56,618660602;5,09548641944;10,097607951872;4,886074440434;2,875058939115;4,00616434834
"4";2008;188,4362096;25,1794627;12,0843912;14,7662829;6,9680773;6,4633989;338,9076241;0,0014978;0,0014978;0,0014978;5,5237997;11,7787951;50,0019467;0,0014978;0,0014978;0,0014978;0,1087876;0,9015775;118,5685129;0,1820937;0,1820937;0,1820937;0,1820937;1,5122797;165,7832672;0,1804281;0,1804281;0,1804281;0,28687;2,3827815;0;57,228544912;5,18125445871;10,018545858768;5,70271190326;2,893217447665;3,94651652598
"5";2009;193,2094531;24,9696592;12,1282989;16,4756554;6,8089604;6,7191489;338,551302;0,0020547;0,0020549;0,0020549;5,5117904;11,7482899;50,0066337;0,0020547;0,0020549;0,0020549;0,1087685;0,9015425;119,6431562;0,1803777;0,1829311;0,1829311;0,1829311;1,5203393;168,305416;0,1821075;0,1833757;0,1833757;0,2901437;2,4090726;0;57,696463846;5,24851671515;9,935375895512;6,370932771616;2,903821087235;3,89138499582
"6";2010;196,8378773;24,7536031;12,1480612;17,8118487;6,6628899;6,9280185;338,2046215;0,0026171;0,0026187;0,0026187;5,4998293;11,7180496;50,0159183;0,0026171;0,0026187;0,0026187;0,1087532;0,9015757;120,5809111;0,1729258;0,1836575;0,1836575;0,1836575;1,5301917;169,7268543;0,1799753;0,1851573;0,1851573;0,2916027;2,4234725;0;58,024622278;5,30078692108;9,852001063744;6,893294054702;2,90858479432;3,84048718102
"7";2011;199,3591501;24,5442723;12,1535623;18,8677949;6,530903;7,1011434;337,8654807;0,0031789;0,0031869;0,0031869;5,4879122;11,6880735;50,02947;0,0031789;0,0031869;0,0031869;0,1087412;0,9016707;121,4122162;0,1626459;0,1842967;0,1842967;0,1842967;1,5411307;170,7581311;0,1729856;0,186546;0,186546;0,292484;2,4353777;0;58,213738044;5,34173229614;9,772454572028;7,306120140398;2,909904580125;3,7941466311
"8";2012;200,9971761;24,3405949;12,1467752;19,7215293;6,410966;7,2371512;337,5324393;0,0037365;0,0037582;0,0037582;5,4760382;11,6583668;50,0472702;0,0037365;0,0037582;0,0037582;0,1087323;0,9018271;122,1508284;0,1600684;0,1848603;0,1848603;0,1848603;1,5532002;171,6126328;0,1662861;0,1877691;0,1877691;0,2931478;2,4474252;0;58,29303018;5,37091582266;9,69208523988;7,639916226656;2,908256846955;3,75170733434
"9";2013;202,0493946;24,1440501;12,1306496;20,4227426;6,3019192;7,3359404;337,2038544;0,004292;0,0043324;0,0043324;5,4642059;11,6289026;50,069297;0,004292;0,0043324;0,0043324;0,1087265;0,9020442;122,8106786;0,1514824;0,1853593;0,1853593;0,1853593;1,5578162;172,3602545;0,1602305;0,1888988;0,1888988;0,2937031;2,4552483;0;58,301959856;5,39095619996;9,616981493372;7,914106004386;2,904355797235;3,71279351548
"10";2014;202,5698167;23,9356127;12,1002654;20,9901402;6,1994092;7,4023876;336,8799792;0,0048354;0,004909;0,004909;5,4524149;11,5996215;50,0955373;0,0048354;0,004909;0,004909;0,1087237;0,9023218;123,3905231;0,1497534;0,1857922;0,1857922;0,1857922;1,5635564;173,0277442;0,1562777;0,1899603;0,1899603;0,2941865;2,4616721;0;58,248298192;5,40068880119;9,534358807972;8,13600330186;2,89700584371;3,67600982714
"11";2015;202,6077587;23,6017199;12,0437873;21,4483558;6,0962643;7,4417843;336,5600644;0,005372;0,0054877;0,0054877;5,440665;11,5704943;50,1258995;0,005372;0,0054877;0,0054877;0,108724;0,9026588;123,8700899;0,1460723;0,1861436;0,1861436;0,1861436;1,5656029;173,6018963;0,1542269;0,1909442;0,1909442;0,2945914;2,4656946;0;58,141682648;5,40323546429;9,402238214896;8,315245306902;2,88333408677;3,63906189542
"12";2016;202,7262538;23,1408204;11,978933;21,844646;5,9989583;7,4742856;336,2429791;0,0059005;0,0060684;0,0060684;5,4289562;11,5415284;50,1602383;0,0059005;0,0060684;0,0060684;0,1087268;0,9030529;124,2897319;0,1440436;0,1864454;0,1864454;0,1864454;1,5709415;174,1018591;0,1510826;0,1918653;0,1918653;0,2949345;2,4705764;0;58,05513014;5,40267701325;9,218552954748;8,47029589362;2,8676390358;3,60401499346
"13";2017;202,8268978;22,6299942;11,9086037;22,1607846;5,9074843;7,4992585;335,9293701;0,0064194;0,0066508;0,0066508;5,4172873;11,5127202;50,1983894;0,0064194;0,0066508;0,0066508;0,1087327;0,9035018;124,6609725;0,1179488;0,186708;0,186708;0,186708;1,5717387;174,5474586;0,1376012;0,1927408;0,1927408;0,2952329;2,4734182;0;57,973341356;5,401242328;9,024499953248;8,594024798852;2,850623226825;3,57086319016
"14";2018;202,881829;22,1198502;11,8361832;22,39983;5,8222426;7,5177233;335,6187715;0,0068935;0,0072341;0,0072341;5,4056581;11,4841159;50,2401875;0,0068935;0,0072341;0,0072341;0,1087411;0,904003;124,993748;0,1181992;0,1869385;0,1869385;0,1869385;1,5851627;174,94948;0,1284548;0,1935788;0,1935788;0,2954947;2,4826922;0;57,89095935;5,39394471205;8,82014429382;8,687624707088;2,83310717234;3,53973248132
"15";2019;202,8810094;21,6354842;11,7639553;22,5628283;5,7433014;7,5307124;335,3108426;0,0073503;0,007819;0,007819;5,3940678;11,4558341;50,2854566;0,0073503;0,007819;0,007819;0,1087522;0,9045538;125,2969388;0,1123952;0,1871449;0,1871449;0,1871449;1,5962874;175,3189297;0,1229361;0,1943884;0,1943884;0,2957296;2,4940047;0;57,805287848;5,38576324327;8,628538853868;8,751501768352;2,81564417567;3,51064191058
"16";2020;202,8523512;21,1950196;11,6948805;22,6484445;5,671176;7,5402172;335,0060165;0,0077935;0,008405;0,008405;5,3825178;11,4277518;50,3340019;0,0077935;0,008405;0,008405;0,1087653;0,9051519;125,5792266;0,1109461;0,1873339;0,1873339;0,1873339;1,5932964;175,6643774;0,1200145;0,1951765;0,1951765;0,2959445;2,4971571;0;57,719079754;5,38093610422;8,45277661892;8,785131209288;2,79895203638;3,48375498394
