"";"id";"YEAR";"Month";"Ca";"Mg";"K";"Na";"NO3";"NH4";"SO4";"Cl";"P";"DOC";"Al";"Si";"H";"pH";"R";"HR";"group_id";"Date"
"1";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2005;1;2,124577;2,3657048;2,3153071;3,586283;1,0105116;0,0202641;3,3899622;8,0204525;0,1691047;7,0070887;2e-07;2,3915844;NA;NA;NA;NA;1;2005-01-01
"2";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2005;2;0,5905812;0,6517311;0,5112505;0,778397;0,4307806;0,0059136;0,5947236;1,3607283;0,1061192;4,6554213;5e-07;0,8829637;NA;NA;NA;NA;1;2005-02-01
"3";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2005;3;1,3738624;1,4933846;1,0999779;1,7744584;0,8599236;0,0187624;1,1885004;3,6418998;0,2407033;11,3554201;7e-07;1,6619759;NA;NA;NA;NA;1;2005-03-01
"4";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2005;4;0,9521602;1,0216441;0,5812128;0,9079959;0,685982;0,0102842;0,4671519;2,1276283;0,1823496;9,1707907;2,1e-06;1,8565292;NA;NA;NA;NA;1;2005-04-01
"5";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2005;5;0,4483945;0,4758519;0,2099074;0,3183943;0,3860136;0,0035688;0,1210436;0,5213858;0,1142372;5,6853738;6,1e-06;1,1129754;NA;NA;NA;NA;1;2005-05-01
"6";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2005;6;0,8963103;0,9401686;0,3278971;0,4819133;0,8242085;0,0051677;0,151066;0,6155241;0,1932018;12,2735634;2,05e-05;2,5596662;NA;NA;NA;NA;1;2005-06-01
"7";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2005;7;0;0;0;0;0;0;0;0;0;0;4e-07;0;NA;NA;NA;NA;1;2005-07-01
"8";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2005;8;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2005-08-01
"9";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2005;9;0;0;0;0;0;0;0;0;0;0;1e-07;0;NA;NA;NA;NA;1;2005-09-01
"10";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2005;10;0,6434764;0,6784918;0,1860858;0,305301;0,5994738;0,001213;0,0672297;0,5834876;0,0612482;6,3774624;3,7e-06;2,9852335;NA;NA;NA;NA;1;2005-10-01
"11";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2005;11;5,4125381;5,6577015;3,9830561;7,1101217;4,1614881;0,0527922;3,8182087;14,0495586;0,1962295;43,2064972;7e-07;20,2384205;NA;NA;NA;NA;1;2005-11-01
"12";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2005;12;1,6310683;1,6870112;1,6035802;3,1287081;0,7543787;0,0277801;2,0773051;6,9807134;0,1311514;8,6300554;4e-07;2,9613192;NA;NA;NA;NA;1;2005-12-01
"13";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2006;1;1,8415073;1,871675;2,1225431;4,4122543;0,5148476;0,0516518;3,2861211;8,9809723;0,1975945;8,6678267;3e-07;1,7063651;NA;NA;NA;NA;1;2006-01-01
"14";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2006;2;0,451786;0,4559756;0,438505;0,8516944;0,392011;0,0113505;0,5733536;0,9657729;0,0940835;4,3491716;6e-07;0,8412974;NA;NA;NA;NA;1;2006-02-01
