"";"V1";"Ca_Wet";"Mg_Wet";"K_Wet";"NO3_Wet";"NH4_Wet";"Ntot_Wet";"SO4_Wet";"Na_Wet";"Cl_Wet";"K_Folx";"NO3_Folx";"NH4_Folx";"Ntot_Folx";"SO4_Folx";"Na_Folx";"Cl_Folx";"Ca_WTH";"Mg_WTH";"K_WTH";"Na_WTH";"Al_WTH";"Si_Wet";"P_WTH";"V79";"Year";"N_TU";"Ca_TU";"Mg_TU";"K_TU";"S_TU";"P_TU";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_L_Min";"Ca_L_Min";"Mg_L_Min";"K_L_Min";"S_L_Min";"P_L_Min";"N_SOM_Min";"Ca_SOM_Min";"Mg_SOM_Min";"K_SOM_Min";"S_SOM_Min";"P_SOM_Min";"V26"
"1";"        2005";1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;5,6255026;0;0;0;0;0;0;0,2199629;0,2502201;0,3706568;0,044428;1,2435198;2,0558033;0,0805906;NA;2005;46,5855331;20,6149712;4,9024796;24,0008469;6,0985904;4,7420201;29,3624172;8,5099993;2,7432957;11,0944881;1,6400275;3,4504182;29,4778957;12,9689007;3,4392321;3,2336314;3,1609852;0,2278494;35,6494827;-0,0052856;-0,0032054;-0,0051564;4,3834929;5,3029861;NA
"2";"        2006";1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;5,6255026;0;0;0;0;0;0;0,2208578;0,2510277;0,3730016;0,0443329;1,249584;2,0635562;0,0811548;NA;2006;46,618576;23,1760406;5,0641289;24,2490902;6,4752021;5,1087036;29,3624172;8,5099993;2,7432957;11,0944881;1,6400275;3,4504182;23,3827915;9,447031;2,5980089;4,0659313;2,2198153;0,2172129;24,6852074;-0,0101905;-0,00618;-0,0099414;4,5150609;5,2470284;NA
"3";"        2007";1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;5,7780786;0;0;0;0;0;0;0,2208461;0,2489129;0,3691239;0,0437329;1,2386914;2,0452178;0,0822729;NA;2007;46,633522;23,0256424;5,0696926;24,3757858;6,5739837;5,0947318;29,3624172;8,5099993;2,7432952;11,0944881;1,6400275;3,4504182;25,0051479;9,5380793;2,6908839;5,3561587;2,1806748;0,2353481;21,9559288;-0,0116277;-0,0070515;-0,0113434;4,5562663;5,1177959;NA
"4";"        2008";1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;5,9794846;0;0;0;0;0;0;0,2222123;0,2456434;0,3623284;0,0430234;1,2209686;2,0165508;0,0849473;NA;2008;46,7455292;22,7974072;5,0891876;24,60219;6,7184362;5,0893888;29,3624096;8,5099993;2,7432952;11,0944862;1,6400273;3,4504182;26,3043442;9,5962896;2,7629828;6,415647;2,1442988;0,2498484;20,6670284;-0,0120976;-0,0073365;-0,0118019;4,5921354;5,0794878;NA
"5";"        2009";1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;6,1499043;0;0;0;0;0;0;0,2265588;0,2425074;0,3551223;0,0424783;1,2037773;1,989074;0,089939;NA;2009;46,6718674;22,5377216;5,0891633;24,7169113;6,7850041;5,0689516;29,3624172;8,5099993;2,7432952;11,0944834;1,6400273;3,4504182;27,3324814;9,6252594;2,8173916;7,2846112;2,1096618;0,2613573;19,791151;-0,0122805;-0,0074474;-0,0119803;4,5857172;5,0470314;NA
"6";"        2010";1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;6,3048306;0;0;0;0;0;0;0,2307875;0,2404448;0,3502766;0,0421561;1,1928226;1,9713982;0,0943138;NA;2010;46,5055885;22,2040501;5,0771523;24,7713985;6,8319826;5,0381665;29,3624172;8,5099983;2,7432954;11,0944834;1,6400273;3,4045944;28,1406364;9,6316423;2,8576217;7,9969268;2,0768275;0,2702216;19,1502399;-0,0123753;-0,0075049;-0,0120728;4,5592608;5,0115666;NA
"7";"        2011";1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;6,4287739;0;0;0;0;0;0;0,2327711;0,2381666;0,3458194;0,0416504;1,1812128;1,9520235;0,097063;NA;2011;46,2480812;21,9465313;5,0596557;24,7707825;6,7965159;5,0073829;28,9855003;8,5100021;2,7432959;11,0944881;1,6400278;3,3529251;28,7459621;9,6208048;2,8865361;8,5804777;2,0458186;0,2765251;18,56637;-0,0121067;-0,0075435;-0,0121349;4,4734807;4,9794612;NA
"8";"        2012";1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;6,5209513;0;0;0;0;0;0;0,2340202;0,2362284;0,3428866;0,0410839;1,1723554;1,9361012;0,0992129;NA;2012;45,9568443;21,4794388;5,0329132;24,7195301;6,7968102;4,9678912;28,554409;8,5099983;2,7375779;11,0367537;1,6400267;3,3113906;29,1417809;9,5970602;2,9060905;9,05443;2,016628;0,2807391;18,0444775;-0,0112176;-0,0075737;-0,0121834;4,3899307;4,9395652;NA
"9";"        2013";1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;6,5660362;0;0;0;0;0;0;0,2342172;0,2349351;0,3414467;0,0406223;1,1668841;1,9256517;0,1002382;NA;2013;45,8283043;21,3025723;5,0204501;24,6979446;6,7984285;4,949698;28,3551369;8,5100012;2,7112784;10,9286051;1,6400275;3,2932017;29,3767796;9,5638542;2,9162595;9,4286375;1,9892246;0,2834476;17,6912937;-0,0107498;-0,0074316;-0,0122238;4,3096991;4,9220819;NA
"10";"        2014";1,4758315;2,2721844;0,9012563;3,5374987;0,5863439;4,1238427;9,5069981;19,5200577;34,5289688;6,6195745;0;0;0;0;0;0;0,2340869;0,2340174;0,3402558;0,0403221;1,1627017;1,9180598;0,1007056;NA;2014;45,6997528;19,0370045;5,0089116;24,6848145;6,8000474;4,9315033;28,1921806;8,5099993;2,6911557;10,8425522;1,6400275;3,2782764;29,5097637;9,5239391;2,9171095;9,7167625;1,9635595;0,2851499;17,4241371;-0,0105419;-0,0072808;-0,0122584;4,226263;4,9048023;NA
