"";"Year";"Month";"RF";"PET";"AET";"TF";"In";"Date"
"1";2005;1;388,7042236;60,0750084;5,7144446;310,0946655;78,6095657;2005-01-01
"2";2005;2;297,0076904;47,5499954;9,6244774;235,7398834;61,2677803;2005-02-01
"3";2005;3;288,5163269;64;23,2565498;227,9405823;60,5757523;2005-03-01
"4";2005;4;198,0730286;58,8800087;35,3746529;154,0559082;44,0171547;2005-04-01
"5";2005;5;128,1595001;70,9760056;41,0642242;96,447998;31,7115116;2005-05-01
"6";2005;6;82,6263809;108,9000092;53,8416443;59,3896294;23,2367458;2005-06-01
"7";2005;7;23,9153481;135;75,6461945;12,0180149;11,8973303;2005-07-01
"8";2005;8;26,816597;127,0000076;70,8610001;14,9521389;11,864459;2005-08-01
"9";2005;9;66,3434219;94,4000015;47,5023918;46,0376129;20,3058167;2005-09-01
"10";2005;10;175,3826447;68,2499924;18,4871368;135,1709747;40,2116814;2005-10-01
"11";2005;11;397,0556641;80,9325027;10,4878836;317,2216492;79,8340302;2005-11-01
"12";2005;12;427,3991089;64,1148529;6,8659534;341,8245239;85,5746384;2005-12-01
"13";2006;1;388,7042236;60,0750084;5,7144446;310,0946655;78,6095657;2006-01-01
"14";2006;2;297,0076904;47,5499954;9,6244774;235,7398834;61,2677803;2006-02-01
"15";2006;3;288,5163269;64;23,2565498;227,9405823;60,5757523;2006-03-01
"16";2006;4;198,0730286;58,8800087;35,3746529;154,0559082;44,0171547;2006-04-01
"17";2006;5;128,1595001;70,9760056;41,0642242;96,447998;31,7115116;2006-05-01
"18";2006;6;82,6263809;108,9000092;53,8416443;59,3896294;23,2367458;2006-06-01
"19";2006;7;23,9153481;135;75,6461945;12,0180149;11,8973303;2006-07-01
"20";2006;8;26,816597;127,0000076;70,8610001;14,9521389;11,864459;2006-08-01
"21";2006;9;66,3434219;94,4000015;47,5023918;46,0376129;20,3058167;2006-09-01
"22";2006;10;175,3826447;68,2499924;18,4871368;135,1709747;40,2116814;2006-10-01
"23";2006;11;397,0556641;80,9325027;10,4878836;317,2216492;79,8340302;2006-11-01
"24";2006;12;427,3991089;64,1148529;6,8659534;341,8245239;85,5746384;2006-12-01
"25";2007;1;388,7042236;17,8000011;0;310,0946655;78,6095657;2007-01-01
"26";2007;2;297,0076904;31,7000027;1,6514349;235,7398834;61,2677803;2007-02-01
"27";2007;3;288,5163269;51,2000046;12,8261366;227,9405823;60,5757523;2007-03-01
"28";2007;4;198,0730286;73,5999985;53,7922859;154,0559082;44,0171547;2007-04-01
"29";2007;5;128,1595001;110,8999863;72,189827;96,447998;31,7115116;2007-05-01
"30";2007;6;82,6263809;108,9000092;53,8416443;59,3896294;23,2367458;2007-06-01
"31";2007;7;23,9153481;135;75,6461945;12,0180149;11,8973303;2007-07-01
"32";2007;8;26,816597;127,0000076;70,8610001;14,9521389;11,864459;2007-08-01
"33";2007;9;66,3434219;94,4000015;47,5023918;46,0376129;20,3058167;2007-09-01
"34";2007;10;175,3826447;45,5000038;5,1600752;135,1709747;40,2116814;2007-10-01
"35";2007;11;397,0556641;21,8000031;0;317,2216492;79,8340302;2007-11-01
"36";2007;12;427,3991089;15,7000008;0;341,8245239;85,5746384;2007-12-01
