"";"YEAR";"Litter_N_Min";"Litter_Ca_Min";"Litter_Mg_Min";"Litter_K_Min";"Litter_S_Min";"Litter_P_Min";"SOM_N_Min";"SOM_Ca_Min";"SOM_Mg_Min";"SOM_K_Min";"SOM_S_Min";"SOM_P_Min";"MB_NUP_SOM";"MB_CaUP_SOM";"MB_MgUP_SOM";"MB_KUP_SOM";"MB_SUP_SOM";"MB_PUP_SOM";"MB_NUP_DOC";"MB_CaUP_DOC";"MB_MgUP_DOC";"MB_KUP_DOC";"MB_SUP_DOC";"MB_PUP_DOC";"MB_NT";"MB_CaT";"MB_MgT";"MB_KT";"MB_ST";"MB_PT";"X";"Net_N_Minz";"Net_P_Minz";"Net_Ca_Minz";"Net_K_Minz";"Net_Mg_Minz";"Net_S_Minz"
"1";2005;240,5133525;37,5423482;17,0958006;10,0308727;11,0336606;7,6629113;340,3556412;6,87e-05;6,87e-05;6,87e-05;5,5604325;11,8750229;92,3149936;6,87e-05;6,87e-05;6,87e-05;0,1089463;0,9028691;204,5084416;0,1812285;0,1812285;0,1812285;0,1812285;1,6103055;132,0307727;0,0853839;0,0853839;0,0853839;0,139337;1,210679;0;52,690477294;5,55218660839;14,972869863184;3,851040749642;4,11110344644;5,26196439076
"2";2006;175,5015882;25,6150481;11,9242864;10,2227385;7,3466194;5,7847931;339,9940213;0,000452;0,000452;0,000452;5,5480367;11,8413469;92,2328913;0,000452;0,000452;0,000452;0,1088558;0,9020372;180,7045792;0,1792128;0,1792128;0,1792128;0,1792128;1,481586;207,0596322;0,1528158;0,1528158;0,1528158;0,2459526;2,0503357;0;46,870744242;4,9999683738;10,193846498348;3,926994401146;2,85474999708;4,07657112198
"3";2007;182,4688317;25,3763212;12,0092583;12,6771673;7,1410946;6,150769;339,8031483;0,0009585;0,0009585;0,0009585;5,535872;11,8098754;92,2048024;0,0009585;0,0009585;0,0009585;0,1088149;0,9017412;186,7765183;0,1802685;0,1802685;0,1802685;0,1802685;1,5020181;228,4845069;0,1728365;0,1728365;0,1728365;0,2766616;2,3005027;0;46,969364638;5,09723656511;10,097954208512;4,886412247154;2,875268934315;4,00644141086
"4";2008;188,435335;25,1793734;12,0843436;14,7661746;6,9680558;6,4633659;339,6844699;0,001503;0,0015031;0,0015031;5,5238049;11,779282;92,1955017;0,001503;0,0015031;0,0015031;0,1087897;0,9016318;191,4494981;0,1778375;0,1812138;0,1812138;0,1812138;1,5083815;238,5503866;0,1786673;0,1795812;0,1795812;0,2860204;2,3774187;0;47,133842952;5,18260230408;10,020217869564;5,703015655622;2,893421026345;3,94679339614
"5";2009;193,204615;24,9691653;12,1280361;16,4735455;6,8088414;6,7189674;339,5965871;0,0020589;0,0020616;0,0020616;5,5117968;11,7489992;92,1954768;0,0020589;0,0020616;0,0020616;0,1087714;0,9016149;192,8589773;0,1630609;0,1820333;0,1820333;0,1820333;1,5111886;242,7746697;0,1721244;0,1825014;0,1825014;0,2892663;2,4016655;0;47,591911472;5,2515141466;9,942119524108;6,370461484324;2,90397705242;3,89163673094
"6";2010;196,8187536;24,7530548;12,1477681;17,8076941;6,6627577;6,9278165;339,5228893;0,0026036;0,0026268;0,0026268;5,4998371;11,7189152;92,2022503;0,0026036;0,0026268;0,0026268;0,1087567;0,9016664;196,3575677;0,1555108;0,1827441;0,1827441;0,1827441;1,5167842;246,2409803;0,1636706;0,1842646;0,1842646;0,290706;2,4123273;0;47,597770528;5,30514474075;9,858755152176;6,892029977264;2,90873752694;3,84074013442
"7";2011;199,3146143;24,5436443;12,1532271;18,8633876;6,5307522;7,1009228;339,4652843;0,0031399;0,0031965;0,0031965;5,487922;11,6890605;92,2152324;0,0031399;0,0031965;0,0031965;0,1087453;0,9017799;199,1897077;0,1486324;0,1833696;0,1833696;0,1833696;1,5267504;249,7340411;0,1569727;0,1856389;0,1856389;0,2915723;2,4220984;0;47,542626726;5,34642322913;9,777803315368;7,30476320521;2,9100507747;3,79439865476
"8";2012;200,9430929;24,3401016;12,1465118;19,717619;6,4108475;7,2379911;339,4190234;0,0036722;0,0037695;0,0037695;5,4760493;11,6594533;92,2343429;0,0036722;0,0037695;0,0037695;0,1087371;0,9019548;199,6687907;0,148097;0,1839208;0,1839208;0,1839208;1,5357589;251,407343;0,1530101;0,1868499;0,1868499;0,2922232;2,4316015;0;47,697065584;5,37691399935;9,696659434368;7,638759121346;2,908423919525;3,7519741056
"9";2013;201,9669086;24,1398908;12,1287979;20,4163383;6,3010808;7,3373654;339,3792924;0,004204;0,0043452;0,0043452;5,4642183;11,630111;92,2595633;0,004204;0,0043452;0,0043452;0,1087318;0,902191;201,62852;0,1485868;0,1844066;0,1844066;0,1844066;1,5462205;253,4550077;0,1526153;0,1879686;0,1879686;0,2927666;2,441836;0;47,56047534;5,39536295223;9,61643978608;7,911979542362;2,904140406325;3,7128341355
"10";2014;202,4793739;23,8675931;12,0931719;20,9802792;6,1961965;7,4037209;339,3504992;0,0047378;0,0049236;0,0049236;5,4524291;11,6010103;92,2908246;0,0047378;0,0049236;0,0049236;0,1087299;0,9024876;203,2934332;0,1490067;0,1848212;0,1848212;0,1848212;1,5515102;255,6928959;0,1532053;0,1890144;0,1890144;0,2932332;2,4494194;0;47,395101586;5,4052625437;9,507359406392;8,132533197968;2,895521318615;3,67529569064
"11";2015;202,7415305;23,4481975;12,0395154;21,4444313;6,0943295;7,4481804;339,3277274;0,0052733;0,0055036;0,0055036;5,4406812;11,5720864;92,3279921;0,0052733;0,0055036;0,0055036;0,1087309;0,9028432;203,1457969;0,1493596;0,185168;0,185168;0,185168;1,5558958;256,1848087;0,1540219;0,1899878;0,1899878;0,2936273;2,4551047;0;47,44928454;5,4087156987;9,339355604512;8,314098562562;2,88253678555;3,63875956962
"12";2016;203,091624;22,9634858;11,9822372;21,8262504;6,0004539;7,4873262;339,3058633;0,0058103;0,0060857;0,0060857;5,4289735;11,5433157;92,3708722;0,0058103;0,0060857;0,0060857;0,1087345;0,9032563;203,9215917;0,1478218;0,1854752;0,1854752;0,1854752;1,5569489;257,0000822;0,1545208;0,1909106;0,1909106;0,2939708;2,4581999;0;47,386625384;5,4116027221;9,145934040468;8,463489674682;2,868682133485;3,60481107532
"13";2017;203,3511652;22,4731425;11,9182842;22,0839836;5,9118662;7,5170699;339,2898568;0,0063468;0,0066695;0,0066695;5,417306;11,5147115;92,4192521;0,0063468;0,0066695;0,0066695;0,108741;0,9037242;205,4182948;0,1473244;0,1857411;0,1857411;0,1857411;1,5637185;258,6428262;0,154198;0,1917892;0,1917892;0,2942716;2,46359;0;47,211181808;5,40985908013;8,949838405324;8,56438249376;2,85321562243;3,57258401066
"14";2018;203,57759;22,0074538;11,8546432;22,2512301;5,8306001;7,5413407;339,2782365;0,0068807;0,0072546;0,0072546;5,405678;11,4862606;92,4729121;0,0068807;0,0072546;0,0072546;0,1087502;0,904245;204,9759349;0,1453563;0,1859803;0,1859803;0,1859803;1,5636545;258,7416249;0,1527763;0,1926346;0,1926346;0,2945401;2,466267;0;47,303184824;5,40858432396;8,764211703432;8,629907770312;2,837831748375;3,54272547468
"15";2019;203,7393272;21,5770149;11,7917364;22,337752;5,7558798;7,5601559;339,2665387;0,0074105;0,0078413;0,0078413;5,3940895;11,4580173;92,5315851;0,0074105;0,0078413;0,0078413;0,108762;0,9048162;206,206302;0,1441496;0,1861972;0,1861972;0,1861972;1,5765937;259,9289457;0,1518209;0,1934545;0,1934545;0,2947843;2,4751601;0;47,151938946;5,40165717115;8,592404929608;8,663880687178;2,822632130525;3,51498533526
"16";2020;203,8048415;21,1910541;11,7288517;22,3481435;5,6865569;7,5731411;339,2641383;0,0079382;0,0084287;0,0084287;5,3825407;11,4301065;92,5950352;0,0079382;0,0084287;0,0084287;0,108776;0,905435;207,7834041;0,1443553;0,1863928;0,1863928;0,1863928;1,5897214;262,1487464;0,1519877;0,1942529;0,1942529;0,2950081;2,4874363;0;46,939980598;5,39296906414;8,43785632412;8,668096741812;2,80744323118;3,48899515888
"17";2021;203,7405359;20,8555531;11,6645291;22,2975369;5,6212609;7,5795958;339,2687864;0,0084649;0,0090174;0,0090174;5,3710309;11,4023925;92,6630176;0,0084649;0,0090174;0,0090174;0,1087925;0,9060994;207,1832792;0,1437508;0,1865669;0,1865669;0,1865669;1,5859022;262,5913125;0,1519842;0,1950308;0,1950308;0,295213;2,4908221;0;47,015646034;5,38756786517;8,303854283072;8,648472673652;2,79191039178;3,46431540294
"18";2022;203,581713;20,5724945;11,6006858;22,2022877;5,5602501;7,5812463;339,2789268;0,0089902;0,0096072;0,0096072;5,3595601;11,374901;92,7352795;0,0089902;0,0096072;0,0096072;0,108811;0,9068066;208,8192076;0,127727;0,1867236;0,1867236;0,1867236;1,7632646;265,8274384;0,1448985;0,1957897;0,1957897;0,2953999;2,5267199;0;46,765800508;5,32463577219;8,197047935852;8,611401474874;2,77649854267;3,44102756396
"19";2023;203,3128417;20,3296634;11,5362524;22,0817822;5,5025192;7,5777946;339,3197812;0,0094864;0,0101977;0,0101977;5,3481277;11,3508568;92,8115901;0,0094864;0,0101977;0,0101977;0,1088314;0,9075542;210,120702;0,1189181;0,1868641;0,1868641;0,1868641;1,7714649;272,2702865;0,134665;0,1965318;0,1965318;0,2955714;2,6337053;0;46,551668926;5,31358065905;8,103460056092;8,564462175484;2,7609473773;3,41880876568
"20";2024;203,0069163;20,1194901;11,4748568;21,9510465;5,4492595;7,5721944;339,3752746;0,009956;0,0107889;0,0107889;5,3367333;11,3271189;92,8916722;0,009956;0,0107889;0,0107889;0,1088538;0,9083395;209,3208414;0,1116459;0,1869946;0,1869946;0,1869946;1,7662198;274,2668475;0,1262422;0,1972613;0,1972613;0,2957311;2,6631212;0;46,62858893;5,30611905695;8,022333608152;8,513527255984;2,746137149855;3,39803882292
"21";2025;202,7170577;19,9308078;11,4189891;21,8208452;5,4012123;7,5665953;339,4322596;0,0104061;0,011381;0,011381;5,3253773;11,3035846;92,97529;0,0104061;0,011381;0,011381;0,1088782;0,9091606;210,2078704;0,1118031;0,1871211;0,1871211;0,1871211;1,7758606;275,6939698;0,1232031;0,1979836;0,1979836;0,2958848;2,6771648;0;46,471802566;5,29411068721;7,946834672208;8,462803191998;2,73267166945;3,3789536011
"22";2026;202,4290146;19,7572896;11,3674435;21,6949155;5,3574985;7,560568;339,4966232;0,0108511;0,0119738;0,0119738;5,3140594;11,2802081;93,0622127;0,0108511;0,0119738;0,0119738;0,108904;0,9100144;211,1584278;0,111956;0,1872433;0,1872433;0,1872433;1,7774335;277,9759884;0,1227753;0,1987015;0,1987015;0,2960349;2,6838274;0;46,3074094;5,28451720322;7,877412580372;8,41375119308;2,7202578907;3,36127126076
