"";"V1";"Ca_Wet";"Mg_Wet";"K_Wet";"NO3_Wet";"NH4_Wet";"Ntot_Wet";"SO4_Wet";"Na_Wet";"Cl_Wet";"K_Folx";"NO3_Folx";"NH4_Folx";"Ntot_Folx";"SO4_Folx";"Na_Folx";"Cl_Folx";"Ca_WTH";"Mg_WTH";"K_WTH";"Na_WTH";"Al_WTH";"Si_Wet";"P_WTH";"V79";"Year";"N_TU";"Ca_TU";"Mg_TU";"K_TU";"S_TU";"P_TU";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_L_Min";"Ca_L_Min";"Mg_L_Min";"K_L_Min";"S_L_Min";"P_L_Min";"N_SOM_Min";"Ca_SOM_Min";"Mg_SOM_Min";"K_SOM_Min";"S_SOM_Min";"P_SOM_Min";"V26"
"1";"        2005";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;4,671906;0;0;0;0;0;0;0,5408752;0,6841785;0,9499947;0,1019581;3,3636646;5,5308361;0,1833626;NA;2005;35,2049789;17,170763;3,5227361;18,3853416;2,014662;3,4167979;26,8229275;7,060205;2,0077941;7,71315;1,2274824;2,0844312;8,5917835;3,7796714;1,0391767;1,0086856;0,1026311;0,6045595;-401,6073303;0;0;-0,0009044;-22,1379642;-37,6828156;NA
"2";"        2006";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;5,3895454;0;0;0;0;0;0;0,5797572;0,6832559;0,9432066;0,1003806;3,359345;5,5158858;0,2189653;NA;2006;39,2049904;19,3239098;3,9479537;20,8889675;2,2544148;3,8089252;27,4480991;7,2247601;2,0545902;7,892921;1,2560916;2,1330132;9,7953424;4,0221605;1,1098833;1,4263318;0,1719294;0,701178;-83,2856445;0;0;-0,0022353;-3,9694746;-6,1119084;NA
"3";"        2007";1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;5,8784666;0;0;0;0;0;0;0,6319303;0,6984568;0,9618592;0,1040539;3,4374516;5,6425648;0,2553304;NA;2007;38,948082;18,6472473;3,9343355;21,2089272;2,2382946;3,7689762;27,5701637;7,2568865;2,0637271;7,928021;1,2616774;2,142499;10,9339018;4,2516694;1,1768013;1,821313;0,2374634;0,7925739;5,8422637;0;0;-0,0026457;1,1386961;2,7519991;NA
"4";"        2008";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;6,3534026;0;0;0;0;0;0;0,6608878;0,7069309;0,9721931;0,1066024;3,4838717;5,7178793;0,2744365;NA;2008;38,8799973;9,9127455;3,9500575;21,6350765;2,2369077;3,7557235;26,6625137;7,2200375;2,0566206;7,9007215;1,2573332;2,1351218;11,9855766;4,4677792;1,2398372;2,1937428;0,2992603;0,8787255;30,1684799;0;0;-0,002774;2,5737607;5,2342529;NA
"5";"        2009";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;6,2708025;0;0;0;0;0;0;0,6702277;0,7093439;0,975033;0,1074314;3,4977021;5,7402444;0,2805995;NA;2009;38,9499817;8,2145386;3,9267333;21,6109791;2,2486782;3,766058;24,4999886;6,1910987;1,8715991;7,1899409;1,1442182;1,9430375;12,8935938;4,6443872;1,2944372;2,5265701;0,3546152;0,9549754;37,1567154;0;0;-0,0028168;2,9679987;5,9224625;NA
"6";"        2010";1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;6,2235885;0;0;0;0;0;0;0,6705247;0,7078969;0,9720662;0,1072053;3,4900653;5,7282186;0,2814195;NA;2010;38,8796806;7,6273274;3,1311893;18,9106102;2,2014585;3,7540708;23,1052151;5,498601;1,7526333;6,7329226;1,0714878;1,819531;13,6201324;4,7519045;1,3349501;2,7985036;0,400148;1,0155233;38,7749519;0;0;-0,0028326;3,0682833;6,0895882;NA
"7";"        2011";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;6,3747735;0;0;0;0;0;0;0,6686953;0,7059807;0,9685094;0,1068037;3,4797161;5,7117882;0,2807842;NA;2011;38,4165688;7,464016;2,3898098;14,9500494;1,3675923;2,3180978;22,4861069;5,1370916;1,6978503;6,5224686;1,0379961;1,762657;14,2439222;4,8210721;1,3678294;3,034729;0,4398742;1,0671314;38,5751228;0;0;-0,0028388;3,098686;5,7583833;NA
"8";"        2012";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;6,702569;0;0;0;0;0;0;0,6675804;0,7047012;0,9662414;0,1065485;3,4727778;5,7007999;0,2804606;NA;2012;30,2560787;7,7920904;2,476532;15,4242592;1,3720593;2,3175931;22,4891815;4,9976025;1,692964;6,5036969;1,0350087;1,757584;14,8091564;4,8700233;1,3966671;3,2494156;0,476056;1,1135874;37,6168251;0;0;-0,0028415;3,0796084;5,738565;NA
"9";"        2013";1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;7,0966191;0;0;0;0;0;0;0,6660531;0,7026552;0,962499;0,1061435;3,461741;5,6833153;0,2801327;NA;2013;29,0939407;7,6786075;2,5241573;15,9890671;1,4024239;2,3681228;22,7224236;4,9598365;1,7072511;6,5585828;1,0437431;1,7724165;15,3475389;4,9102783;1,4239767;3,4525678;0,5102922;1,1575565;36,4013939;0;0;-0,0028428;3,0671263;5,7159486;NA
"10";"        2014";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;7,4382715;0;0;0;0;0;0;0,6670331;0,7018265;0,9606262;0,1060479;3,4575257;5,6766772;0,2812188;NA;2014;28,4306927;7,6524467;2,4982672;16,1302853;1,3701506;2,3135452;22,7640877;4,9127126;1,7083284;6,5627217;1,044402;1,773535;15,860858;4,9449563;1,4499575;3,6452816;0,5427635;1,1992984;35,6886864;0;0;-0,0028434;3,0528884;5,6797457;NA
"11";"        2015";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;7,8495064;0;0;0;0;0;0;0,666598;0,7020795;0,9610324;0,1060877;3,4585049;5,6784773;0,2807642;NA;2015;29,6221542;8,0197029;2,5879164;16,8456535;1,4215873;2,4001436;23,0865345;4,9441862;1,7311348;6,6503367;1,0583447;1,7972124;16,3516178;4,9761343;1,4748218;3,8286755;0,5736547;1,2390815;35,5867004;0;0;-0,0028437;3,0381775;5,661016;NA
