"";"Year";"N_PP";"Ca_PP";"Mg_PP";"K_PP";"S_PP";"P_PP";"N_PU";"Ca_PU";"Mg_PU";"K_PU";"S_PU";"P_PU";"N_AU";"Ca_AU";"Mg_AU";"K_AU";"S_AU";"P_AU";"N_Diff";"Ca_Diff";"Mg_Diff";"K_Diff";"S_Diff";"P_Diff"
"1";2005;2404941,484375;505103,2578125;149148,3007814;411666,5175781;206561,1621094;121254,7382812;250492,9423828;43303,9371033;14772,3556824;39542,0467072;17503,8986816;13099,0288088;224887,3232423;46189,4942474;17056,8160554;53055,522705;17503,897072;13099,0274657;25605,6191405;-2885,5571441;-2284,460373;-13513,4759978;0,00160959999993793;0,00134310000066762
"2";2006;2092082,09375;476130,2812499;143930,0957033;404309,1738281;199503,1757812;117613,9907226;254627,0803224;50778,7400207;16289,803482;42318,9680025;19227,6464234;14397,7663573;234585,9201659;53896,8031159;18758,3376466;56921,3162843;19227,6455688;14397,7664793;20041,1601565;-3118,0630952;-2468,5341646;-14602,3482818;0,000854600002639927;-0,000121999999464606
"3";2007;1611015,8945313;453658,7070313;132163,7285154;369221,0566406;192271,5771484;101532,7915038;258831,0959474;50858,1539306;16532,7025452;42971,7494964;19655,4629515;14644,7138676;237638,2834473;54054,7009275;19063,3715667;57941,6383058;19655,4608458;14644,7153316;21192,8125001;-3196,5469969;-2530,6690215;-14969,8888094;0,00210570000126609;-0,00146400000085123
"4";2008;1067544,8681641;426057,669922;117807,5151368;326545,9960937;183517,1406248;82088,0322268;263097,623535;50633,896652;16767,809967;43644,04628;20215,0915528;14866,291992;240800,442627;53927,8048706;19375,5612336;59069,8994139;20215,0893557;14866,291992;22297,180908;-3293,9082186;-2607,7512666;-15425,8531339;0,00219709999873885;0
"5";2009;977798,9404297;439226,001953;125072,0571289;347833,9941406;187845,0810547;91246,7299804;265723,5351562;50306,7373048;16914,0094071;44054,6230929;20522,0934753;15017,4287112;242666,1574708;53557,3082885;19487,4489898;59277,5322265;20522,091614;15017,4301752;23057,3776854;-3250,5709837;-2573,4395827;-15222,9091336;0,00186129999929108;-0,00146400000267022
"6";2010;904241,3720703;456335,1054687;134014,5141602;374646,8476562;193027,8740234;102913,1450195;267057,8125;49720,6473083;16943,0040969;44240,1828461;20664,6330874;15091,7329104;243531,6289062;52916,3978576;19473,040451;59206,3472901;20664,6297302;15091,7329104;23526,1835938;-3195,7505493;-2530,0363541;-14966,164444;0,00335720000293804;0
"7";2011;740788,0078125;463481,4160156;132627,7358397;381521,2324219;190484,3427735;109464,1059572;267740,6545407;48769,3327026;15938,7696763;42934,2067719;19962,7940065;15166,03125;243895,2136228;51934,6579131;18444,7201538;57757,8890381;19962,7906493;15166,0297848;23845,4409179;-3165,3252105;-2505,9504775;-14823,6822662;0,00335719999930006;0,00146519999907468
"8";2012;505989,9248045;455617,7148439;128412,3212889;379525,5996095;183037,9326173;112061,6088866;267867,8146973;47233,3630373;17019,8786623;44384,3309634;19935,3414611;15190,520508;243828,0100097;50390,2146911;19519,1155242;59168,3005372;19935,3388061;15190,520508;24039,8046876;-3156,8516538;-2499,2368619;-14783,9695738;0,00265500000023167;0
"9";2013;238394,2353516;453550,8183593;128141,3769531;378302,7285155;181988,4257812;110661,1279297;269156,3178713;48187,1919403;17101,9156418;44600,9519043;20862,701172;15283,760742;244671,7661132;51363,7961731;19616,7921143;59477,4403075;20862,6981811;15283,760742;24484,5517581;-3176,6042328;-2514,8764725;-14876,4884032;0,00299090000044089;0
"10";2014;143417,9052734;469962,984375;134485,2734375;395725,2812499;187779,1201174;115179,2675782;269814,3762206;46538,8392487;17139,9527511;44706,9603424;19655,5450135;15333,5771484;245036,6694335;49717,3668212;19656,3544313;59592,4527588;19655,5436402;15333,5771484;24777,7067871;-3178,5275725;-2516,4016802;-14885,4924164;0,00137329999779467;0
"11";2015;93314,2807617;475733,5273438;141540,7236327;415511,2617187;189443,9335938;121304,9555665;271380,1904296;43649,9727022;16904,8315581;44141,073822;18684,394806;15408,7207032;245740,9399415;46837,2236022;19428,1399384;59067,4244385;18684,3921813;15408,7207032;25639,2504881;-3187,2509;-2523,3083803;-14926,3506165;0,00262469999870518;0
"12";2016;75703,3583985;476033,4531251;143141,2714844;419933,0800783;189817,696289;128020,7255857;270945,0341795;42994,2049257;16202,7165299;42136,4333801;18360,5135192;15415,114746;245018,5139161;46195,7611389;18737,3469391;57129,7700195;18360,5123903;15415,1162112;25926,5202634;-3201,5562132;-2534,6304092;-14993,3366394;0,00112890000309562;-0,00146519999907468
"13";2017;68676,9111327;476239,8320313;142454,8847656;417885,4726563;190024,8886718;134714,6044922;272192,8146973;42720,5072633;16264,4105529;42317,2605894;18240,2711489;15486,6416016;245498,7131347;45940,1805114;18813,3852081;57395,434082;18240,2690431;15486,6416016;26694,1015626;-3219,6732481;-2548,9746552;-15078,1734926;0,00210579999838956;0
"14";2018;65310,4394531;477918,4296876;142172,6240234;416968,6289064;190590,5585938;141220,5419922;269802,4116212;42111,2869568;16218,7709047;42193,1180115;17961,8499146;15405,3413088;243467,5100099;45351,7208557;18784,1782228;57368,5115966;17961,8477781;15405,342774;26334,9016113;-3240,4338989;-2565,4073181;-15175,3935851;0,00213649999932386;-0,00146520000089367
"15";2019;66258,291504;481047,6757812;142510,0517578;417871,607422;191843,5927733;147872,4863282;266964,3139649;41312,2944793;16110,8139114;41890,4305116;17560,4167784;15316,8076176;241234,9382326;44572,0635986;18691,5317536;57156,3878174;17560,4149474;15316,8076176;25729,3757323;-3259,7691193;-2580,7178422;-15265,9573058;0,00183100000140257;0
"16";2020;65829,2895509;481414,3828125;142513,4707032;417944,875;192101,7285156;154453,5791016;268542,4685056;41233,3592224;16124,1560975;41910,0661927;17520,5801698;15402,811524;242027,3134766;44511,7838744;18719,6437989;57263,3939209;17520,5780334;15402,811524;26515,155029;-3278,42465199999;-2595,4877014;-15353,3277282;0,00213639999856241;0
"17";2021;66779,9814454;482969,6914062;142889,8857421;419041,0839844;192164,4658203;161748,692383;268141,0983886;41094,3498381;16137,2705229;41945,1636658;17583,2272338;15381,0966792;241382,1423342;44387,9064332;18744,7386932;57369,3604735;17583,2244871;15381,0966792;26758,9560544;-3293,5565951;-2607,4681703;-15424,1968077;0,00274669999998878;0
"18";2022;66271,0288087;483924,4492188;142720,59375;418485,4121095;192281,5742187;168615,9775392;267504,6547849;40614,0512086;16054,9587935;41710,600189;17439,326599;15372,1728516;240617,3227537;43923,9487914;18675,3650206;57211,3227539;17439,3245544;15372,1728516;26887,3320312;-3309,8975828;-2620,4062271;-15500,7225649;0,00204459999804385;0
"19";2023;66493,2607421;484083,8046877;142781,5791016;418740,3222654;192260,2851562;170500,1972656;269185,3159178;40815,5232848;16163,4653319;42009,0717317;17555,7321165;14891,5273433;241439,3491209;44140,1709288;18795,5499726;57578,8785401;17555,7293701;14891,5285643;27745,9667969;-3324,647644;-2632,0846407;-15569,8068084;0,00274640000134241;-0,00122100000044156
"20";2024;66635,4580077;485645,1757813;143094,7343751;419644,0624999;192860,7060547;170812,3515624;266810,1562501;40419,8530121;16067,3320464;41724,4496917;17343,0169372;14755,516602;239447,4367674;43757,0234071;18709,3280333;57352,8854981;17343,0163268;14755,5177609;27362,7194827;-3337,170395;-2641,9959869;-15628,4358064;0,000610399998549838;-0,00115889999869978
"21";2025;61934,7470703;493919,9453124;147935,2978515;429275,0234374;193300,9374999;168843,6894531;242324,5742187;39484,8979264;15686,0480041;40744,0917054;17115,9750516;11957,6491703;214720,9946288;42046,8297441;17714,2950379;52741,9804489;17115,9733734;11957,6499325;27603,5795899;-2561,9318177;-2028,2470338;-11997,8887435;0,00167819999842322;-0,00076219999937166
"22";2026;170166,5859372;487994,0625;154408,9335936;445012,2656256;194132,2968744;177920,2148436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23";2027;170166,5859372;487994,0625;154408,9335936;445012,2656256;194132,2968744;177920,2148436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"24";2028;129824,1445308;484813,5078126;152496,6337892;439346,9609375;193020,6591795;175047,6396483;4800,9741557;890,3254254;224,2002213;652,6644872;881,9327833;154,4900892;4800,9740638;902,7776588;234,0584796;710,9800472;881,9327202;154,490112;9,1900000370515e-05;-12,4522334000001;-9,85825829999999;-58,3155599999999;6,31000000339554e-05;-2,28000000106476e-05
"25";2029;89481,7114258;480840,5625002;150384,8085937;433100,7109375;191745,8583986;172268,5146483;4800,9741557;890,3254254;224,2002213;652,6644872;881,9327833;154,4900892;4800,9740638;916,3156118;244,7763257;774,3802836;881,9327202;154,490112;9,1900000370515e-05;-25,9901864000001;-20,5761044;-121,7157964;6,31000000339554e-05;-2,28000000106476e-05
"26";2030;49139,2749024;476867,5976562;148272,9707032;426854,5195312;190471,0576168;169489,3896483;4800,9741557;890,3254254;224,2002213;652,6644872;881,9327833;154,4900892;4800,9740638;929,853599;255,4941822;837,7805337;881,9327202;154,490112;9,1900000370515e-05;-39,5281736000001;-31,2939609;-185,1160465;6,31000000339554e-05;-2,28000000106476e-05
"27";2031;8796,8320919;472894,5429689;146161,1162109;420608,4179689;189196,2568359;166710,2646483;4800,9741557;890,3254254;224,2002213;652,6644872;881,9327833;154,4900892;4800,9740638;943,3915749;266,2120193;901,1807365;881,9327202;154,490112;9,1900000370515e-05;-53,0661495000001;-42,011798;-248,5162493;6,31000000339554e-05;-2,28000000106476e-05
"28";2032;0,0001373;473080,355469;145385,9843749;418279,1093747;191348,0429688;165197,0419923;4800,9741557;890,3254254;224,2002213;652,6644872;881,9327833;154,4900892;4800,9740638;953,4151323;274,1475405;948,1224252;881,9327202;154,490112;9,1900000370515e-05;-63,0897069;-49,9473192;-295,457938;6,31000000339554e-05;-2,28000000106476e-05
