"";"V1";"Ca_Wet";"Mg_Wet";"K_Wet";"NO3_Wet";"NH4_Wet";"Ntot_Wet";"SO4_Wet";"Na_Wet";"Cl_Wet";"K_Folx";"NO3_Folx";"NH4_Folx";"Ntot_Folx";"SO4_Folx";"Na_Folx";"Cl_Folx";"Ca_WTH";"Mg_WTH";"K_WTH";"Na_WTH";"Al_WTH";"Si_Wet";"P_WTH";"V79";"Year";"N_TU";"Ca_TU";"Mg_TU";"K_TU";"S_TU";"P_TU";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_L_Min";"Ca_L_Min";"Mg_L_Min";"K_L_Min";"S_L_Min";"P_L_Min";"N_SOM_Min";"Ca_SOM_Min";"Mg_SOM_Min";"K_SOM_Min";"S_SOM_Min";"P_SOM_Min";"V26"
"1";"        2005";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;5,8511252;0;0;0;0;0;0;2,7647395;1,5373487;0,5018891;0,4808543;5,3144779;12,7479172;0,7169258;NA;2005;39,3523026;21,3493977;4,7727208;24,3935432;6,5229144;3,6445169;20,404583;7,8727846;2,5378816;10,2637501;1,6183732;2,0844312;22,112009;17,2156277;3,305567;3,8169835;2,6431694;1,9746349;-309,0935059;-0,0086375;-0,0052381;-0,0084263;-26,6125164;-19,4354763;NA
"2";"        2006";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;6,7499027;0;0;0;0;0;0;2,8333776;1,5592201;0,5053425;0,4916911;5,363307;12,9935083;0,7275991;NA;2006;39,3122787;22,8248844;4,7850623;25,3734818;6,5875664;3,9114282;20,8801575;8,0562763;2,5970323;10,5029688;1,656093;2,1330132;20,5002747;14,3369493;2,9607866;4,9048462;2,2842057;1,8838507;-71,0909805;-0,0159455;-0,00967;-0,0155557;-4,8631568;-2,4490733;NA
"3";"        2007";1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;7,3622293;0;0;0;0;0;0;2,8685915;1,5695702;0,4950872;0,4862404;5,2968531;13,0381632;0,7340682;NA;2007;39,1732216;22,7209396;4,8029051;25,959938;6,6833177;3,8974559;20,973011;8,0921011;2,6085811;10,549675;1,6634576;2,142499;20,3535118;12,9426594;2,856993;5,9563565;2,1355686;1,9126385;-4,0857377;-0,0183971;-0,0111568;-0,0179474;1,2877628;2,3213983;NA
"4";"        2008";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;8,0065975;0;0;0;0;0;0;2,9025269;1,5820419;0,4880132;0,480523;5,2425303;13,1016207;0,7392002;NA;2008;31,9426918;22,5326366;4,8310299;26,6293049;6,8277702;3,892113;21,0502129;8,1218872;2,6181831;10,5885029;1,6695805;2,1503851;20,6864071;12,1774311;2,8412495;6,8756194;2,0704472;1,9758935;10,123662;-0,0193922;-0,0117602;-0,0189181;3,0560977;3,6417954;NA
"5";"        2009";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;8,4276018;0;0;0;0;0;0;2,952682;1,5987585;0,4731455;0,4754512;5,1663003;13,171958;0,7497597;NA;2009;30,3485279;22,2905598;4,8325629;26,9946041;6,8943381;3,8716774;20,6818275;8,0101852;2,5821748;10,4428778;1,6466185;2,1208105;21,0907536;11,6824837;2,850471;7,6312647;2,036072;2,0391455;12,1970024;-0,0199179;-0,0120791;-0,019431;3,5695882;3,9828546;NA
"6";"        2010";1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;8,4895639;0;0;0;0;0;0;2,9606907;1,6001481;0,4691186;0,4724948;5,1358685;13,1669302;0,7516829;NA;2010;30,2385063;20,9606266;4,8071346;26,9561291;5,873064;3,8408911;19,5515213;7,6278596;2,4589276;9,9444408;1,5680255;2,0195839;21,3014603;11,2682533;2,8475451;8,1753235;2,0030549;2,0798287;12,2247868;-0,0202493;-0,01228;-0,0197543;3,2425923;4,0477548;NA
"7";"        2011";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;8,9408054;0;0;0;0;0;0;2,9818861;1,6085413;0,4695604;0,4738804;5,1410413;13,2451305;0,7533403;NA;2011;30,0903645;16,7675972;4,7974777;27,2828026;4,7696238;3,8101063;19,338131;7,5858064;2,4453712;9,8896141;1,5593805;2,00845;21,3683453;10,9073153;2,8356917;8,5721645;1,9705709;2,1045666;11,6729736;-0,0204641;-0,0124103;-0,0199639;3,2185841;4,031949;NA
"8";"        2012";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;9,4538126;0;0;0;0;0;0;3,0059273;1,6164331;0,4602185;0,4684609;5,0840669;13,2571516;0,7599765;NA;2012;29,9182243;16,1331348;4,6239495;27,6523952;4,5612459;3,7706161;19,2857647;7,5909419;2,447027;9,8963079;1,5604368;2,0098104;21,3897438;10,6063709;2,8239143;8,8873148;1,9427308;2,1230121;11,7111444;-0,0206159;-0,0125023;-0,0201119;3,1678367;3,9948359;NA
"9";"        2013";1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;9,9762249;0;0;0;0;0;0;3,006439;1,6157081;0,4584199;0,4663868;5,0667939;13,2416201;0,7607239;NA;2013;29,8262291;15,9681683;4,104166;27,6049786;4,5342774;3,7524223;19,3314037;7,6251287;2,4580472;9,9408789;1,567464;2,0188615;21,3925457;10,3559704;2,8135407;9,1447773;1,9193373;2,1376998;11,5040293;-0,0207316;-0,0125726;-0,0202249;3,1419055;3,9572523;NA
"10";"        2014";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;10,4910374;0;0;0;0;0;0;3,0310197;1,6258289;0,4584484;0,4687074;5,0762854;13,3323154;0,7629386;NA;2014;29,7342892;15,8802061;4,11445;25,758028;4,5047493;3,7342269;19,3712673;7,6513042;2,4664853;9,9750051;1,5728447;2,0257914;21,3867741;10,1466064;2,8045921;9,3577538;1,8996675;2,1496627;10,9650068;-0,0208255;-0,0126295;-0,0203164;3,1192701;3,9277091;NA
