"";"YEAR";"N_UP";"Ca_UP";"Mg_UP";"K_UP";"S_UP";"P_UP";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_Minz";"Ca_Minz";"Mg_Minz";"K_Minz";"S_Minz";"P_Minz";"N_SOMZ";"Ca_SOMZ";"Mg_SOMZ";"K_SOMZ";"S_SOMZ";"P_SOMZ";"N_MinSUM";"P_MinSUM";"S_MinSUM"
"1";2005;31,7065029;21,3493977;4,7727208;24,3935432;6,5229144;3,6445169;20,404583;7,8727846;2,5378816;10,2637501;1,6183732;2,0844312;22,112009;17,2156277;3,305567;3,8169835;2,6431694;1,9746349;29,0288544;-0,0085136;-0,005163;-0,0083055;3,614233;3,6701577;51,1408634;5,6447926;6,2574024
"2";2006;31,5235233;22,8248844;4,7850623;25,3734818;6,5875664;3,9114282;20,8801575;8,0562763;2,5970323;10,5029688;1,656093;2,1330132;20,5002747;14,3369493;2,9607866;4,9048462;2,2842057;1,8838507;14,166688;-0,0155246;-0,0094148;-0,0151451;3,5720034;3,6077232;34,6669627;5,4915739;5,8562091
"3";2007;30,9216366;22,6954479;4,7938647;25,7644272;6,6833177;3,8974559;20,4758511;7,9350214;2,5579443;10,3448877;1,6311673;2,1009092;20,3074017;12,9273214;2,8520484;5,9363618;2,1324162;1,9085774;9,9855404;-0,0177726;-0,0107781;-0,0173382;3,5660536;3,5675204;30,2929421;5,4760978;5,6984698
"4";2008;30,8793831;19,3335342;4,7985706;25,9273262;5,4013057;3,892113;19,300375;7,5404129;2,4307377;9,8304396;1,5500492;1,9964316;20,4121761;12,0852165;2,8115237;6,7554002;2,0514908;1,9514778;8,3209829;-0,0186556;-0,0113135;-0,0181995;3,1917014;3,5326493;28,733159;5,4841271;5,2431922
"5";2009;30,3330555;17,3006687;4,7333469;26,3477211;4,9015489;3,8716774;19,059288;7,4873347;2,4136281;9,761241;1,539138;1,9823775;20,5409431;11,5009546;2,7919538;7,3946047;1,9987562;1,9910825;7,9215169;-0,0190945;-0,0115797;-0,0186277;3,1525085;3,496155;28,46246;5,4872375;5,1512647
"6";2010;30,2119102;16,4313736;4,0781832;26,0613937;4,6035175;3,8408911;19,0165977;7,4944253;2,4159131;9,7704811;1,5405954;1,9842544;20,6690445;11,0666218;2,7825484;7,9124618;1,9616065;2,0264442;7,5237522;-0,0193698;-0,0117467;-0,0188963;3,0762992;3,458627;28,1927967;5,4850712;5,0379057
"7";2011;30,2477455;16,3210583;4,1025572;24,405405;4,5924201;3,8101063;19,111124;7,5458856;2,4325023;9,8375731;1,5511742;1,9978799;20,7859497;10,7285709;2,7780728;8,3391438;1,9338279;2,0572419;6,9104595;-0,0195718;-0,0118692;-0,0190934;3,0560496;3,4216502;27,6964092;5,4788921;4,9898775
"8";2012;29,7223377;15,9339676;4,0647926;24,7474804;4,4839478;3,5058944;19,1380959;7,5651193;2,4387026;9,8626461;1,5551282;2,0029724;20,8846264;10,4562664;2,7755263;8,6916275;1,9118745;2,0832698;6,8446717;-0,0197337;-0,0119673;-0,0192513;3,0172203;3,3832266;27,7292981;5,4664964;4,9290948
"9";2013;29,6502991;15,8034267;4,0776973;25,1577187;4,4676361;3,1688919;19,2208691;7,6032295;2,4509873;9,9123278;1,5629621;2,0130627;20,9598579;10,2302189;2,7730052;8,9808455;1,8934877;2,1044061;6,6020265;-0,0198668;-0,012048;-0,0193811;2,9908257;3,3494346;27,5618844;5,4538407;4,8843134
"10";2014;29,7764168;15,8393917;4,1135736;25,7157631;4,4901209;3,1662524;19,3096199;7,64182;2,4634271;9,9626379;1,5708948;2,0232797;21,0205402;10,0419559;2,7708573;9,2213268;1,8781552;2,1219549;6,1248498;-0,0199787;-0,0121159;-0,0194903;2,9718053;3,3160427;27,14539;5,4379976;4,8499605
"11";2015;29,4194775;15,6835909;4,0984917;26,1110954;4,4648266;3,1600826;19,3801079;7,6719851;2,4731517;10,0019684;1,577096;2,0312669;21,0696468;9,8838167;2,7689261;9,4222746;1,8652246;2,136549;6,2430334;-0,0200744;-0,012174;-0,0195837;2,9527712;3,2845011;27,3126802;5,4210501;4,8179958
"12";2016;29,3089314;15,6483612;4,1101041;26,4714203;4,4569669;3,1197884;19,4678879;7,7082577;2,4848444;10,0492554;1,5845522;2,0408704;21,1077614;9,7492886;2,7669079;9,5901089;1,8540756;2,1485324;6,0888834;-0,0201382;-0,0122127;-0,0196459;2,9275479;3,2510436;27,1966448;5,399576;4,7816235
"13";2017;29,5098534;15,7309208;4,1499863;27,0150757;4,4748597;3,1264129;19,5145187;7,7277679;2,4911332;10,0746889;1,5885626;2,0460362;21,1352577;9,6332321;2,7645719;9,7299557;1,8442194;2,1581852;5,6879811;-0,0201362;-0,0122115;-0,019644;2,9101779;3,2214768;26,8232388;5,379662;4,7543973
"14";2018;28,9141331;15,4816761;4,1106381;27,2207069;4,3910217;3,0901465;19,5925236;7,7593741;2,5013223;10,1158953;1,5950603;2,0544052;21,1560802;9,5330029;2,7622097;9,8478613;1,8355707;2,1661253;5,7377391;-0,0200971;-0,0121877;-0,0196058;2,8826594;3,1838367;26,8938193;5,349962;4,7182301
"15";2019;28,6880455;15,3317204;4,1045642;27,4844437;4,3059287;3,0400057;19,6385136;7,7780962;2,5073574;10,1402998;1,5989087;2,0593619;21,1696529;9,4450283;2,7595875;9,946806;1,8277596;2,1724622;5,4781618;-0,0200129;-0,0121367;-0,0195237;2,8470821;3,1475952;26,6478147;5,3200574;4,6748417
"16";2020;28,9474449;15,5137863;4,1520691;27,994379;4,3854971;3,0600615;19,7336063;7,8161201;2,5196145;10,1898727;1,6067249;2,0694296;21,180191;9,3682737;2,7571189;10,0316248;1,8208725;2,177783;5,0685096;-0,0198893;-0,0120617;-0,0194031;2,8474741;3,1211176;26,2487006;5,2989006;4,6683466
"17";2021;28,5436497;15,3198051;4,1256518;28,2739258;4,3028564;3,0521774;19,7294426;7,8147302;2,5191658;10,1880598;1,6064391;2,0690615;21,1852531;9,2996025;2,7543938;10,1032295;1,8145049;2,1819489;5,2425961;-0,0197507;-0,0119776;-0,0192679;2,8127241;3,0902641;26,4278492;5,272213;4,627229
"18";2022;28,4600925;15,2932968;4,1350741;28,5373631;4,3107295;3,0116718;19,8060894;7,8452797;2,5290139;10,2278881;1,6127189;2,0771496;21,1834431;9,236701;2,7511561;10,1626682;1,8083761;2,1849122;5,1388049;-0,0196047;-0,0118891;-0,0191255;2,7973869;3,0594206;26,322248;5,2443328;4,605763
"19";2023;28,7474499;15,5007915;4,1847258;29,0309849;4,3969779;3,0357149;19,8750248;7,8727307;2,5378623;10,2636709;1,6183612;2,0844171;21,1836319;9,1816626;2,7484801;10,2159643;1,8030754;2,1876838;4,8164802;-0,0194559;-0,0117989;-0,0189804;2,8025568;3,0352249;26,0001121;5,2229087;4,6056322
"20";2024;28,2139168;15,3006897;4,1458201;29,1855431;4,2844849;3,0112088;19,8897171;7,8786535;2,5397713;10,2713909;1,6195786;2,0859854;21,1814365;9,1315937;2,7457538;10,2620392;1,7981377;2,1898713;4,967123;-0,019306;-0,011708;-0,0188341;2,7608483;3,0016165;26,1485595;5,1914878;4,558986
"21";2025;25,0779629;14,5671263;3,9617209;25,63904;4,2590771;2,4272215;11,7351799;4,6485405;1,4985092;6,0603004;0,9555793;1,2307676;20,8140621;8,9425907;2,6964474;10,1143532;1,7643875;2,1533489;4,3650179;-0,0191596;-0,0116192;-0,0186912;2,7421057;2,8585112;25,17908;5,0118601;4,5064932
