"";"YEAR";"Ca";"Mg";"K";"Na";"Al";"Si";"P"
"1";2005;3,6224797;2,2149975;1,0594325;0,8782889;10,135871;19,1120944;1,1447218
"2";2006;4,0313387;2,3576288;1,0687758;0,952651;10,4418068;20,6910987;1,1778586
"3";2007;3,8549974;2,2944997;1,0393867;0,8963963;10,1123156;19,8366223;1,1656831
"4";2008;3,8915767;2,3107223;1,0507081;0,9139949;10,2358015;20,0457731;1,1721567
"5";2009;3,9869496;2,3448803;1,0479744;0,9274498;10,2792466;20,3714418;1,1847427
"6";2010;4,0892449;2,3835088;1,0551174;0,946214;10,3766381;20,7949772;1,1928684
"7";2011;4,0814768;2,3829853;1,0579102;0,9502622;10,4135349;20,7888242;1,1946091
"8";2012;4,1623033;2,4125484;1,0525939;0,9578759;10,4235844;21,0450021;1,2052305
"9";2013;4,265412;2,4522428;1,0581618;0,9750188;10,5091503;21,4634133;1,2132369
"10";2014;4,2350715;2,4430541;1,06014;0,974984;10,5265729;21,3684856;1,2126377
"11";2015;4,2940575;2,4650643;1,052529;0,9761952;10,5025875;21,5281146;1,2211994
"12";2016;4,3918954;2,5031745;1,0577589;0,9920263;10,5819783;21,9264835;1,2283475
"13";2017;4,3507181;2,4896052;1,0597039;0,9905357;10,5928026;21,7915095;1,2264369
"14";2018;4,3975606;2,5071061;1,0509322;0,9884127;10,5510795;21,8968789;1,2341284
"15";2019;4,4890314;2,5430434;1,0561114;1,0033441;10,6268593;22,2734595;1,2402251
"16";2020;4,4407576;2,5265479;1,0582575;1,0010379;10,6346982;22,1133933;1,2374597
"17";2021;4,4772266;2,5400504;1,0494115;0,9971175;10,5851902;22,1792996;1,2440887
"18";2022;4,5649209;2,5745026;1,0541369;1,0111136;10,65541;22,5390169;1,2497984
"19";2023;4,5128867;2,5564517;1,0567453;1,0086693;10,6641382;22,3678622;1,2465582
"20";2024;4,5413078;2,5667201;1,0479465;1,0035111;10,6094619;22,4035268;1,2523953
"21";2025;4,6266692;2,6003948;1,0525433;1,0171448;10,6780086;22,7546629;1,2577711
"22";2026;4,5278202;2,5639871;1,0602476;1,0129499;10,69715;22,4471609;1,2480716
"23";2027;4,5342652;2,5662494;1,0529952;1,0058067;10,6410061;22,4110901;1,2518115
"24";2028;4,6028754;2,593309;1,0583933;1,0176226;10,7049001;22,7037466;1,255651
"25";2029;4,515708;2,56174;1,0626142;1,011946;10,7067338;22,4141567;1,2485584
