"";"Year";"N_PP";"Ca_PP";"Mg_PP";"K_PP";"S_PP";"P_PP";"N_PU";"Ca_PU";"Mg_PU";"K_PU";"S_PU";"P_PU";"N_AU";"Ca_AU";"Mg_AU";"K_AU";"S_AU";"P_AU";"N_Diff";"Ca_Diff";"Mg_Diff";"K_Diff";"S_Diff";"P_Diff"
"1";2005;1426115,515625;429156,0332032;105074,9130861;291881,4824221;50532,9575196;47811,383789;233730,175293;47967,2530058;15161,3290404;40786,0424805;7250,2543792;13543,0239252;233730,1839599;53471,1427003;17475,9036714;61513,8281709;7250,2537727;7058,8966063;-0,00866689998656511;-5503,8896945;-2314,574631;-20727,7856904;0,000606499999776133;6484,1273189
"2";2006;1112241,5234375;402227,2480469;93583,2109377;254865,1337892;42693,6520997;490,7480469;234360,9521484;48437,8669436;15227,4692383;40974,956421;7299,7982026;13592,2939452;234360,9648437;55026,3261719;17998,1414949;65787,2410889;7299,7978975;7114,8779297;-0,0126952999853529;-6588,4592283;-2770,6722566;-24812,2846679;0,000305100000332459;6477,4160155
"3";2007;799502,8750001;375319,0976561;82417,7871094;219058,6162111;35126,5347901;416,8320617;232526,742798;47966,1830904;15079,2788085;40542,8039552;7249,5726319;13445,384766;230964,1796876;55152,3184202;18101,2949982;67605,972412;7249,5715793;7089,8403626;1562,56311039999;-7186,1353298;-3022,0161897;-27063,1684568;0,00105260000054841;6355,5444034
"4";2008;216207,2109375;342936,3066405;68781,9228518;176034,1889648;26074,8099364;254,9171448;232040,6726073;47998,8656617;15054,438263;40418,0386353;7245,2505645;13384,666992;181384,3077392;55810,2363283;18339,3884886;69835,8444823;7245,2500304;7076,8977357;50656,3648681;-7811,3706666;-3284,9502256;-29417,805847;0,000534099999640603;6307,7692563
"5";2009;0;92491,7504883;15921,760498;37138,8002929;6373,9241943;0;232540,2780761;48336,3572083;15104,0927734;40567,6757813;7281,9244081;13426,9980468;166638,5710449;56313,5872802;18320,6908264;69268,0200195;7281,9233248;7086,9598696;65901,7070312;-7977,2300719;-3216,598053;-28700,3442382;0,00108330000057322;6340,0381772
"6";2010;0;3089,0683594;4475,978882;7625,9697266;1265,6838075;0;232038,4547118;48300,1739653;15070,3571475;40451,2260742;7275,3797607;13379,3305668;166504,6162108;55871,5352785;18108,9346617;67394,9052737;7275,3791045;7068,4414672;65533,838501;-7571,3613132;-3038,5775142;-26943,6791995;0,000656199999866658;6310,8890996
"7";2011;0;0;924,7670898;2327,9206543;398,1671143;0;231025,5344237;48101,679535;14995,4939269;40202,5339356;7249,7117613;13285,5146484;167271,3547361;55063,0529784;17784,0748291;64725,5434568;7249,7105407;7040,9314576;63754,1796876;-6961,3734434;-2788,5809022;-24523,0095212;0,00122060000012425;6244,5831908
"8";2012;0;0;385,2380371;692,9057617;59,6756592;0;229780,2258299;47714,0066832;14893,9134823;39889,4604492;7205,9119112;13178,6015628;163461,6715086;54219,7147827;17464,2849579;62216,7672121;7205,9115145;7008,2665711;66318,5543213;-6505,7080995;-2570,3714756;-22327,3067629;0,000396700000237615;6170,3349917
"9";2013;0;0;52,9980469;0;0;0;228650,3133544;47390,5971527;14799,922821;39623,9719848;7172,7586365;13091,6806644;162175,4846192;53554,446228;17197,7218323;60236,3061523;7172,7576752;6978,0462035;66474,8287352;-6163,8490753;-2397,7990113;-20612,3341675;0,000961300001108611;6113,6344609
"10";2014;0;0;0;0;0;0;228017,2807617;47221,2837829;14749,6998596;39468,2371827;7153,345123;13037,0712888;162543,4770508;53167,6001588;17029,9533081;58896,0445555;7153,3443756;6961,6048586;65473,8037109;-5946,3163759;-2280,2534485;-19427,8073728;0,000747400000363996;6075,4664302
