"";"V1";"Ca_Wet";"Mg_Wet";"K_Wet";"NO3_Wet";"NH4_Wet";"Ntot_Wet";"SO4_Wet";"Na_Wet";"Cl_Wet";"K_Folx";"NO3_Folx";"NH4_Folx";"Ntot_Folx";"SO4_Folx";"Na_Folx";"Cl_Folx";"Ca_WTH";"Mg_WTH";"K_WTH";"Na_WTH";"Al_WTH";"Si_Wet";"P_WTH";"V79";"Year";"N_TU";"Ca_TU";"Mg_TU";"K_TU";"S_TU";"P_TU";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_L_Min";"Ca_L_Min";"Mg_L_Min";"K_L_Min";"S_L_Min";"P_L_Min";"N_SOM_Min";"Ca_SOM_Min";"Mg_SOM_Min";"K_SOM_Min";"S_SOM_Min";"P_SOM_Min";"V26"
"1";"        2005";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;8,4094305;0;0;0;0;0;0;2,0518682;2,5569799;4,2707386;0,3997928;13,4761314;21,6075401;0,699295;NA;2005;32,1058197;18,8794556;4,2450876;24,0446205;2,3311555;3,7206116;20,404583;7,060205;2,0077941;8,1952219;1,3093146;2,0844312;22,7357731;15,5631351;2,964515;3,358171;2,6804378;1,8028564;-278,6990051;-0,0057878;-0,0035099;-0,0056463;-25,6857452;-19,094717;NA
"2";"        2006";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;9,7011824;0;0;0;0;0;0;2,0648954;2,5307131;4,2118073;0,3996595;13,3557835;21,4138889;0,7111704;NA;2006;32,0102501;20,7135239;4,3384299;25,5527306;2,3267508;4,0133467;20,8801575;7,2247601;2,0545902;8,3862286;1,3398311;2,1330132;23,2437019;12,6407309;2,5433612;4,0913901;2,4722211;1,7232251;-63,5313301;-0,0108293;-0,0065674;-0,0105646;-5,8372426;-4,4933138;NA
"3";"        2007";1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;10,5812397;0;0;0;0;0;0;2,055316;2,4955022;4,1384068;0,3932627;13,1527805;21,0977898;0,7192795;NA;2007;31,9421654;20,9414368;4,3934832;26,3840027;2,3253634;3,9945405;20,973011;7,2568865;2,0637271;8,423522;1,345789;2,142499;24,7356396;11,2249556;2,3801324;4,8572268;2,4062855;1,7625996;-3,5613744;-0,0126161;-0,007651;-0,0123077;-0,2408146;-0,4062289;NA
"4";"        2008";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;11,5013418;0;0;0;0;0;0;2,047421;2,4714961;4,0882788;0,38834;13,0093088;20,8755894;0,7250432;NA;2008;27,1821671;21,3012905;4,4694214;27,3626118;2,3371336;4,0076509;20,96945;7,2816215;2,0707614;8,4522324;1,3503766;2,1498015;26,0912094;10,4552975;2,318512;5,5464368;2,3589649;1,8358073;9,9440985;-0,0134219;-0,0081396;-0,0130938;1,3309824;0,727298;NA
"5";"        2009";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;11,885211;0;0;0;0;0;0;2,043705;2,4456437;4,034162;0,383292;12,859499;20,6411362;0,7342713;NA;2009;24,7233467;21,3804874;4,4878678;27,7009544;2,3350329;3,9928863;19,7638111;7,1128807;2,0227745;8,2563648;1,3190835;2,0999827;27,1121082;9,9556122;2,2893631;6,1031723;2,3184583;1,9040816;11,5702181;-0,0138944;-0,0084262;-0,0135548;1,7664171;1,0369323;NA
"6";"        2010";1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;12,3631001;0;0;0;0;0;0;2,0393586;2,4324441;4,007699;0,3809817;12,7861748;20,5255356;0,7362478;NA;2010;24,6341305;20,2555428;4,5028448;28,0816059;2,3267949;3,9638288;18,5533123;6,976748;1,9840606;8,0983486;1,2938375;2,0597916;27,6768055;9,5806904;2,2686522;6,5325594;2,2807372;1,9575226;11,3050652;-0,0142148;-0,0086205;-0,0138673;1,8814514;1,1099373;NA
"7";"        2011";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;13,0665903;0;0;0;0;0;0;2,0368233;2,4248941;3,9910121;0,3796231;12,7389069;20,4542255;0,7380063;NA;2011;24,6124153;18,0454674;4,526989;28,6626911;2,3127377;3,9307144;17,8654957;6,9681964;1,9816281;8,0884218;1,2922519;2,057267;27,8981819;9,2853584;2,2521954;6,8693614;2,2473786;1,999347;10,7403936;-0,0144472;-0,0087614;-0,014094;1,9061577;1,1165235;NA
"8";"        2012";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;13,8641787;0;0;0;0;0;0;2,0364718;2,4111545;3,9618082;0,377043;12,65909;20,3295536;0,7441506;NA;2012;24,4386654;18,0562954;4,5595093;29,3564796;2,3020968;3,90379;17,4513893;6,9941754;1,9890162;8,118578;1,2970698;2,0649371;27,9185658;9,0547533;2,2406728;7,1457119;2,2207916;2,0345418;10,8091879;-0,0146271;-0,0088705;-0,0142696;1,9056221;1,1052411;NA
"9";"        2013";1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;14,6429319;0;0;0;0;0;0;2,0335963;2,404844;3,9498544;0,3758794;12,6249762;20,2749882;0,7444106;NA;2013;24,3692513;18,1224403;4,2226868;30,0743427;2,2958665;3,8868763;17,2173901;7,0275846;1,9985166;8,1573563;1,303265;2,0747998;27,8342209;8,8738174;2,2329359;7,3756609;2,2007775;2,0646465;10,6680613;-0,0147739;-0,0089595;-0,0144128;1,8981758;1,146614;NA
"10";"        2014";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;15,3976507;0;0;0;0;0;0;2,0319183;2,3996119;3,9380314;0,3748429;12,5910387;20,2241287;0,7460164;NA;2014;24,3298626;18,2420692;4,2282448;29,2359219;2,2896352;3,8699617;17,0571957;7,0503087;2,0049789;8,1837339;1,307479;2,0815089;27,7039833;8,7297382;2,2275426;7,5664992;2,1861122;2,0900867;10,2556705;-0,0148971;-0,0090342;-0,0145329;1,8889456;1,0962341;NA
