"";"YEAR";"N_UP";"Ca_UP";"Mg_UP";"K_UP";"S_UP";"P_UP";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_Minz";"Ca_Minz";"Mg_Minz";"K_Minz";"S_Minz";"P_Minz";"N_SOMZ";"Ca_SOMZ";"Mg_SOMZ";"K_SOMZ";"S_SOMZ";"P_SOMZ";"N_MinSUM";"P_MinSUM";"S_MinSUM"
"1";2005;28,8921261;18,511982;4,1456981;20,7439632;5,6179152;4,0573034;17,746912;6,6677136;2,1494136;8,6926975;1,2849865;2,7034554;6,1112127;19,270401;3,6470077;5,1727834;2,3079123;1,4107815;36,1319656;-0,0069827;-0,0042346;-0,006812;5,1710129;3,591785;42,2431783;5,0025665;7,4789252
"2";2006;34,5755081;21,6008644;4,559247;22,2554092;6,1711321;4,459569;18,4090519;6,9164886;2,2296085;9,017025;1,3329295;2,8043218;5,907021;14,9364252;3,0319343;5,6049967;1,9012936;1,4445004;26,9314671;-0,0136063;-0,0082514;-0,0132737;5,3794165;3,2353938;32,8384881;4,6798942;7,2807101
"3";2007;34,8124924;21,6642342;4,6334147;22,6544552;6,3084564;4,5360937;18,9831753;7,1321926;2,2991436;9,2982368;1,3744996;2,8917801;5,9665737;12,8469925;2,7983854;6,3032312;1,7397799;1,5406653;25,7535706;-0,015586;-0,009452;-0,015205;5,4521589;3,1374676;31,7201443;4,6781329;7,1919388
"4";2008;35,0830154;21,6131859;4,7092299;23,0953312;6,4880347;4,6046491;19,4682884;7,3144574;2,3578982;9,5358543;1,4096247;2,9656801;6,1096649;11,6781321;2,7076168;7,004024;1,6712848;1,6466541;25,4632683;-0,016265;-0,0098638;-0,0158674;5,5057039;3,1451199;31,5729332;4,791774;7,1769887
"5";2009;35,2106972;21,4842319;4,7458243;23,2661858;6,5865402;4,6514072;19,8134632;7,4801846;2,4113224;9,7519121;1,4415634;3,0328753;6,2713499;10,9422197;2,6745927;7,6328702;1,6413822;1,7461522;25,3881969;-0,0165628;-0,0100444;-0,0161579;5,5234275;3,1664572;31,6595468;4,9126094;7,1648097
"6";2010;35,2494507;21,237318;4,7545395;23,2839088;6,6590853;4,6744089;20,1026287;7,6128426;2,4540856;9,9248581;1,467129;3,0866613;6,4267616;10,444294;2,6674669;8,1767149;1,6294907;1,8349891;25,2854099;-0,0167445;-0,0101546;-0,0163352;5,5275602;3,1751852;31,7121715;5,0101743;7,1570509
"7";2011;35,2443695;21,0739479;4,761261;23,279129;6,6492529;4,6975594;20,4201717;7,7458649;2,4969676;10,09828;1,4927648;3,1405964;6,5704789;10,0953703;2,6731505;8,640872;1,62701;1,9128264;25,1496944;-0,0168843;-0,0102393;-0,0164715;5,488831;3,1880531;31,7201733;5,1008795;7,115841
"8";2012;35,1977844;20,6891346;4,652555;23,2576447;6,5757742;4,7050028;20,7162914;7,8616199;2,5342822;10,2491894;1,5150729;3,1875293;6,7039042;9,8504305;2,6863866;9,0386105;1,6303359;1,9811801;24,9828854;-0,0170042;-0,0103121;-0,0165885;5,4069252;3,1874576;31,6867896;5,1686377;7,0372611
"9";2013;35,2589188;20,6050739;4,7772465;23,3442688;6,5017653;4,7338881;21,0322895;7,9777355;2,5717137;10,4005718;1,5374504;3,2346098;6,8284044;9,6806173;2,7040939;9,3807125;1,6373169;2,0413396;24,8755226;-0,0171114;-0,0103771;-0,0166932;5,3222175;3,2092586;31,703927;5,2505982;6,9595344
"10";2014;35,2532272;20,4880695;4,7867942;23,3883743;6,5922484;4,7493668;21,2765369;8,0607853;2,5984862;10,5088453;1,5534562;3,2682827;6,9449978;9,5655298;2,7242126;9,6757021;1,6464986;2,0943696;24,7602119;-0,017209;-0,0104363;-0,0167883;5,3338766;3,2187781;31,7052097;5,3131477;6,9803752
