"","N_Manz","YEAR"
"1",-0.523125042857153,2005
"2",-1.71117677142857,2006
"3",-2.07530421428572,2007
"4",-2.1281332142857,2008
"5",-1.99892588571427,2009
"6",-1.83562194285715,2010
"7",-1.7328251857143,2011
"8",-1.63906095714285,2012
"9",-1.58914647142857,2013
"10",-1.49377488571428,2014
"11",-1.41772465714284,2015
"12",-1.28066141428571,2016
"13",-1.18464865714288,2017
"14",-1.11647642857144,2018
"15",-1.02801132857144,2019
"16",-0.96053521428571,2020
"17",-0.876781371428581,2021
"18",-0.854120328571421,2022
"19",-0.803127685714298,2023
"20",-0.767470942857126,2024
"21",-167.384213228571,2025
"22",43.9932615857143,2026
"23",36.7574064571429,2027
"24",30.1031450571429,2028
"25",24.5148969857143,2029
"26",19.9731287285714,2030
"27",16.3264511857143,2031
"28",13.4093339571429,2032
"29",11.0828894,2033
"30",9.22323178571429,2034
"31",7.7327087,2035
"32",6.53350844285714,2036
"33",5.5654447,2037
"34",4.78064534285714,2038
"35",-4.37320142857142,2039
"36",-3.33244354285714,2040
"37",-2.4445075,2041
"38",-3.88080551428572,2042
"39",-5.0796500857143,2043
"40",-8.22480064285714,2044
"41",-9.07205735714285,2045
"42",-7.15446311428571,2046
"43",-5.63337521428573,2047
"44",-4.45450025714286,2048
"45",-3.54552574285717,2049
"46",-2.84641968571429,2050
"47",-2.30820947142857,2051
"48",-1.89361941428571,2052
"49",-1.57462304285716,2053
"50",-1.33047735714285,2054
"51",-1.14521397142857,2055
"52",-1.00879417142857,2056
"53",-0.904241171428561,2057
"54",-0.821208057142836,2058
"55",-0.755354085714266,2059
"56",-0.703665657142864,2060
"57",-0.662549228571429,2061
"58",-0.630677857142858,2062
"59",-0.60552007142857,2063
"60",-0.585224542857149,2064
"61",-0.569278785714303,2065
"62",-0.55667222857142,2066
"63",-175.781961371429,2067
"64",44.5905124857142,2068
"65",37.2716801,2069
"66",30.5457575714286,2070
"67",24.8926355285714,2071
"68",20.2915555285714,2072
"69",16.5908115857143,2073
"70",13.6248037142857,2074
"71",11.2545405,2075
"72",9.35574838571429,2076
"73",7.83048037142857,2077
"74",6.60064551428573,2078
"75",5.60572668571429,2079
"76",4.79768611428572,2080
"77",-4.37352250000001,2081
"78",-3.35127897142856,2082
"79",-2.48358515714285,2083
"80",-3.93404187142857,2084
"81",-5.12999115714287,2085
"82",-8.27976604285715,2086
"83",-9.11989310000001,2087
"84",-7.22805788571429,2088
"85",-5.72568147142857,2089
"86",-4.55806335714285,2090
"87",-3.65557787142857,2091
"88",-2.96031862857143,2092
"89",-2.42404518571427,2093
"90",-2.0102389857143,2094
"91",-1.69120644285714,2095
"92",-1.44536231428572,2096
"93",-1.25593217142856,2097
"94",-1.10984220000001,2098
"95",-0.996931057142836,2099
"96",-0.909542757142851,2100
"97",-0.841707285714285,2101
"98",-0.789302242857137,2102
"99",-0.748274842857145,2103
"100",-0.716863414285721,2104
"101",-0.692576685714272,2105
"102",-0.672653828571431,2106
"103",-0.65682211428571,2107
"104",-0.644173271428594,2108
"105",-168.419215414286,2109
"106",43.5812961714285,2110
"107",36.3804751857143,2111
"108",29.7629792142857,2112
"109",24.2056187142857,2113
"110",19.6878663857143,2114
"111",16.0592504142857,2115
"112",13.1556607428571,2116
"113",10.8394415857143,2117
"114",8.98751948571427,2118
"115",7.50286942857142,2119
"116",6.30837781428572,2120
"117",5.34416729999999,2121
"118",4.56287319999999,2122
"119",-4.58491401428572,2123
"120",-3.52687742857143,2124
"121",-2.6188518,2125
"122",-4.04629591428572,2126
"123",-5.24516835714286,2127
"124",-8.37688728571427,2128
"125",-9.20689255714285,2129
"126",-7.33333907142858,2130
"127",-5.84285518571429,2131
"128",-4.67705948571429,2132
"129",-3.77123718571428,2133
"130",-3.07009737142857,2134
"131",-2.5271107142857,2135
"132",-2.10643102857143,2136
"133",-1.78096315714285,2137
"134",-1.52907375714287,2138
"135",-1.33414582857144,2139
"136",-1.18324188571428,2140
"137",-1.06597264285714,2141
"138",-0.974663071428563,2142
"139",-0.903427271428589,2143
"140",-0.847998728571408,2144
"141",-0.804236442857147,2145
"142",-0.770389985714289,2146
"143",-0.743941399999987,2147
"144",-0.722059928571427,2148
"145",-0.704392157142874,2149
"146",-0.69005252857144,2150
"147",-161.940772814286,2151
"148",42.7874530428571,2152
"149",35.6789489428571,2153
"150",29.1456769428572,2154
"151",23.6631266142857,2155
"152",19.2111860428571,2156
"153",15.6401912142857,2157
"154",12.7869583714286,2158
"155",10.5147928714286,2159
"156",8.70138191428572,2160
"157",7.25036814285714,2161
"158",6.08525374285715,2162
"159",5.14692287142857,2163
"160",4.38778992857143,2164
"161",-4.83744415714286,2165
"162",-3.77390454285715,2166
"163",-2.86497632857143,2167
"164",-4.27681567142857,2168
"165",-5.45801264285715,2169
"166",-8.58722958571429,2170
"167",-9.36358817142858,2171
"168",-7.42073561428571,2172
"169",-5.89454041428572,2173
"170",-4.69594592857142,2174
"171",-3.76780849999999,2175
"172",-3.05823874285715,2176
"173",-2.51406367142856,2177
"174",-2.0957817,2178
"175",-1.77416218571429,2179
"176",-1.52661891428573,2180
"177",-1.33582992857145,2181
"178",-1.18855212857141,2182
"179",-1.0744176142857,2183
"180",-0.985648185714293,2184
"181",-0.916343571428567,2185
"182",-0.862440585714281,2186
"183",-0.819830571428553,2187
"184",-0.786809742857135,2188
"185",-0.761051828571432,2189
"186",-0.739621928571427,2190
"187",-0.7220201,2191
"188",-0.707807442857121,2192
"189",-152.868533357143,2193
"190",41.7146764714286,2194
"191",34.7343098714286,2195
"192",28.3188494,2196
"193",22.9410441142857,2197
"194",18.5809212142857,2198
"195",15.0901085857143,2199
"196",12.3067549571429,2200
"197",10.0954083571429,2201
"198",8.33495618571428,2202
"199",6.93006697142857,2203
"200",5.80509402857145,2204
"201",4.9017387142857,2205
"202",4.17330777142858,2206
"203",-5.06155005714286,2207
"204",-3.95814951428572,2208
"205",-3.01863518571428,2209
"206",-4.41432812857143,2210
"207",-5.57110087142857,2211
"208",-8.67275818571428,2212
"209",-9.4388444,2213
"210",-7.48017012857142,2214
"211",-5.93351732857143,2215
"212",-4.75139087142858,2216
"213",-3.84022847142857,2217
"214",-3.14910117142856,2218
"215",-2.61864317142855,2219
"216",-2.20493055714286,2220
"217",-1.88181629999999,2221
"218",-1.62971401428574,2222
"219",-1.43312142857142,2223
"220",-1.27882577142854,2224
"221",-1.15533460000001,2225
"222",-1.05491207142857,2226
"223",-0.972703914285719,2227
"224",-0.907880785714298,2228
"225",-0.857402957142861,2229
"226",-0.818668857142867,2230
"227",-0.790641699999991,2231
"228",-0.76720214285714,2232
"229",-0.746834728571407,2233
"230",-0.730768614285701,2234
"231",-146.637446014286,2235
"232",41.1397751571428,2236
"233",34.2134724857143,2237
"234",27.8456162,2238
"235",22.5122218428571,2239
"236",18.1939313142857,2240
"237",14.7423758571429,2241
"238",11.9954287571429,2242
"239",9.81755911428572,2243
"240",8.08766315714286,2244
"241",6.71049240000001,2245
"242",5.61068348571428,2246
"243",4.72957705714285,2247
"244",4.02146872857143,2248
"245",-5.23437045714286,2249
"246",-4.09745749999999,2250
"247",-3.13286614285715,2251
"248",-4.53794455714285,2252
"249",-5.71121100000001,2253
"250",-8.83110961428572,2254
"251",-9.5835953857143,2255
"252",-7.59654450000001,2256
"253",-6.03271467142858,2257
"254",-4.82249555714286,2258
"255",-3.89019322857143,2259
"256",-3.17281171428572,2260
"257",-2.6197647,2261
"258",-2.1928221,2262
"259",-1.86295231428573,2263
"260",-1.60772452857142,2264
"261",-1.40993864285714,2265
"262",-1.25644971428573,2266
"263",-1.13682812857143,2267
"264",-1.04347235714285,2268
"265",-0.970243228571434,2269
"266",-0.912773985714282,2270
"267",-0.867340371428592,2271
"268",-0.83152750000001,2272
"269",-0.803138828571403,2273
"270",-0.779703314285718,2274
"271",-0.760520371428564,2275
"272",-0.744819614285712,2276
"273",-136.866563028571,2277
"274",39.8774671,2278
"275",33.1162777857143,2279
"276",26.9071323428571,2280
"277",21.7132462142857,2281
"278",17.5140897142857,2282
"279",14.1631618571429,2283
"280",11.5010916,2284
"281",9.39488288571429,2285
"282",7.72552531428571,2286
"283",6.39964652857142,2287
"284",5.34339538571428,2288
"285",4.49963547142857,2289
"286",3.82279262857143,2290
"287",-5.4058019,2291
"288",-4.24859798571429,2292
"289",-3.26545108571429,2293
"290",-4.65421374285714,2294
"291",-5.78388,2295
"292",-8.85812295714286,2296
"293",-9.58999867142857,2297
"294",-7.61558297142858,2298
"295",-6.06033655714286,2299
"296",-4.85400395714285,2300
"297",-3.92264357142858,2301
"298",-3.2045585,2302
"299",-2.64999225714285,2303
"300",-2.22101214285714,2304
"301",-1.88878788571428,2305
"302",-1.63118541428574,2306
"303",-1.43121350000002,2307
"304",-1.27554664285713,2308
"305",-1.15294332857142,2309
"306",-1.09773228571427,2310
"307",-1.12298325714284,2311
"308",-1.11471887142858,2312
"309",-1.09092851428574,2313
"310",-1.07026182857143,2314
"311",-1.07224914285714,2315
"312",-1.05305447142857,2316
"313",-1.02510744285716,2317
"314",-0.995239700000018,2318
"315",-43.1365348571428,2319
"316",24.3293644428572,2320
"317",19.9653621285714,2321
"318",16.2394090714286,2322
"319",13.1964119428571,2323
"320",10.7524917,2324
"321",8.80150447142857,2325
"322",7.24586215714286,2326
"323",6.01117914285714,2327
"324",5.02484065714286,2328
"325",4.23300241428571,2329
"326",3.59975792857143,2330
"327",3.09103135714286,2331
"328",2.67966348571428,2332
"329",-6.37159991428571,2333
"330",-5.02886442857143,2334
"331",-3.91332794285714,2335
"332",-5.20525191428572,2336
"333",-6.29024847142856,2337
"334",-9.37645004285715,2338
"335",-10.1644364142857,2339
"336",-8.19783085714286,2340
"337",-6.61844508571428,2341
"338",-5.37189539999999,2342
"339",3.95461708571428,2343
"340",4.99897704285715,2344
"341",3.93092614285716,2345
"342",3.01940949999999,2346
"343",6.77158931428573,2347
"344",0.221040914285724,2348
"345",5.51450919999999,2349
"346",4.56618027142857,2350
"347",-1.54309981428571,2351
"348",4.11851205714285,2352
"349",-1.86580034285714,2353
"350",-1.46043795714285,2354
"351",4.22463777142857,2355
"352",-1.77202501428571,2356
"353",3.94978494285715,2357
"354",-1.99871014285715,2358
"355",3.76691285714286,2359
"356",-2.14401755714286,2360
"357",-29.0796978,2361
"358",13.9836453571428,2362
"359",11.5130822285714,2363
"360",9.34839681428571,2364
"361",7.56911805714286,2365
"362",6.14176462857143,2366
"363",5.00754175714286,2367
"364",4.10891175714286,2368
"365",3.40384727142857,2369
"366",2.84462998571428,2370
"367",2.40055127142858,2371
"368",2.05023662857142,2372
"369",1.77210261428572,2373
"370",1.54971501428571,2374
"371",-7.34756671428571,2375
"372",-5.87757931428571,2376
"373",-4.65562572857143,2377
"374",-5.85890267142857,2378
"375",-6.86917818571429,2379
"376",-9.89208744285714,2380
"377",-10.6269169714286,2381
"378",-8.6152864,2382
"379",-6.99752292857143,2383
"380",-3.54273471428571,2384
"381",4.88558002857142,2385
"382",3.9791824,2386
"383",3.37314592857142,2387
"384",6.67929614285716,2388
"385",0.109807042857138,2389
"386",5.38959165714286,2390
"387",4.43328728571428,2391
"388",-1.68108247142856,2392
"389",3.97782857142857,2393
"390",-2.00772644285715,2394
"391",3.73240304285714,2395
"392",-2.19615631428571,2396
"393",3.58574741428571,2397
"394",-2.31055815714286,2398
"395",3.49602752857143,2399
"396",-2.38128052857143,2400
"397",-1.8942855,2401
"398",3.85503454285714,2402
"399",-29.8444068285714,2403
"400",13.7364341857143,2404
"401",11.2887473428571,2405
"402",9.14130338571429,2406
"403",7.37653518571428,2407
"404",5.96190551428571,2408
"405",4.83908432857142,2409
"406",3.9507193,2410
"407",3.25460367142858,2411
"408",2.70401565714286,2412
"409",2.26755728571428,2413
"410",1.92417588571429,2414
"411",1.65246081428572,2415
"412",1.4359016,2416
"413",-7.4578475,2417
"414",-5.98454665714286,2418
"415",-4.75696148571428,2419
"416",-5.95547765714286,2420
"417",-6.96172222857143,2421
"418",-9.98141391428571,2422
"419",-10.7126652428572,2423
"420",-8.69785984285714,2424
"421",-7.07714857142857,2425
"422",-1.45143092857142,2426
"423",4.75366334285714,2427
"424",3.72545934285714,2428
"425",3.15646334285714,2429
"426",6.31112967142857,2430
"427",5.13958368571429,2431
"428",-1.14247408571429,2432
"429",4.38653340000001,2433
"430",-1.70119164285714,2434
"431",3.96107164285714,2435
"432",3.30443101428572,2436
"433",-2.57508204285715,2437
"434",3.26775711428571,2438
"435",-2.57411934285714,2439
"436",3.27868792857142,2440
"437",-2.56221855714284,2441
"438",3.28865952857143,2442
"439",-2.55405500000001,2443
"440",3.29501841428571,2444
"441",-32.3142699714286,2445
"442",13.7437040142857,2446
"443",11.3046906285714,2447
"444",9.14818275714286,2448
"445",7.37161145714286,2449
"446",5.94659225714286,2450
"447",4.8156495,2451
"448",3.9213617,2452
"449",3.22094458571428,2453
"450",2.66759837142857,2454
"451",2.22949675714286,2455
"452",1.88517051428571,2456
"453",1.61313852857143,2457
"454",1.39661592857143,2458
"455",-7.49811481428571,2459
"456",-6.02542301428572,2460
"457",-4.79648254285715,2461
"458",-5.99382147142857,2462
"459",-6.99862925714285,2463
"460",-10.0172136571429,2464
"461",-10.7472903428572,2465
"462",-8.73143538571427,2466
"463",-7.10984288571429,2467
"464",0.801380342857143,2468
"465",4.60870201428571,2469
"466",3.64699545714285,2470
"467",6.54102858571428,2471
"468",-0.0186810142857133,2472
"469",5.27013685714284,2473
"470",4.32138775714286,2474
"471",3.54710467142857,2475
"472",-2.40248224285715,2476
"473",3.39306684285714,2477
"474",-2.48341192857144,2478
"475",3.34391490000001,2479
"476",-2.51719694285715,2480
"477",3.31940602857142,2481
"478",2.79870762857143,2482
"479",-11.7362025,2483
"480",4.47517078571429,2484
"481",3.7962534,2485
"482",3.16990831428572,2486
"483",-30.1349080285714,2487
"484",13.2293173571429,2488
"485",10.8816658142857,2489
"486",8.80524538571428,2490
"487",7.09452812857142,2491
"488",5.72237108571429,2492
"489",4.63351705714286,2493
"490",3.77261715714285,2494
"491",3.09860831428572,2495
"492",2.56490057142857,2496
"493",2.14398797142857,2497
"494",1.81340932857143,2498
"495",1.55205505714286,2499
"496",1.34421327142858,2500
"497",-7.5454835,2501
"498",-6.06775542857143,2502
"499",-4.83382774285714,2503
"500",-6.0274496,2504
"501",-7.02889755714286,2505
"502",-10.0445232857143,2506
"503",-10.7723486,2507
"504",-8.75472728571429,2508
"505",-7.13151879999999,2509
"506",3.20864681428572,2510
"507",4.37799418571428,2511
"508",3.43050467142857,2512
"509",6.1743766,2513
"510",5.02057678571428,2514
"511",-1.24596947142857,2515
"512",4.29651955714285,2516
"513",3.55414398571429,2517
"514",2.94315924285714,2518
"515",-11.6390083428571,2519
"516",4.54378134285715,2520
"517",3.84507297142857,2521
"518",3.20444661428571,2522
"519",2.67155404285715,2523
"520",2.24498547142858,2524
"521",-3.42595678571428,2525
"522",2.5903208,2526
"523",-3.11335647142857,2527
"524",2.84937275714285,2528
"525",-2.90648467142857,2529
