"";"Year";"N_PP";"Ca_PP";"Mg_PP";"K_PP";"S_PP";"P_PP";"N_PU";"Ca_PU";"Mg_PU";"K_PU";"S_PU";"P_PU";"N_AU";"Ca_AU";"Mg_AU";"K_AU";"S_AU";"P_AU";"N_Diff";"Ca_Diff";"Mg_Diff";"K_Diff";"S_Diff";"P_Diff"
"1";2005;1419623,0546875;382268,7890623;106014,8730468;291729,5859375;50699,9038087;74376,9794923;233189,1328125;41721,5893097;15151,3312835;40770,0816346;7263,2981035;11985,22644;233189,1140137;41721,593216;15151,3311845;61497,8703613;7263,2978897;11985,22644;0,0187988000106998;-0,00390630000038072;9,89999989542412e-05;-20727,7887267;0,000213799999983166;0
"2";2006;1105749,0742187;351220,8398437;94478,1518555;254582,8115234;42839,6450196;60378,0825195;232526,742798;45592,5900267;15079,2788085;40542,8039552;7249,5726319;12927,884766;232526,7558594;45592,5924682;15079,2790225;65355,0931396;7249,5726624;12927,884766;-0,013061400008155;-0,00244150000071386;-0,000213999999687076;-24812,2891844;-3,04999994114041e-05;0
"3";2007;803948,546875;327733,8535156;83338,6411131;218840,8740235;35282,1887207;46870,9389649;232040,6726073;45625,272598;15054,438263;40418,0386353;7245,2505645;12867,166992;232040,6745603;45625,2714846;15054,4392698;67481,208252;7245,2511749;12867,1655268;-0,00195299999904819;0,00111339999421034;-0,00100680000105058;-27063,1696167;-0,000610399999459332;0,00146520000089367
"4";2008;520929,3593749;302369,3671874;71042,8823243;179814,9804687;27035,0858765;32115,0240478;232540,2780761;45962,7651214;15104,0927734;40567,6757813;7281,9244081;12909,4980468;232540,2790527;45962,7647707;15104,0940248;69984,062744;7281,9244081;12909,4980468;-0,000976600014837459;0,00035070000012638;-0,00125140000091051;-29416,3869627;0;0
"5";2009;411362,6015625;291214,6152343;63627,0212401;155197,9511719;21527,9359131;22406,479248;232038,4547118;45926,5818787;15070,3571475;40451,2260742;7275,3797607;12861,8305668;232038,4648437;45926,5829925;15070,35791;71830,5959472;7275,3798522;12861,8305668;-0,0101318999950308;-0,00111379999725614;-0,000762499999837019;-31379,369873;-9,15000009626965e-05;0
"6";2010;346514,4687499;291491,6210936;58995,2519532;138549,1874999;17350,680359;16229,4414061;231025,5344237;45728,0852507;14995,4939269;40202,5339356;7249,7117613;12768,0146484;231025,531494;45728,0878297;14995,4928284;73517,1923829;7249,7118528;12768,0131832;0,0029297000146471;-0,0025789999999688;0,00109850000080769;-33314,6584473;-9,15000000532018e-05;0,00146519999907468
"7";2011;322894,230957;294952,9296874;54811,1972656;123149,3769532;13307,1591185;14323,4706421;229780,2258299;45340,41362;14893,9134823;39889,4604492;7205,9119112;12661,1015628;229780,2427979;45340,4127502;14893,9151003;75241,9501954;7205,9122925;12661,1015628;-0,0169679999817163;0,000869800001964904;-0,00161800000023504;-35352,4897462;-0,000381300000299234;0
"8";2012;297347,2189942;300903,2519531;51172,045166;109367,8950196;10093,3699266;14886,115967;228650,3133544;45017,0040894;14799,922821;39623,9719848;7172,7586365;12574,1806644;228650,3342286;45017,009018;14799,9236449;76972,6777344;7172,7589873;12574,1821284;-0,0208742000104394;-0,00492860000667861;-0,000823899999886635;-37348,7057496;-0,000350799999978335;-0,00146400000085123
"9";2013;278099,2070313;310407,7695314;48683,4423828;99012,2998047;9300,7754211;15794,598877;228017,3065186;44847,6937868;14749,7012327;39468,2412719;7153,345123;12519,572754;228017,3032228;44847,6962738;14749,7002259;78700,0976563;7153,3458097;12519,572754;0,0032958000083454;-0,00248699999792734;0,00100679999923159;-39231,8563844;-0,000686700000187557;0
"10";2014;254597,1855468;321810,3085938;46653,1293944;90002,5710449;8681,7321549;16490,5042114;227384,2817382;44678,3815308;14699,4797058;39312,5115964;7133,9315643;12464,9663088;227384,2885742;44678,387436;14699,4804991;80406,7910157;7133,9315949;12464,9663088;-0,00683600001502782;-0,00590519999968819;-0,000793299999713781;-41094,2794193;-3,06000001728535e-05;0
