"";"Year";"Month";"Dry weight";"N";"Ca";"Mg";"K";"S";"P";"Date"
"1";2005;1;2341,1010742;5,3470788;5,9632525;1,1292592;4,0821757;0,2577298;1,5234725;2005-01-01
"2";2005;2;2351,1870117;5,3729119;5,9824185;1,1326383;4,1010242;0,2597296;1,5277969;2005-02-01
"3";2005;3;2452,0483398;5,6312413;6,174068;1,1664288;4,2895103;0,2797274;1,5710369;2005-03-01
"4";2005;4;2694,1152344;6,2512302;6,6340299;1,2475262;4,7418776;0,327722;1,6748136;2005-04-01
"5";2005;5;3400,1437988;8,0595331;7,9755826;1,4840599;6,0612826;0,4677063;1,9774956;2005-05-01
"6";2005;6;3722,8999023;8,8861866;8,5888634;1,5921893;6,6644387;0,5316991;2,1158645;2005-06-01
"7";2005;7;4045,6555176;9,7128391;9,2021446;1,7003191;7,2675953;0,5956918;2,2542329;2005-07-01
"8";2005;8;4328,0668945;10,4361601;9,7387657;1,7949326;7,7953572;0,6516855;2,3753057;2005-08-01
"9";2005;9;4328,0668945;10,4361601;9,7387657;1,7949326;7,7953572;0,6516855;2,3753057;2005-09-01
"10";2005;10;4328,0668945;10,4361601;9,7387657;1,7949326;7,7953572;0,6516855;2,3753057;2005-10-01
"11";2005;11;4338,0561523;10,4617453;9,7577477;1,798279;7,8140249;0,6536661;2,3787313;2005-11-01
"12";2005;12;4339,6884766;10,4659252;9,760848;1,798826;7,8170753;0,6539897;2,3792911;2005-12-01
"13";2006;1;4340,168457;10,4671545;9,7617598;1,7989867;7,8179712;0,6540849;2,3794556;2006-01-01
"14";2006;2;4340,6660156;10,4677877;9,7627058;1,7991533;7,8189015;0,6541834;2,3796265;2006-02-01
"15";2006;3;4359,2392578;10,476203;9,7979965;1,8037368;7,8398914;0,655031;2,3859961;2006-03-01
"16";2006;4;4399,5166016;10,5172606;9,8745298;1,8106315;7,8753772;0,6584813;2,3998101;2006-04-01
"17";2006;5;4669,0068359;11,2074871;10,3865995;1,9009165;8,378993;0,7119132;2,4922366;2006-05-01
"18";2006;6;4773,3935547;11,3610706;10,5849476;1,9284024;8,5094099;0,7244409;2,528038;2006-06-01
"19";2006;7;4930,7255859;11,6059217;10,8839025;1,9673138;8,7103024;0,7444244;2,5819979;2006-07-01
"20";2006;8;5043,4179688;11,8385611;11,098032;2,001869;8,891531;0,7629026;2,6206479;2006-08-01
"21";2006;9;5043,4179688;11,8385611;11,098032;2,001869;8,891531;0,7629026;2,6206479;2006-09-01
"22";2006;10;5043,4179688;11,8385611;11,098032;2,001869;8,891531;0,7629026;2,6206479;2006-10-01
"23";2006;11;5043,6459961;11,8385906;11,0980444;2,0019298;8,891551;0,7629051;2,6206534;2006-11-01
"24";2006;12;5043,8364258;11,8386011;11,098052;2,001981;8,8915596;0,762906;2,6206551;2006-12-01
"25";2007;1;5043,9760742;11,8386068;11,0980568;2,0020187;8,8915625;0,7629064;2,620656;2007-01-01
"26";2007;2;5044,1132812;11,8386106;11,0980616;2,0020554;8,8915663;0,7629068;2,620657;2007-02-01
"27";2007;3;5052,4379883;11,8403149;11,1003761;2,0023544;8,8931398;0,7630562;2,6235123;2007-03-01
"28";2007;4;5071,0209961;11,8491125;11,1119308;2,0039375;8,901206;0,7638204;2,6298852;2007-04-01
"29";2007;5;5206,2871094;12,0309801;11,2975121;2,0331872;9,0529671;0,7788379;2,6762772;2007-05-01
