"";"V1";"Ca_Wet";"Mg_Wet";"K_Wet";"NO3_Wet";"NH4_Wet";"Ntot_Wet";"SO4_Wet";"Na_Wet";"Cl_Wet";"K_Folx";"NO3_Folx";"NH4_Folx";"Ntot_Folx";"SO4_Folx";"Na_Folx";"Cl_Folx";"Ca_WTH";"Mg_WTH";"K_WTH";"Na_WTH";"Al_WTH";"Si_Wet";"P_WTH";"V79";"Year";"N_TU";"Ca_TU";"Mg_TU";"K_TU";"S_TU";"P_TU";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_L_Min";"Ca_L_Min";"Mg_L_Min";"K_L_Min";"S_L_Min";"P_L_Min";"N_SOM_Min";"Ca_SOM_Min";"Mg_SOM_Min";"K_SOM_Min";"S_SOM_Min";"P_SOM_Min";"V26"
"1";"        2005";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;8,4094305;0;0;0;0;0;0;1,9302164;2,5438015;4,1472011;0,3945137;13,2133598;21,2401428;0,5991519;NA;2005;32,6621895;20,3872719;4,2450876;24,0446205;2,3311555;3,8592074;20,9218845;7,8727846;2,0077941;8,1952219;1,3093146;2,2243049;20,2087727;15,6331148;2,964515;3,358171;2,3769612;1,8149023;-280,4858704;-0,0057878;-0,0035099;-0,0056463;-25,5735359;-18,4011135;NA
"2";"        2006";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;9,7011824;0;0;0;0;0;0;1,9027938;2,4713573;3,9964502;0,3795314;12,7893114;20,5845299;0,6132627;NA;2006;32,569416;21,8644085;4,3384299;25,5527306;2,3267508;4,1645417;21,4095097;8,0562763;2,0545902;8,3862286;1,3398311;2,2761471;18,8167477;12,8571825;2,5433612;4,0913901;1,9778425;1,7604837;-66,963028;-0,0108293;-0,0065674;-0,0105646;-5,723835;-2,9638505;NA
"3";"        2007";1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;10,5812397;0;0;0;0;0;0;1,8832154;2,4233675;3,8978386;0,3699599;12,5147171;20,1561832;0,6198498;NA;2007;32,5013275;22,1170425;4,3934832;26,3840027;2,3253634;4,1457338;21,5047169;8,0921011;2,0637271;8,423522;1,345789;2,2862689;18,8657932;11,5604239;2,3801324;4,8572268;1,7987051;1,8203455;-6,8026614;-0,0126161;-0,007651;-0,0123077;-0,12667;1,3806151;NA
"4";"        2008";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;11,5018826;0;0;0;0;0;0;1,8759727;2,4009676;3,8511529;0,3655837;12,3846102;19,9544258;0,6246913;NA;2008;28,5976963;22,5028915;4,4694591;27,3631516;2,3371336;4,1588459;21,427639;8,1198807;2,0708117;8,4524393;1,3504095;2,2941175;19,3604832;10,887435;2,3185196;5,5464702;1,7107741;1,9101975;7,4137168;-0,0134219;-0,0081396;-0,0130938;1,4452944;2,6022995;NA
"5";"        2009";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;12,0175352;0;0;0;0;0;0;1,8721825;2,3830268;3,8138523;0,3618699;12,2814264;19,7928028;0,6303847;NA;2009;25,4333153;22,6287441;4,4970531;27,8332767;2,3350329;4,1440821;20,2522449;7,9978137;2,0396812;8,3253736;1,3301089;2,2596304;19,815403;10,4720678;2,2916129;6,1123571;1,6589295;1,9939566;9,0474854;-0,0138964;-0,0084274;-0,0135567;1,8807244;2,9270194;NA
"6";"        2010";1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;12,5282221;0;0;0;0;0;0;1,8642083;2,3615878;3,7703445;0,3578165;12,161725;19,6048393;0,6333638;NA;2010;25,2598495;22,1609688;4,514307;28,2467308;2,3267949;4,1150227;18,8650417;7,865406;2,0059125;8,187541;1,3080877;2,2222209;19,9952335;10,1652956;2,2734804;6,5522723;1,6210177;2,0602446;8,6734314;-0,0142227;-0,0086252;-0,013875;1,9958349;2,9990778;NA
"7";"        2011";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;13,3034077;0;0;0;0;0;0;1,8638493;2,3553631;3,7570214;0,3568307;12,1264677;19,5501728;0,6356519;NA;2011;25,2941208;19,8227901;4,5434284;28,8995094;2,3127377;4,0819087;18,0857029;7,8787727;2,0093222;8,201457;1,3103106;2,2259974;19,9632759;9,9322453;2,2612915;6,9064922;1,592563;2,1146371;8,1706409;-0,0144642;-0,0087717;-0,0141106;2,020561;2,9978249;NA
"8";"        2012";1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;14,0558205;0;0;0;0;0;0;1,8630296;2,3451328;3,734612;0,3545912;12,0641985;19,4540939;0,640539;NA;2012;24,9241638;19,8133717;4,5728116;29,5481262;2,3020968;4,054986;17,6032963;7,8797851;2,0095801;8,2025099;1,310479;2,2262831;19,8205566;9,7506046;2,2527874;7,1951628;1,5706027;2,1595674;8,2277794;-0,0146546;-0,0088872;-0,0142964;2,0199723;2,9812624;NA
"9";"        2013";1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;14,7578363;0;0;0;0;0;0;1,8577121;2,3310704;3,7060943;0,3519676;11,9860058;19,3312187;0,6423163;NA;2013;24,7827854;19,5082569;4,4823036;30,1892433;2,2958665;4,0380721;17,3264236;7,8814735;2,0100105;8,2042685;1,3107601;2,2267601;19,6294994;9,602849;2,2456915;7,4277282;1,5526994;2,1956611;8,0918627;-0,0148083;-0,0089804;-0,0144463;2,012373;3,0082464;NA
"10";"        2014";1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;15,4740543;0;0;0;0;0;0;1,8581729;2,3276212;3,6981096;0,3513944;11,9647665;19,2991581;0,6443372;NA;2014;24,8927097;19,4174232;4,1964512;30,2611542;2,2896352;4,0211577;17,1508751;7,8906617;2,0123539;8,2138329;1,3122883;2,2293561;19,4271469;9,4808836;2,2394788;7,6152177;1,5378437;2,2245524;7,8249731;-0,0149334;-0,0090563;-0,0145684;2,0029802;2,9636269;NA
