"";"YEAR";"Ca";"Mg";"K";"Na";"Al";"Si";"P"
"1";2005;2,1092125;3,3164629;5,7726862;0,5580477;17,7651194;28,3277977;0,3570535
"2";2006;2,0567677;3,2544615;5,6404856;0,5382112;17,3346092;27,6818756;0,362864
"3";2007;2,0526358;3,2395772;5,6091667;0,5389187;17,2769247;27,5829609;0,3565479
"4";2008;2,0848855;3,2773021;5,6879605;0,5507457;17,5332663;27,969788;0,3542101
"5";2009;2,073403;3,2676864;5,6675578;0,5452809;17,4486602;27,8459351;0,3582542
"6";2010;2,060203;3,257155;5,6459091;0,5407408;17,3658841;27,7233855;0,3586778
"7";2011;2,0866768;3,2784269;5,6897282;0,5505719;17,5374614;27,9761587;0,3559338
"8";2012;2,0664678;3,2535216;5,6357942;0,5419579;17,3593221;27,7089764;0,3604626
"9";2013;2,0477424;3,2258061;5,576604;0,535296;17,1853723;27,4433367;0,3612069
"10";2014;2,0758687;3,262292;5,6543245;0,5460352;17,4293667;27,8131304;0,358326
"11";2015;2,061732;3,2454301;5,6172211;0,5397147;17,3041277;27,6258986;0,3621354
"12";2016;2,0479686;3,2337755;5,5930553;0,5349997;17,2148097;27,4933046;0,3624997
"13";2017;2,0756653;3,2614205;5,6516566;0,5454665;17,4202828;27,7999142;0,3594881
"14";2018;2,056428;3,2324164;5,5887988;0,5370944;17,2273714;27,5071431;0,3639383
"15";2019;2,0376173;3,205299;5,5306046;0,5304818;17,055521;27,2449837;0,3644935
"16";2020;2,0651128;3,2450693;5,6156373;0,5410866;17,3121184;27,6363671;0,361662
"17";2021;2,0395857;3,2130779;5,5637761;0,5296535;17,1284605;27,3325651;0,3638899
"18";2022;2,0266648;3,2014994;5,5397635;0,5252551;17,0421138;27,2041873;0,3642005
"19";2023;2,053894;3,2335619;5,608335;0,5356607;17,2661655;27,5414209;0,3611242
"20";2024;2,0351261;3,1998902;5,5358368;0,5271933;17,0548871;27,2178229;0,3659321
"21";2025;2,0186699;3,1758628;5,4844221;0,5215923;16,9045038;26,988212;0,36603
"22";2026;2,0602761;3,2426505;5,6263392;0,5376356;17,3169514;27,6216907;0,3621883
"23";2027;2,0511961;3,2266493;5,5911925;0,53306;17,2113757;27,4608334;0,3656221
"24";2028;2,0406024;3,2203512;5,5786126;0,5297683;17,1563505;27,3808073;0,3652336
"25";2029;2,0702734;3,2576737;5,6581707;0,54132;17,4109476;27,7652498;0,3614547
"26";2030;2,056064;3,232501;5,6041461;0,5347694;17,2517829;27,5217385;0,3654436
"27";2031;2,0399408;3,2103962;5,5568123;0,5294104;17,1111614;27,3076152;0,3652888
"28";2032;2,0711911;3,2595941;5,6625454;0,5417843;17,4226389;27,7836621;0,3613084
"29";2033;2,0596904;3,2423523;5,6240893;0,5365182;17,304158;27,6040734;0,3644477
"30";2034;2,0466178;3,2334189;5,6061227;0,5322772;17,230668;27,4962124;0,3643146
"31";2035;2,0755338;3,2668061;5,678415;0,5434949;17,4690978;27,8538433;0,3605193
"32";2036;2,055511;3,2322107;5,6028998;0,5348814;17,2497562;27,5181288;0,3645934
"33";2037;2,0353683;3,2048101;5,5441777;0,5278492;17,0730051;27,2495549;0,3651926
