"";"YEAR";"Litter_N_Min";"Litter_Ca_Min";"Litter_Mg_Min";"Litter_K_Min";"Litter_S_Min";"Litter_P_Min";"SOM_N_Min";"SOM_Ca_Min";"SOM_Mg_Min";"SOM_K_Min";"SOM_S_Min";"SOM_P_Min";"MB_NUP_SOM";"MB_CaUP_SOM";"MB_MgUP_SOM";"MB_KUP_SOM";"MB_SUP_SOM";"MB_PUP_SOM";"MB_NUP_DOC";"MB_CaUP_DOC";"MB_MgUP_DOC";"MB_KUP_DOC";"MB_SUP_DOC";"MB_PUP_DOC";"MB_NT";"MB_CaT";"MB_MgT";"MB_KT";"MB_ST";"MB_PT";"X";"Net_N_Minz";"Net_P_Minz";"Net_Ca_Minz";"Net_K_Minz";"Net_Mg_Minz";"Net_S_Minz"
"1";2005;143,9608587;39,0067216;12,3849671;9,0446708;7,488945;5,8623012;248,7465972;2,73e-05;2,73e-05;2,73e-05;6,4203158;8,7891333;60,2143119;2,73e-05;2,73e-05;2,73e-05;0,0479644;0,0239823;170,2164204;0,0308313;0,0308313;0,0308313;0,1338991;0,0681922;85,1455648;0,0142858;0,0142858;0,0142858;0,0844266;0,0435149;0;31,14874497;4,51643014031;15,619988737376;3,524241641464;3,002679341455;4,41638096102
"2";2006;133,3568647;32,0803976;11,0453184;11,8736573;6,4189695;5,6925084;248,2552051;0,0001726;0,0001726;0,0001726;6,3829423;8,7221433;60,0951745;0,0001726;0,0001726;0,0001726;0,0478932;0,0239466;160,9783317;0,0316425;0,0316425;0,0316425;0,1374289;0,0701829;147,8630761;0,0265724;0,0265724;0,0265724;0,1556458;0,0792109;0;30,888723334;4,44248198736;12,843928265052;4,630058429652;2,676915877925;4,06023321774
"3";2007;132,8375094;28,8069153;10,6730365;14,5566691;5,9921372;5,8766518;248,1217737;0,000371;0,000371;0,000371;6,3457614;8,6558997;60,0427337;0,000371;0,000371;0,000371;0,0478639;0,023932;165,5598126;0,0326752;0,0326752;0,0326752;0,1420387;0,0727573;166,8473626;0,0309236;0,0309236;0,0309236;0,1790886;0,0911487;0;30,15592587;4,47819826374;11,531713144436;5,678736188602;2,586229985515;3,90999268394
"4";2008;134,3911689;26,9368956;10,5774866;16,6937118;5,7837081;6,1005546;248,1318119;0,0005904;0,0005904;0,0005904;6,3108026;8,5903667;60,0152953;0,0005904;0,0005904;0,0005904;0,0478498;0,0239248;170,7173462;0,0335064;0,0335064;0,0335064;0,1615299;0,0747704;176,4714747;0,0329613;0,0329613;0,0329613;0,1976254;0,096106;0;29,652788844;4,52662193373;10,782038864496;6,514037941884;2,56285788433;3,82571364448
"5";2009;136,1472531;25,7079009;10,5695631;18,3813399;5,6633137;6,3033231;248,2081929;0,0008208;0,0008208;0,0008208;6,277301;8,5254235;59,9998682;0,0008208;0,0008208;0,0008208;0,0478422;0,0239211;170,2926501;0,0341495;0,0341495;0,0341495;0,1647292;0,0763281;179,9418218;0,0341995;0,0341995;0,0341995;0,2076135;0,0987148;0;29,968791426;4,56882400945;10,289341554872;7,173705418976;2,56083177092;3,7753488913
"6";2010;137,863388;24,8418631;10,6000529;19,7567052;5,5893787;6,4827702;248,3212423;0,001058;0,001058;0,001058;6,2445739;8,4610463;59,9916995;0,001058;0,001058;0,001058;0,047839;0,0239195;174,9352629;0,0346716;0,0346716;0,0346716;0,1673247;0,0775919;183,7832059;0,0351195;0,0351195;0,0351195;0,2124289;0,1004237;0;29,574911436;4,60406975862;9,94215406962;7,711334353768;2,568173071865;3,74032090474
"7";2011;139,4545772;24,2040774;10,6468643;20,895249;5,5422926;6,6396062;248,4741852;0,0012999;0,0012999;0,0012999;6,2122751;8,3972597;59,9887315;0,0012999;0,0012999;0,0012999;0,0478384;0,0239192;179,1915531;0,0351077;0,0351077;0,0351077;0,1689246;0,0786482;188,2708302;0,0358835;0,0358835;0,0358835;0,2151701;0,1017096;0;29,223209302;4,63256002169;9,686477244896;8,156406280376;2,579503382325;3,71435717786
"8";2012;140,8784576;23,7198343;10,6983168;21,8417975;5,5113521;6,7748132;248,6540642;0,001546;0,001546;0,001546;6,1801919;8,3340767;59,9898564;0,001546;0,001546;0,001546;0,0478398;0,02392;178,350586;0,0354783;0,0354783;0,0354783;0,1713351;0,0795451;189,9139528;0,0365571;0,0365571;0,0365571;0,2174724;0,1027568;0;29,565471012;4,65458808456;9,49236208552;8,526439135896;2,591978652725;3,69337897334
"9";2013;142,0763138;23,3378626;10,74506;22,620206;5,4888067;6,8877041;248,8552133;0,0017955;0,0017955;0,0017955;6,1485373;8,2718001;59,9943699;0,0017955;0,0017955;0,0017955;0,0478436;0,0239217;182,9897782;0,0357905;0,0357905;0,0357905;0,172885;0,0821984;193,0849228;0,0371623;0,0371623;0,0371623;0,2194437;0,1049188;0;29,111844846;4,66944160626;9,339257979376;8,83075677678;2,60332434825;3,6755055554
"10";2014;143,1293082;23,0397114;10,7898649;23,2707232;5,4737236;6,9842544;249,0865689;0,002048;0,002048;0,002048;6,1171959;8,2101608;60,0017082;0,002048;0,002048;0,002048;0,0478483;0,0239243;186,7578867;0,0360592;0,0360592;0,0360592;0,1731723;0,0828635;196,8627033;0,0377165;0,0377165;0,0377165;0,220519;0,1061025;0;28,764118656;4,68004756149;9,219764412152;9,08508965776;2,614210241785;3,66052975232
"11";2015;144,0744619;22,808731;10,8332895;23,8196425;5,4646724;7,0678846;249,3337928;0,0023028;0,0023028;0,0023028;6,0860205;8,1490718;60,0114701;0,0023028;0,0023028;0,0023028;0,0478545;0,0239273;184,6024059;0,0362944;0,0362944;0,0362944;0,1753883;0,0834456;197,3924342;0,0382322;0,0382322;0,0382322;0,221936;0,106877;0;29,232818832;4,68684829476;9,127204561944;9,299713788882;2,624769354595;3,64692265476
"12";2016;144,8924933;22,6256222;10,8723726;24,2788377;5,4589058;7,1389044;249,5915719;0,0025593;0,0025593;0,0025593;6,0551409;8,0885196;60,0233143;0,0025593;0,0025593;0,0025593;0,0478619;0,0239308;188,0603508;0,0364992;0,0364992;0,0364992;0,175355;0,0839517;199,3791218;0,0387156;0,0387156;0,0387156;0,2228738;0,1074784;0;28,899320016;4,68993337131;9,053842598548;9,479270141844;2,634281067735;3,63518455902
"13";2017;145,6033576;22,4801719;10,9074628;24,6644678;5,4555485;7,1994174;249,8695461;0,0028178;0,0028178;0,0028178;6,0244714;8,0284949;60,0369666;0,0028178;0,0028178;0,0028178;0,0478702;0,023935;191,9565551;0,0366787;0,0366787;0,0366787;0,176244;0,0843951;202,5924301;0,039172;0,039172;0,039172;0,2235515;0,1079843;0;28,492288804;4,68994727684;8,99558359636;9,630074685762;2,642828941795;3,62399055354
"14";2018;146,2514116;22,3682335;10,9409738;24,9948071;5,4549307;7,252581;250,1573421;0,003078;0,003078;0,003078;5,9939872;7,9690063;60,0521769;0,0030424;0,0030424;0,0030424;0,0478791;0,0239396;188,9270065;0,0368392;0,0368392;0,0368392;0,1770386;0,0847914;202,4686883;0,0395949;0,0395949;0,0395949;0,2243407;0,108425;0;29,047444608;4,68786569023;8,950763118948;9,759269725982;2,65099802243;3,61376450358
"15";2019;146,8151365;22,2786523;10,970678;25,2740681;5,4553081;7,2980516;250,4510633;0,0033388;0,0033388;0,0033388;5,9637629;7,9100384;60,0687707;0,0031121;0,0031121;0,0031121;0,047889;0,0239445;193,4864008;0,0369816;0,0369816;0,0369816;0,1777441;0,0851433;204,7810211;0,0399055;0,0399055;0,0399055;0,2250987;0,1088165;0;28,52917186;4,68357659299;8,91491000722;9,868501483794;2,65824640536;3,60396940414
"16";2020;147,3288572;22,2096164;10,9985995;25,5152345;5,4571187;7,3381928;250,768031;0,0035997;0,0035997;0,0035997;5,9338948;7,8516593;60,0865847;0,0031745;0,0031745;0,0031745;0,0478995;0,0239499;198,0644863;0,0371107;0,0371107;0,0371107;0,1783822;0,0859121;208,6131516;0,0401336;0,0401336;0,0401336;0,2257906;0,109386;0;28,004536266;4,677690218;8,887296000104;9,96284425403;2,665064759925;3,59476959478
"17";2021;147,78553;22,1548938;11,0238331;25,7224099;5,4594924;7,3731567;251,0962449;0,0038599;0,0038599;0,0038599;5,9041776;7,7938349;60,1054857;0,0032373;0,0032373;0,0032373;0,0479105;0,0239553;194,5264311;0,0372278;0,0372278;0,0372278;0,1789605;0,0857502;208,4177971;0,0403307;0,0403307;0,0403307;0,2264284;0,1096495;0;28,609748132;4,67066046158;8,865422719684;10,04390164116;2,67123256686;3,5858178657
"18";2022;148,1627904;22,1071655;11,0444321;25,8958313;5,4611366;7,4022244;251,4265263;0,0041192;0,0041192;0,0041192;5,8748186;7,7364793;60,1253489;0,0033004;0,0033004;0,0033004;0,0479223;0,023961;197,9183529;0,0373312;0,0373312;0,0373312;0,179471;0,0863392;209,9040214;0,0405084;0,0405084;0,0405084;0,2269949;0,1099804;0;28,233934932;4,66171728565;8,84635760466;10,111766893914;2,676277045305;3,57676883452
"19";2023;148,5299056;22,0726232;11,0652537;26,0518559;5,4641141;7,4292519;251,7721282;0,0043773;0,0043773;0,0043773;5,8456007;7,679634;60,1460775;0,0033635;0,0033635;0,0033635;0,0479341;0,023967;201,5813001;0,0374287;0,0374287;0,0374287;0,1799517;0,0866958;212,7478914;0,040675;0,040675;0,040675;0,2275148;0,1103819;0;27,820902718;4,65237227397;8,832578794568;10,17283218341;2,681376769015;3,56820204986
"20";2024;148,8678422;22,0458902;11,0847095;26,1898404;5,467429;7,4535549;252,121688;0,0046344;0,0046344;0,0046344;5,8164489;7,6232844;60,1675865;0,0034269;0,0034269;0,0034269;0,0479466;0,0239731;197,697405;0,0375197;0,0375197;0,0375197;0,1804002;0,0865884;211,9543152;0,040835;0,040835;0,040835;0,228003;0,110536;0;28,460897528;4,64248070373;8,821931843724;10,226846304998;2,68614587181;3,55977495062
"21";2025;149,1434499;22,020181;11,1002108;26,3059895;5,4696464;7,4736764;252,470375;0,0048905;0,0048905;0,0048905;5,787607;7,567389;60,1898047;0,0034653;0,0034653;0,0034653;0,0479592;0,0239797;201,7309161;0,0376015;0,0376015;0,0376015;0,180803;0,0871211;213,6313411;0,0409749;0,0409749;0,0409749;0,2284483;0,1108123;0;27,983607232;4,63123654971;8,8116984772;10,27232642793;2,68995582639;3,55110999824
"22";2026;149,3976521;21,9993836;11,1146515;26,4097603;5,4720151;7,49188;252,8354684;0,005145;0,005145;0,005145;5,7590341;7,512015;60,2126706;0,0034793;0,0034793;0,0034793;0,0479723;0,0239862;205,0274819;0,0376784;0,0376784;0,0376784;0,181181;0,0873097;216,4047566;0,041084;0,041084;0,041084;0,2288595;0,1111123;0;27,608789404;4,61966646741;8,803434886152;10,312968173362;2,693508804205;3,54258774492
"23";2027;149,6277622;21,9816914;11,1277396;26,50218;5,4742719;7,5081802;253,2047386;0,0053983;0,0053983;0,0053983;5,7305514;7,4571303;60,2361144;0,0034936;0,0034936;0,0034936;0,0479858;0,023993;202,9731016;0,0377507;0,0377507;0,0377507;0,1815361;0,0874874;216,5718937;0,0411787;0,0411787;0,0411787;0,229248;0,1113331;0;27,980315888;4,60766181407;8,79641709764;10,349173195048;2,69673385896;3,53406587632
"24";2028;149,8068597;21,9622158;11,1374163;26,5795045;5,4753265;7,5213283;253,5788994;0,00565;0,00565;0,00565;5,7025506;7,4027746;60,2600991;0,0035079;0,0035079;0,0035079;0,0479997;0,0239998;205,4706495;0,037816;0,037816;0,037816;0,1818571;0,0876479;217,961113;0,0412637;0,0412637;0,0412637;0,2296044;0,1115187;0;27,708115344;4,5948501135;8,788686757848;10,37947840673;2,699131085415;3,525324012
"25";2029;149,9801168;21,9462778;11,1469445;26,6510904;5,4766774;7,5337217;253,9642955;0,0058999;0,0058999;0,0058999;5,6745771;7,3488596;60,2845655;0,0035222;0,0035222;0,0035222;0,0480135;0,0240069;209,0305446;0,037879;0,037879;0,037879;0,1821655;0,0878023;220,4221974;0,0413439;0,0413439;0,0413439;0,2299383;0,1116877;0;27,287941478;4,5819430563;8,782374347012;10,407540136074;2,70149234047;3,5166899334
"26";2030;150,141431;21,9322843;11,1558336;26,7166335;5,4780208;7,5451302;254,3510942;0,0061484;0,0061484;0,0061484;5,6464667;7,2954161;60,3094761;0,0035366;0,0035366;0,0035366;0,0480279;0,0240138;205,3378407;0,0379394;0,0379394;0,0379394;0,1824617;0,0879504;219,6562424;0,0414211;0,0414211;0,0414211;0,2302605;0,1118497;0;27,88165583;4,56887895023;8,776841694908;10,43323972065;2,70369855393;3,50801347148
"27";2031;150,2638218;21,9158903;11,1620552;26,7717911;5,4783274;7,5542465;254,7358256;0,0063955;0,0063955;0,0063955;5,6189929;7,2424054;60,3348045;0,0035514;0,0035514;0,0035514;0,0480423;0,0240211;208,2488248;0,0379948;0,0379948;0,0379948;0,1827331;0,0880862;220,8971957;0,041494;0,041494;0,041494;0,2305607;0,1120001;0;27,545115164;4,55524279729;8,77034846116;10,454880189964;2,705257306495;3,49921665632
"28";2032;150,3854963;21,9018916;11,1683924;26,8241717;5,4788995;7,5630709;255,1324378;0,0066409;0,0066409;0,0066409;5,5915323;7,189854;60,3605056;0,0035657;0,0035657;0,0035657;0,0480568;0,0240285;212,1911371;0,0380488;0,0380488;0,0380488;0,1824114;0,0882186;223,5138703;0,0415641;0,0415641;0,0415641;0,2306069;0,1121435;0;27,06575158;4,54165954111;8,764815047612;10,475434790524;2,706844082725;3,49069934024
"29";2033;150,5203109;21,8918042;11,1758369;26,8767732;5,480181;7,5723471;255,5313625;0,0068848;0,0068848;0,0068848;5,563818;7,1377663;60,3865639;0,0035803;0,0035803;0,0035803;0,0480718;0,0240358;208,7611516;0,0381033;0,0381033;0,0381033;0,1826771;0,0883519;222,9947377;0,0416332;0,0416332;0,0416332;0,2306412;0,1122848;0;27,620673052;4,52835953655;8,760848325132;10,496074976606;2,70869950212;3,48213980114
"30";2034;150,6052468;21,8765754;11,1797293;26,9182837;5,479896;7,5789062;255,9292869;0,0071271;0,0071271;0,0071271;5,536577;7,0861198;60,4129738;0,0035949;0,0035949;0,0035949;0,0480869;0,0240435;210,9693076;0,0381527;0,0381527;0,0381527;0,1835046;0,0884726;224,0874958;0,0417003;0,0417003;0,0417003;0,2310827;0,1124208;0;27,379131654;4,51435858798;8,754822537848;10,512380171938;2,709692434285;3,47304966904
"31";2035;150,6736825;21,8605727;11,1825145;26,9551638;5,4792025;7,5844741;256,3355541;0,0073674;0,0073674;0,0073674;5,509609;7,0348847;60,4396883;0,0036097;0,0036097;0,0036097;0,048102;0,024051;214,1038542;0,038199;0,038199;0,038199;0,1831444;0,0885862;225,921362;0,0417635;0,0417635;0,0417635;0,2313212;0,1125461;0;27,006753536;4,50018027422;8,748487043236;10,526875403556;2,710416528845;3,46429687226
