"";"Ca";"Mg";"K";"Na";"NH4";"Al";"group_id";"Date"
"1";112,2606659;60,7279358;59,8254967;8,9396286;0,8161556;489,881897;"1";2005-01-01
"2";114,6519699;59,801693;59,8066597;6,6499162;0,8809029;489,9085999;"1";2005-02-01
"3";115,9556122;58,6130142;59,2359467;5,515192;1,0593035;490,1088562;"1";2005-03-01
"4";116,8609924;57,6867676;58,958416;4,6664815;0,9100268;490,1749268;"1";2005-04-01
"5";116,4492722;56,377758;57,5613174;4,0314226;0,8229871;490,2966919;"1";2005-05-01
"6";115,2186584;55,0357628;56,1482315;3,6266661;0,7777099;490,7359314;"1";2005-06-01
"7";112,1207657;53,2611198;54,5774384;3,5278432;0,6411889;492,3699951;"1";2005-07-01
"8";111,7194824;53,7826805;52,8579559;3,9784489;0,1886505;490,9711609;"1";2005-08-01
"9";111,1994629;53,1894035;51,699234;4,3908634;0,3332234;490,513031;"1";2005-09-01
"10";110,9576416;52,0210609;51,8526993;3,928112;0,477152;491,2548828;"1";2005-10-01
"11";109,5735855;50,4853134;49,305481;3,7865632;0,7817628;492,8277893;"1";2005-11-01
"12";109,0448837;49,6120148;48,4193802;4,1865668;0,9635797;493,2304993;"1";2005-12-01
"13";108,9531631;48,7785568;47,1496696;4,475131;1,217738;493,5792236;"1";2006-01-01
"14";108,7589493;47,805191;46,9356041;3,379663;1,2092785;494,387085;"1";2006-02-01
"15";108,763443;47,0163841;46,5796776;3,2919319;1,3196722;494,5995789;"1";2006-03-01
"16";108,3817444;46,0297432;46,3568153;3,0544851;1,0529799;495,1043701;"1";2006-04-01
"17";107,072464;44,7763977;45,1052284;2,5268476;0,8871158;495,6008911;"1";2006-05-01
"18";105,3661575;43,5000954;43,8547897;2,1889355;0,8084256;496,2582703;"1";2006-06-01
"19";102,2042847;41,9050636;42,3183022;2,1258359;0,6581862;497,8719177;"1";2006-07-01
"20";101,8541412;42,3469543;40,499115;2,4111254;0,1916098;496,6369019;"1";2006-08-01
"21";100,9940643;41,6644707;39,4786949;2,1070948;0,332002;496,7193909;"1";2006-09-01
"22";100,4739304;40,6990318;39,8503761;2,2657597;0,4723608;497,2728882;"1";2006-10-01
