"";"Year";"N_PP";"Ca_PP";"Mg_PP";"K_PP";"S_PP";"P_PP";"N_PU";"Ca_PU";"Mg_PU";"K_PU";"S_PU";"P_PU";"N_AU";"Ca_AU";"Mg_AU";"K_AU";"S_AU";"P_AU";"N_Diff";"Ca_Diff";"Mg_Diff";"K_Diff";"S_Diff";"P_Diff"
"1";2005;1489651,640625;352735,6542969;91387,161133;237768,3437502;46733,9936524;81487,8520507;278501,4301759;46246,2740478;15227,4692079;39642,1845092;6989,0708657;12235,7771035;278501,4301759;47891,5491637;16076,1463624;47010,2877807;6989,0698393;12235,777836;0;-1645,2751159;-848,677154500001;-7368,1032715;0,00102639999931853;-0,000732500000594882
"2";2006;1087249,0429688;328457,1640624;79962,3498533;147433,7070312;38698,4331055;67349,2749023;278066,7463377;45774,589844;15079,2796019;39210,0360717;6973,9671783;12168,2870712;278066,7658689;47744,0758362;16095,1955642;48335,4244386;6973,9661484;12168,287361;-0,0195311999996193;-1969,4859922;-1015,9159623;-9125,3883669;0,0010299000005034;-0,000289800000246032
"3";2007;700431,1904297;304730,1796876;68849,8881837;66568,9407958;30974,9771729;53759,5671385;277580,6873779;45807,2751464;15054,4383544;39085,2704467;6969,6449812;12125,4998551;277580,6912842;47955,4145203;16162,5126191;50505,6910401;6969,6445847;12125,5007324;-0,00390630000038072;-2148,13937390001;-1108,0742647;-11420,4205934;0,000396500000533706;-0,000877300000865944
"4";2008;502056,1933596;317970,7499999;68143,6469727;40161,2004394;28562,8062745;49334,8415528;278080,2744141;46144,765625;15104,093048;39234,9068603;7006,3187406;12158,8641818;278080,2618408;48437,8548124;16286,9364242;52959,510376;7006,3179626;12158,8646701;0,0125732999877073;-2293,0891874;-1182,8433762;-13724,6035157;0,000777999999627355;-0,000488300000142772
"5";2009;357309,5366211;342735,734375;70155,619629;47583,8569489;27332,9223633;46891,3937987;277578,4368895;46108,5837403;15070,3575745;39118,4540406;6999,7743225;12120,1628723;277578,449463;48553,4488831;16331,4864807;55377,5737304;6999,774025;12120,1626891;-0,0125734999892302;-2444,86514279999;-1261,1289062;-16259,1196898;0,000297499999760475;0,000183199999810313
"6";2010;310699,0437012;357161,75;68243,9375001;53111,5499876;23886,1275634;40536,3476561;276565,531738;45910,0876464;14995,4942934;38869,765625;6974,1063768;12044,2790451;276565,5521239;48535,0168761;16349,5083236;56648,8095702;6974,1055908;12044,2795791;-0,0203858999884687;-2624,92922970001;-1354,0140302;-17779,0439452;0,000786000000516651;-0,000534000000698143
"7";2011;274112,5273437;369335,8242186;66270,5783691;55205,6462402;20630,0036622;34528,3026122;275320,2192381;45522,4163817;14893,9145204;38556,6871947;6930,3064956;11955,2965243;275320,2222898;48312,2691345;16332,9983292;57495,7503662;6930,3062207;11955,2962799;-0,00305170001229271;-2789,8527528;-1439,0838088;-18939,0631715;0,000274899999567424;0,00024440000015602
"8";2012;221337,2309571;380119,8339844;64277,2451172;57959,3205568;17496,8405761;28737,4962159;274190,3092042;45199,0039061;14799,9231261;38291,2079467;6897,1532516;11877,3385849;274190,3178712;48144,4958802;16319,2906189;58297,156372;6897,1520766;11877,3389893;-0,00866699998732656;-2945,4919741;-1519,3674928;-20005,9484253;0,00117499999942083;-0,000404399999752059
"9";2013;238061,9414061;390471,7675783;62376,2050781;60445,1149902;14507,753418;23195,2890625;273557,2780763;45029,6970213;14749,7010191;38135,4732667;6877,7396928;11831,6980668;273557,2694091;48119,4019014;16343,4568176;59097,6496583;6877,7392656;11831,6981047;0,00866719998884946;-3089,7048801;-1593,7557985;-20962,1763916;0,000427199999649019;-3,78999993699836e-05
"10";2014;226252,5292969;396539,1132813;59159,621338;59414,4628905;10788,3751831;16363,9727176;272924,2751465;44860,3851317;14699,4799194;37979,7431031;6858,3250734;11786,0564272;272924,2625729;47854,5018921;16375,3016051;60009,15625;6858,3241653;11786,0567322;0,0125735999899916;-2994,1167604;-1675,8216857;-22029,4131469;0,000908099999833212;-0,00030499999957101
