"";"Ca";"Mg";"K";"Na";"NH4";"Al";"group_id";"Date"
"1";87,966507;72,4542236;85,4390335;6,8029079;0,0004125;780,677124;"1";2005-01-01
"2";88,3147583;71,0359116;85,6074142;5,3460131;0,0003382;782,7203369;"1";2005-02-01
"3";88,2677078;69,5187912;85,7828369;4,7084131;0,0003802;785,1088867;"1";2005-03-01
"4";88,1981735;67,9979095;86,0185699;3,9022048;0,0003338;787,0663452;"1";2005-04-01
"5";87,5370712;65,7864532;86,2745361;3,2300239;0,0002662;789,5743408;"1";2005-05-01
"6";87,2952805;63,8837395;86,9035721;2,7979684;0,0002324;791,8357544;"1";2005-06-01
"7";83,6265335;59,5275688;87,582695;2,4262686;0,0001385;797,6087646;"1";2005-07-01
"8";88,00634;62,1242943;88,6041412;2,9011569;9,6e-05;794,3366089;"1";2005-08-01
"9";90,2379913;62,4646492;89,7734299;3,5920236;0,0001713;793,5834351;"1";2005-09-01
"10";90,787323;61,6725578;90,5579529;3,2473078;0,0001888;795,1578369;"1";2005-10-01
"11";90,9259186;62,0311661;89,9775314;3,9861863;0,0003717;796,7285156;"1";2005-11-01
"12";90,1564102;61,2711754;89,8936386;4,5757003;0,0004298;798,0422974;"1";2005-12-01
"13";89,8177109;60,5000687;89,8081207;4,9491448;0,0003963;799,3988647;"1";2006-01-01
"14";88,9648361;59,3032455;89,6987228;3,6761148;0,0003769;801,2270508;"1";2006-02-01
"15";88,0498581;58,0003624;89,7340546;3,3968155;0,0004034;803,156311;"1";2006-03-01
"16";87,258049;56,5876999;89,9494019;3,0479441;0,000333;804,8804321;"1";2006-04-01
"17";85,8295288;54,4278259;90,2047272;2,3461876;0,0002565;807,4179688;"1";2006-05-01
"18";85,1742706;52,6526718;90,9003448;1,9432951;0,0002228;809,4841309;"1";2006-06-01
"19";81,2424698;48,8055115;91,586853;1,6872041;0,000133;814,7071533;"1";2006-07-01
"20";86,0333481;51,3042755;92,6224442;2,035567;9,46e-05;811,204834;"1";2006-08-01
"21";87,8748779;51,3243256;93,8161392;1,8632818;0,0001653;810,9668579;"1";2006-09-01
"22";88,2245331;50,6733055;94,7249832;2,0679142;0,000181;812,0414429;"1";2006-10-01
"23";88,3959885;51,0919571;94,1547394;3,2047648;0,000359;812,918396;"1";2006-11-01
"24";87,5270233;50,4152451;94,1232986;3,9062116;0,0004149;813,947998;"1";2006-12-01
"25";86,5326309;49,6944542;94,0898895;4,3874741;0,0003925;815,2639771;"1";2007-01-01
"26";85,3893433;48,6144218;94,0943069;3,8444419;0,0003442;816,7630615;"1";2007-02-01
