"";"Year";"N_PP";"Ca_PP";"Mg_PP";"K_PP";"S_PP";"P_PP";"N_PU";"Ca_PU";"Mg_PU";"K_PU";"S_PU";"P_PU";"N_AU";"Ca_AU";"Mg_AU";"K_AU";"S_AU";"P_AU";"N_Diff";"Ca_Diff";"Mg_Diff";"K_Diff";"S_Diff";"P_Diff"
"1";2005;1398512,65625;379173,8789062;104827,7241211;293597,794922;50097,9487305;73918,8588868;228589,3442382;41797,6076662;15085,5223998;40582,1122742;7214,0031089;11966,9781495;228589,333496;43442,8766478;15934,1992799;52097,5474855;7214,0024986;11966,9781495;0,0107421999855433;-1645,2689816;-848,6768801;-11515,4352113;0,000610299999607378;0
"2";2006;1092399,1875001;350142,7226561;93336,0146484;256581,4531251;42258,6308595;59749,112549;230368,8112792;46246,2729951;15227,4692383;40974,956421;7299,7982026;13104,1538088;230368,8220214;48215,7496034;16243,3812561;54759,5566405;7299,7979585;13104,1538088;-0,0107422000146471;-1969,4766083;-1015,9120178;-13784,6002195;0,000244099999690661;0
"3";2007;798060,8964844;325967,3339844;82170,5844728;220774,9423826;34691,5137942;46237,1103515;228534,5960691;45774,5890045;15079,2788085;40542,8039552;7249,5726319;12957,2460936;228534,5980223;47922,7280885;16187,350212;55577,8962402;7249,5715793;12957,2460936;-0,00195320000057109;-2148,139084;-1108,0714035;-15035,092285;0,00105260000054841;0
"4";2008;220667,2871094;302055,8535157;70766,765869;184398,6464844;26992,1235962;32462,734619;228048,5089112;45807,2726898;15054,438263;40418,0386353;7245,2505645;12896,5283208;183515,9268799;48142,2059631;16258,8630067;56760,5029296;7245,2500915;12896,5283208;44532,5820313;-2334,9332733;-1204,4247437;-16342,4642943;0,000473000000056345;0
"5";2009;35263,4416503;348316,1425782;82094,100586;214204,2128906;31634,074829;41162,9310302;228548,1499025;46144,7640991;15104,0927734;40567,6757813;7281,9244081;12938,8579104;172818,2069092;48540,9808654;16340,1312637;57339,0855714;7281,9232637;12938,8564452;55729,9429933;-2396,2167663;-1236,0384903;-16771,4097901;0,00114440000015748;0,00146519999907468
"6";2010;5953,805664;401248,1796876;103466,4497072;272005,9726564;40351,9130859;58149,6506347;228046,3148193;40723,2421266;15070,3571475;40451,2260742;7275,3797607;12891,1918944;172465,2532959;43218,6393434;16357,5524978;57916,7980957;7275,3791045;12891,1918944;55581,0615234;-2495,3972168;-1287,1953503;-17465,5720215;0,000656199999866658;0
"7";2011;5265,2783203;420136,7402343;127571,9589845;337013,064453;49856,1408692;76879,1694336;227033,3873292;36598,9730378;14995,4939269;40202,5339356;7249,7117613;12797,375976;171875,6343994;39235,6347046;16355,5584259;58656,8195801;7249,7105407;12797,375976;55157,7529298;-2636,6616668;-1360,064499;-18454,2856445;0,00122060000012425;0
"8";2012;3913,7480468;423517,8457031;142162,7050782;399898,7558595;58832,6879883;94672,841797;225788,0748292;36065,7789307;13789,23233;39889,4604492;7205,9119112;12690,4628904;171179,2802734;38863,4816895;15232,3657532;59470,8847656;7205,9114535;12690,4628904;54608,7945558;-2797,7027588;-1443,1334232;-19581,4243164;0,000457699999969918;0
"9";2013;3727,2597656;425387,8789065;145781,1044923;432516,2929688;67906,4155274;112535,6577148;224658,154541;35599,9610747;12877,8461609;35822,9094848;7172,7586365;12603,5405268;170537,4830324;38554,1625673;14401,7074739;56499,708618;7172,7576752;12603,5405268;54120,6715086;-2954,2014926;-1523,861313;-20676,7991332;0,000961300001108611;0
"10";2014;2779,0830078;427329,5937501;146213,930664;439312,5898439;77187,1474612;130669,21875;224025,1398925;35384,4515534;12809,8692932;34240,7762452;7153,345123;12548,9326176;170127,8049315;38489,1707458;14411,3691711;55971,0491943;7153,3443756;12548,9340816;53897,334961;-3104,7191924;-1601,4998779;-21730,2729491;0,000747400000363996;-0,00146400000085123
"11";2015;2664,967041;428583,9980468;146520,4023436;440293,5468751;81038,4829101;149085,4160155;223392,1428224;35055,7243957;12723,9616394;33975,941284;6430,4916229;12494,3261724;169717,182251;38305,6235046;14400,3533782;56722,3692625;6430,4907073;12494,3261724;53674,9605714;-3249,8991089;-1676,3917388;-22746,4279785;0,000915600000553241;0
"12";2016;3199,7768554;427990,298828;146487,3720702;440340,9765627;81392,1005858;153603,4189453;223113,4615479;35016,3451538;12701,7904969;33882,8840331;6338,074173;11047,4096679;169472,5152585;38404,7073976;14449,6003113;57598,394287;6338,0734407;11047,4097289;53640,9462894;-3388,3622438;-1747,8098144;-23715,5102539;0,000732299999981478;-6,10000006417977e-05
"13";2017;1858,7463378;429448,0039063;146746,986328;441140,3828126;81511,0288086;154011,8701171;222176,7874755;34984,5689391;12670,5395508;33777,1030882;6318,9871826;10888,6268311;168920,1706543;38509,1341247;14488,6103364;58445,9523926;6318,9866791;10888,62677;53256,6168212;-3524,5651856;-1818,0707856;-24668,8493044;0,000503500000377244;6,1100001403247e-05
"14";2018;2973,750244;429295,7031249;146771,8085938;441320,7968752;81565,8706056;153960,9062502;221918,7777098;34649,629959;12603,4466248;33566,8281249;6288,0110625;10822,2070314;168686,0163573;38305,3742676;14489,1832886;59153,796875;6288,0104371;10822,2069094;53232,7613525;-3655,7443086;-1885,7366638;-25586,9687501;0,000625399999989895;0,000121999999464606
"15";2019;3227,5546874;428503,4394531;146641,6494139;441058,8828123;81547,888672;154038,8789062;219944,1722411;34597,6853028;12553,8005065;33408,0616454;6259,6145784;10743,8645022;167649,4177246;38378,7595215;14504,1834869;59872,2009279;6259,6139219;10743,8649901;52294,7545165;-3781,0742187;-1950,3829804;-26464,1392825;0,000656500000332016;-0,000487900000734953
