"";"Year";"N_PP";"Ca_PP";"Mg_PP";"K_PP";"S_PP";"P_PP";"N_PU";"Ca_PU";"Mg_PU";"K_PU";"S_PU";"P_PU";"N_AU";"Ca_AU";"Mg_AU";"K_AU";"S_AU";"P_AU";"N_Diff";"Ca_Diff";"Mg_Diff";"K_Diff";"S_Diff";"P_Diff"
"1";2005;1398512,65625;378678,1816405;104165,2182617;289434,3417967;50097,9587404;73918,8588868;228589,3442382;41921,5334474;15085,5223998;40582,1122742;7214,0031089;11966,9781495;228589,3364256;46857,3465272;17400,0978241;61309,9006347;7214,0034561;11966,9781495;0,00781260000076145;-4935,81307980001;-2314,5754243;-20727,7883605;-0,000347199999851;0
"2";2006;1092399,1757813;350142,8066407;92673,4941405;252417,9873046;42258,659424;59749,112549;230368,8112792;46246,2729951;15227,4692383;40974,956421;7299,7982026;13104,1538088;230368,8122557;52154,7181397;17998,1421662;65787,2440185;7299,7992704;13104,1538088;-0,000976500014076009;-5908,4451446;-2770,6729279;-24812,2875975;-0,00106779999987339;0
"3";2007;798061,0292969;325967,4277344;81508,0761719;216611,4990233;34691,5584716;46237,1103515;228534,5960691;45774,5890045;15079,2788085;40542,8039552;7249,5726319;12957,2460936;228534,6208496;52219,0259398;18101,29747;67605,9768066;7249,5726624;12957,2460936;-0,0247805000108201;-6444,4369353;-3022,0186615;-27063,1728514;-3,04999994114041e-05;0
"4";2008;264838,3183593;301525,1523439;69862,3894042;179513,7499999;26843,902893;32201,1447755;228048,5089112;45807,2726898;15054,438263;40418,0386353;7245,2505645;12896,5283208;193668,3399658;52812,0843507;18339,237152;69834,4865723;7245,2511749;12896,5297848;34380,1689454;-7004,81166090001;-3284,798889;-29416,447937;-0,000610399999459332;-0,00146400000085123
"5";2009;40143,2893066;336442,1855469;77746,0444337;199373,9951172;29680,8867188;37572,1199953;228548,1499025;46144,7640991;15104,0927734;40567,6757813;7281,9244081;12938,8579104;176692,5203857;53383,7160033;18498,6872559;70967,3659667;7281,9244081;12938,8579104;51855,6295168;-7238,9519042;-3394,5944825;-30399,6901854;0;0
"6";2010;5941,4970704;397201,9707031;96807,5131836;250672,5869141;37330,9963377;52518,9946288;228046,3148193;42870,9140016;15070,3571475;40451,2260742;7275,3797607;12891,1918944;176238,607178;50399,817566;18600,9210509;72068,5844726;7275,3798522;12891,1918944;51807,7076413;-7528,9035644;-3530,5639034;-31617,3583984;-9,15000009626965e-05;0
"7";2011;5901,7131347;421232,8496094;118658,6557618;309318,5624999;45750,0324707;69218,7216795;227033,3873292;37238,2074128;14995,4939269;40202,5339356;7249,7117613;12797,375976;176160,3248292;45195,0421142;18726,7267457;73616,9611817;7249,7118528;12797,3774412;50873,0625;-7956,8347014;-3731,2328188;-33414,4272461;-9,15000000532018e-05;-0,00146520000089367
"8";2012;5837,2307128;423990,6894533;139761,6552734;365680,8261719;53616,6499024;84938,7661132;225788,0748292;36783,8375244;14892,3807675;39889,4604492;7205,9119112;12690,4628904;174881,0670166;45226,2080688;18851,3017577;75342,8947754;7205,9122925;12690,4628904;50907,0078126;-8442,3705444;-3958,9209902;-35453,4343262;-0,000381300000299234;0
"9";2013;5770,3886719;425237,4257813;146897,8124998;421469,591797;61452,0366211;100496,783203;224658,154541;36395,0626372;13086,3617859;39623,9719848;7172,7586365;12603,5405268;174206,8277589;45311,8648071;17267,7600404;77069,784912;7172,7589873;12603,5405268;50451,3267821;-8916,8021699;-4181,3982545;-37445,8129272;-0,000350799999978335;0
"10";2014;5730,1162109;425718,3300782;146906,0390627;441086,4023437;69267,5048828;115915,9091798;224025,1398925;36221,8265534;13026,271637;35001,7449952;7153,345123;12548,9326176;173922,5275879;45598,8211059;17423,4656372;74380,0842286;7153,3458097;12548,9311524;50102,6123046;-9376,9945525;-4397,1940002;-39378,3392334;-0,000686700000187557;0,00146519999907468
"11";2015;5689,0986328;426168,5703125;147071,7744141;442293,042969;77139,8940429;131359,4101562;223392,1428224;36121,712677;13010,9108581;34789,628784;7133,9315643;12494,3261724;173216,1652834;45942,9906006;17616,4512327;76033,7565919;7133,9315949;12494,3261724;50175,977539;-9821,2779236;-4605,5403746;-41244,1278079;-3,06000001728535e-05;0
"12";2016;5655,0339353;426274,4160157;147360,7011719;443300,9140625;81448,2626954;147112,4726561;223113,4615479;36069,6849975;12968,3949891;34633,3215331;6655,2973175;12461,2792968;172848,9039304;46303,8974608;17767,5700988;77611,5351562;6655,2971497;12461,2792968;50264,5576175;-10234,2124633;-4799,1751097;-42978,2136231;0,000167799999871932;0
