"";"Ca";"Mg";"K";"Na";"NH4";"Al";"group_id";"Date"
"1";87,4622879;72,28582;85,0539474;6,7408886;0,0004156;782,8903809;"1";2005-01-01
"2";87,2536163;70,6326599;84,9794388;5,2246628;0,000331;785,930481;"1";2005-02-01
"3";86,467865;68,8015671;84,8210831;4,524148;0,0003666;789,6813965;"1";2005-03-01
"4";85,468689;67,0204163;84,6079025;3,7062273;0,0003187;792,7929688;"1";2005-04-01
"5";83,4752045;64,4793472;84,2002792;3,0377514;0,0002533;796,697998;"1";2005-05-01
"6";81,8508224;62,430275;84,0181808;2,6290419;0,0002216;800,2045288;"1";2005-06-01
"7";77,0083313;58,1022797;83,7920609;2,2951055;0,0001348;806,9451294;"1";2005-07-01
"8";80,9132233;61,7283821;83,9939423;2,8548768;0,0001061;803,1138916;"1";2005-08-01
"9";81,0562439;61,0927315;84,4652176;3,4428744;0,0001672;804,3236084;"1";2005-09-01
"10";80,9592972;60,1223068;84,878891;3,0922892;0,0001823;806,6743774;"1";2005-10-01
"11";80,0284958;59,8384438;83,8886719;3,6929536;0,0003492;810,2982788;"1";2005-11-01
"12";78,7349701;58,7792206;83,5205612;4,1963615;0,0004071;812,7753906;"1";2005-12-01
"13";77,8545761;57,6772995;83,1237564;4,4822116;0,0003896;815,4883423;"1";2006-01-01
"14";76,4646759;56,1461945;82,7776871;3,2304196;0,0003481;818,2575684;"1";2006-02-01
"15";74,9154968;54,4786491;82,4907532;2,9743373;0,0003684;821,3262939;"1";2006-03-01
"16";73,3532562;52,7960739;82,2659454;2,6690707;0,0003051;823,986145;"1";2006-04-01
"17";70,9294357;50,3887978;81,8734589;2,0346258;0,000238;827,545105;"1";2006-05-01
"18";69,2213135;48,5609093;81,7692261;1,6830924;0,0002082;830,4716797;"1";2006-06-01
"19";64,8398056;44,988472;81,5589218;1,4790151;0,0001286;835,9936523;"1";2006-07-01
"20";68,8136139;48,386097;81,7703247;1,8742148;0,0001067;832,1141357;"1";2006-08-01
"21";68,4643097;47,378891;82,2631378;1,632875;0,0001587;833,8245239;"1";2006-09-01
"22";68,3501816;46,6072426;82,8030701;1,8445535;0,000172;835,3781128;"1";2006-10-01
"23";67,2268295;46,1970367;81,838356;2,8314626;0,0003233;838,1053467;"1";2006-11-01
"24";65,9305267;45,2042732;81,5315018;3,4302094;0,0003751;840,0912476;"1";2006-12-01
"25";64,4532166;44,0893402;81,1743927;3,7867894;0,0003589;842,6329346;"1";2007-01-01
"26";62,9774551;42,7367249;80,9405823;3,2814703;0,0003093;844,7891235;"1";2007-02-01
"27";61,2556572;41,2070999;80,7580338;3,2116287;0,000328;847,4345093;"1";2007-03-01
"28";59,740284;39,7456894;80,6312256;2,8615496;0,0002767;849,6616821;"1";2007-04-01
"29";57,5138931;37,7921066;80,3862839;2,5379229;0,0002197;852,3694458;"1";2007-05-01
"30";56,0399437;36,3235016;80,3951416;2,1595612;0,000194;854,6243896;"1";2007-06-01
"31";52,3767204;33,5939865;80,2011337;1,9044371;0,0001233;858,9334106;"1";2007-07-01
"32";55,985672;36,4502563;80,4200592;2,4432344;0,0001046;855,3812866;"1";2007-08-01
"33";55,5712929;35,5147209;80,996582;2,1015322;0,0001503;856,8735352;"1";2007-09-01
"34";55,5587769;34,90905;81,651413;2,1164896;0,0001627;858,0175171;"1";2007-10-01
"35";53,8421211;33,8907738;80,5065689;1,7152318;0,0002948;861,3658447;"1";2007-11-01
"36";52,438633;33,137764;80,2994156;3,385386;0,0003272;862,5770264;"1";2007-12-01
"37";50,9197388;31,9463177;79,8774948;2,5373909;0,0003538;865,322876;"1";2008-01-01
"38";49,4514656;30,6998901;79,6961746;2,087702;0,0002832;867,2052612;"1";2008-02-01
"39";47,809742;29,4070435;79,5563583;2,3352826;0,0002968;869,2736816;"1";2008-03-01
"40";46,4019012;28,1810017;79,4809189;1,9823488;0,0002532;871,0918579;"1";2008-04-01
"41";44,4898949;26,6410313;79,3321075;1,6808265;0,0002043;873,1274414;"1";2008-05-01
"42";43,3062744;25,5857182;79,42202;1,4794049;0,0001824;874,6585693;"1";2008-06-01
"43";40,3979454;23,6448078;79,2402649;1,3184786;0,000119;877,8117065;"1";2008-07-01
"44";43,3984413;25,8188076;79,4648743;1,7163773;0,0001011;874,9736328;"1";2008-08-01
"45";43,2237511;25,2944832;80,1702347;2,3228393;0,0001437;875,5091553;"1";2008-09-01
"46";43,3289757;24,8509388;80,8500443;2,0840657;0,000155;876,3704224;"1";2008-10-01
"47";41,4336624;24,1373463;79,9300385;2,6581113;0,0002672;878,7374268;"1";2008-11-01
"48";40,0937576;23,4486408;79,6794434;3,0746312;0,0003013;880,1523438;"1";2008-12-01
"49";39,0685883;22,6929874;79,351593;3,2159419;0,0002857;881,8237915;"1";2009-01-01
"50";37,8094139;21,6807194;79,1919174;2,1792092;0,0002606;883,5395508;"1";2009-02-01
"51";36,4623413;20,671772;79,0897675;2,0557947;0,0002748;885,2175903;"1";2009-03-01
"52";35,3366814;19,7906704;79,086586;1,8827751;0,0002364;886,4439697;"1";2009-04-01
"53";33,802002;18,6484222;78,9882126;1,4195781;0,0001937;887,9335938;"1";2009-05-01
"54";32,9494896;17,9156075;79,1420822;1,1688852;0,0001743;888,9454956;"1";2009-06-01
"55";30,6770229;16,5519257;78,9720764;1,0532851;0,0001158;891,2374268;"1";2009-07-01
"56";33,0748405;18,1592426;79,200386;1,365479;9,8e-05;889,0465088;"1";2009-08-01
"57";33,0672112;17,723959;79,9108429;1,1622092;0,0001386;889,6548462;"1";2009-09-01
"58";33,3591766;17,5364418;80,6829453;1,3954921;0,000149;889,9028931;"1";2009-10-01
"59";31,5809975;16,9656944;79,7252884;2,1793051;0,0002496;891,7333374;"1";2009-11-01
"60";30,4730263;16,4584026;79,4927216;2,6245165;0,0002799;892,7674561;"1";2009-12-01
"61";29,2150021;15,9042978;79,1640244;2,815264;0,0002655;894,2389526;"1";2010-01-01
"62";28,2187653;15,2482309;79,0864639;2,4340043;0,000241;895,2384644;"1";2010-02-01
"63";27,132021;14,5927763;79,0546341;2,4305859;0,0002562;896,3743896;"1";2010-03-01
"64";26,3320312;14,0047474;79,1148148;2,1879694;0,0002238;897,171936;"1";2010-04-01
"65";25,2362537;13,2911339;79,1209946;1,9847924;0,0001859;897,9457397;"1";2010-05-01
"66";24,7232857;12,8242512;79,3505325;1,694621;0,0001683;898,5216064;"1";2010-06-01
"67";22,9972801;11,865715;79,1928406;1,52631;0,0001137;900,2049561;"1";2010-07-01
"68";24,8543053;13,062645;79,4255142;1,9786141;9,58e-05;898,4581909;"1";2010-08-01
"69";25,077528;12,8195944;80,1896667;1,6800886;0,0001351;898,7787476;"1";2010-09-01
"70";25,5412025;12,7489367;81,0401688;1,7208306;0,0001451;898,829895;"1";2010-10-01
"71";23,7242813;11,9489851;79,8831863;1,3295184;0,0002371;901,1207886;"1";2010-11-01
"72";22,8601589;11,843914;79,7332764;2,7742946;0,0002589;901,2952881;"1";2010-12-01
"73";21,8116608;11,2564011;79,3265839;1,9340796;0,0002712;902,9893188;"1";2011-01-01
"74";21,0550499;10,7514658;79,2837601;1,6008196;0,0002321;903,7019043;"1";2011-02-01
"75";20,2846889;10,3423424;79,2756042;1,8757758;0,0002446;904,3380127;"1";2011-03-01
"76";19,7183533;9,9266891;79,3655396;1,6001049;0,0002152;904,8646851;"1";2011-04-01
"77";18,9723911;9,4439297;79,4413986;1,378868;0,0001804;905,2594604;"1";2011-05-01
"78";18,6823273;9,1773472;79,7257996;1,2245909;0,0001642;905,4725342;"1";2011-06-01
"79";17,3444042;8,5004749;79,5784378;1,1097457;0,0001121;906,7004395;"1";2011-07-01
"80";18,7945633;9,3973083;79,8160248;1,4548091;9,41e-05;905,3675537;"1";2011-08-01
"81";19,2670288;9,4553852;80,6813736;2,0620427;0,000133;904,9387817;"1";2011-09-01
"82";19,8265762;9,4400616;81,5258789;1,8392245;0,0001423;904,9517212;"1";2011-10-01
"83";18,3705063;9,1942558;80,6098251;2,277524;0,0002275;906,2045288;"1";2011-11-01
"84";17,6537647;9,0732784;80,4112396;2,6070409;0,0002516;906,6964111;"1";2011-12-01
"85";17,3153858;8,9400158;80,0977249;2,6668947;0,000237;907,3651733;"1";2012-01-01
"86";16,7457447;8,5154095;80,0596237;1,7676049;0,0002255;908,1153564;"1";2012-02-01
"87";16,2333374;8,2028542;80,073761;1,7141554;0,000239;908,6321411;"1";2012-03-01
"88";15,8712511;7,9414692;80,2140884;1,5995452;0,0002105;908,8485107;"1";2012-04-01
"89";15,3114653;7,5596356;80,3115692;1,208416;0,0001778;909,1172485;"1";2012-05-01
"90";15,1683788;7,3725624;80,6329498;0,994782;0,000162;909,1876831;"1";2012-06-01
"91";14,0605078;6,8381042;80,4936676;0,90896;0,0001112;910,1629639;"1";2012-07-01
