"";"Ca_L1";"Mg_L1";"K_L1";"Na_L1";"NO3_L1";"NH4_L1";"SO4_L1";"Cl_L1";"P_L1";"DOC_L1";"pH_L1";"Al_L1";"R_L1";"HR_L1";"Si_L1";"Ca_L2";"Mg_L2";"K_L2";"Na_L2";"NO3_L2";"NH4_L2";"SO4_L2";"Cl_L2";"P_L2";"DOC_L2";"pH_L2";"Al_L2";"R_L2";"HR_L2";"Si_L2";"Ca_L3";"Mg_L3";"K_L3";"Na_L3";"NO3_L3";"NH4_L3";"SO4_L3";"Cl_L3";"P_L3";"DOC_L3";"pH_L3";"Al_L3";"R_L3";"HR_L3";"Si_L3";"Ca_L4";"Mg_L4";"K_L4";"Na_L4";"NO3_L4";"NH4_L4";"SO4_L4";"Cl_L4";"P_L4";"DOC_L4";"pH_L4";"Al_L4";"R_L4";"HR_L4";"Si_L4";"Ca_L5";"Mg_L5";"K_L5";"Na_L5";"NO3_L5";"NH4_L5";"SO4_L5";"Cl_L5";"P_L5";"DOC_L5";"pH_L5";"Al_L5";"R_L5";"HR_L5";"Si_L5";"Ca_L6";"Mg_L6";"K_L6";"Na_L6";"NO3_L6";"NH4_L6";"SO4_L6";"Cl_L6";"P_L6";"DOC_L6";"pH_L6";"Al_L6";"R_L6";"HR_L6";"Si_L6";"Ca_L7";"Mg_L7";"K_L7";"Na_L7";"NO3_L7";"NH4_L7";"SO4_L7";"Cl_L7";"P_L7";"DOC_L7";"pH_L7";"Al_L7";"R_L7";"HR_L7";"Si_L7";"Ca_L8";"Mg_L8";"K_L8";"Na_L8";"NO3_L8";"NH4_L8";"SO4_L8";"Cl_L8";"P_L8";"DOC_L8";"pH_L8";"Al_L8";"R_L8";"HR_L8";"Si_L8";"Date"
"2";11,794776;21,7285385;12,261364;32,5047989;18,0814972;1,1730806;20,2509003;50,093998;1,3541628;148,3186035;4,9667969;0,0844134;16,0868702;5,1015019;20,6076717;10,2609606;20,1038513;10,4611359;75,4248734;26,5237064;0,6697064;20,3426685;73,6120682;0,8625564;209,0127869;4,84375;0,0130396;21,8973465;7,961627;35,0035286;8,7595978;14,2702475;15,2703295;110,5172806;32,9528084;0,3255142;20,2307777;90,0538559;0,863159;235,8384705;4,828125;0,0137684;24,5941944;9,0970211;47,1518173;23,1164341;29,0651379;15,0812473;69,4766464;38,2954865;0,9407213;21,9379635;108,6964874;0,7151175;181,9832001;4,7304688;0,1966054;18,4200573;7,5775418;53,4894028;20,0043716;32,1643448;11,3326511;104,307045;42,9759789;0,546873;22,4127636;124,8925323;0,4760376;177,6371307;4,9589844;0,0824287;19,2260685;6,1506648;57,8310585;17,0765343;28,5431938;10,3785009;132,7512207;46,7756195;0,4011599;21,9572392;135,0839996;0,4790771;177,4199524;4,9980469;0,0720958;19,4046631;5,9410458;61,2870636;27,3770275;37,6394882;13,3234472;104,9204407;49,9523811;0,3869513;21,9093246;144,1342621;0,4907874;188,4900818;5,015625;0,0679156;20,7108536;6,2163024;64,25457;4,7071605;69,2510071;6,4577255;111,2310333;51,9292183;0,143782;21,9110184;149,7210388;0,4082804;189,3488922;5,5351562;0,0160196;23,2630558;3,7867856;66,1397781;2005-01-01
"3";20,8334942;38,0676422;17,4195042;45,2528725;46,4178505;2,2768967;23,1651554;52,6160431;4,9269819;576,8106689;4,7636719;0,206409;58,9911194;23,4104061;44,0955582;19,0803337;37,3221931;15,5230675;96,0273514;53,1449852;1,616693;23,9720993;73,5215302;3,4358654;739,5178833;4,7324219;0,0240549;74,8988724;30,7465267;72,8805389;19,0683556;31,1135426;25,3353081;159,114151;55,4900703;0,950197;25,6211948;134,9354095;4,0746017;796,4723511;4,609375;0,0448234;77,4960785;36,2856789;107,305069;27,5480518;34,572155;16,9868793;80,8333282;45,2360573;1,7951453;23,2162495;114,2819519;2,3196714;387,8034363;4,71875;0,2189608;39,1078644;16,2926292;74,1857452;24,5641403;39,2672806;13,0128422;112,7006531;49,8318253;1,0263029;23,9822617;127,1184921;1,5385696;382,8926086;4,9648438;0,0865426;41,5072021;13,1917448;69,1136551;21,1668549;35,3428345;11,9457245;141,36203;51,9464722;0,7978902;23,485075;137,6525116;1,4888206;371,660675;5,0273438;0,070048;40,9618492;12,1325321;67,8835831;31,4545593;42,0533257;14,8141251;120,2369385;53,5118599;0,7610621;23,4545689;147,719574;1,4728318;409,5950928;5,0253906;0,0703581;45,1198692;13,3937159;68,9163132;13,7682533;54,90382;11,345355;152,4620972;54,9429016;0,4351324;23,4356365;153,1409454;1,2440767;410,3976746;5,5;0,0186929;50,1129532;8,515296;70,1265869;2005-02-01
"4";31,0525665;56,0138893;22,347826;59,5917244;67,2813339;4,0641589;25,5191517;75,0462494;7,747664;989,5164185;4,65625;0,3647599;97,7940903;43,5653915;58,3059883;35,3743401;68,7206421;22,6574364;116,1525497;98,7283859;3,742976;27,2589512;88,8186264;5,6594901;1538,6794434;4,5703125;0,0578085;147,7308807;72,0804749;111,0591354;36,5479126;59,8699646;36,9270592;198,2571564;108,6638565;2,3918095;28,3472748;132,3315887;7,5176225;1889,8690186;4,5195312;0,077832;178,258606;91,7226791;178,3178558;37,4810524;46,9787521;20,1010017;97,3886871;69,8776932;3,4726906;23,7520542;116,1096191;5,23911;813,8787842;4,6679688;0,28049;80,7451706;35,5232315;106,610817;35,7979469;56,7982063;16,0270195;133,5584259;75,4143906;2,0292623;24,8212337;137,1110382;4,3047609;879,1417236;4,8300781;0,1462472;91,73349;33,8581886;88,2091446;31,6006699;52,3074112;14,9575424;169,9599762;71,1304703;1,6904911;24,5144711;153,1179962;5,0789762;864,50354;4,9648438;0,0902426;93,7158966;29,7846165;79,6325684;47,4034805;60,9763832;18,9633656;151,9057922;66,5315247;1,6890476;25,2857037;172,555069;6,2770662;1108,9449463;4,8515625;0,1392734;116,4451675;41,9755363;81,3103943;29,7297497;64,6694565;17,361681;213,3623352;68,5499725;1,1319225;25,2356625;180,3034515;6,9188375;1112,4123535;5,2207031;0,0423271;128,4571686;30,4588947;82,7205429;2005-03-01
"5";56,3641815;100,6847229;32,3560638;84,506134;140,462204;5,8592;28,4762039;88,7301636;14,2351542;2122,8979492;4,5195312;0,8162183;200,238678;103,032486;149,1286011;69,9569244;134,7955017;33,8924103;160,3802643;206,9112244;6,4923201;29,3401718;117,3613815;9,7328243;3188,1081543;4,4160156;0,1455005;289,6120605;165,8319702;253,658905;71,1352539;116,8711624;54,0143967;277,7703552;209,0264435;4,4777637;29,6469574;176,3349457;11,1039619;3766,9567871;4,3769531;0,1842439;337,2052307;200,9314728;381,0606995;51,086956;64,0081253;23,7086086;116,3213425;104,9386978;5,1972799;23,7695866;127,8955917;5,9878459;1244,979248;4,6328125;0,3351043;122,0910187;55,7631531;159,433075;50,0752907;78,8430023;19,1731281;156,5249481;109,4664688;3,1342466;24,8478088;153,5571442;4,3588314;1384,1190186;4,7949219;0,1713295;142,9135437;54,8177757;114,4883575;44,995903;73,7321243;17,9983807;199,4784546;95,4944153;2,7702579;24,3445187;172,5594788;5,0399675;1399,1777344;4,9941406;0,0829937;152,8718109;47,0107384;95,6028366;67,6211166;84,1047363;22,9047565;183,4281464;81,4444962;2,6380224;25,3029613;198,1616364;5,8653064;1866,5307617;4,8867188;0,1241594;197,9941711;68,6530838;97,5077896;55,8513527;79,2419205;24,4015274;285,0508728;86,4784546;2,0633988;25,7714176;218,3565979;6,9444175;1968,2857666;5,3046875;0,0351233;231,4604797;49,7232018;102,0617599;2005-04-01
"6";92,8296661;164,2268219;40,8023911;103,9752808;244,7589722;7,0293002;25,7562008;91,2342529;28,4214687;4101,3652344;4,3125;2,4651563;358,1402588;227,7690735;287,5461731;153,5479126;295,0127869;53,5640335;260,1303406;457,2455139;8,8768625;28,3166218;186,3745728;13,8534889;6748,7333984;4,3574219;0,2267863;599,6428833;364,4619751;748,6278076;140,7011261;231,8940582;79,4345627;441,384613;367,0115051;5,641715;26,4655628;300,5405884;5,1557794;6635,6601562;4,4609375;0,1242419;612,8574829;335,0940552;1028,3250732;105,5725479;131,9748535;42,8939857;210,6412354;243,3886871;12,8071566;36,4816017;225,9173126;21,9563923;2763,6018066;4,4960938;1,0471196;258,5051575;136,2951355;319,3748474;86,7359009;135,1642151;27,1892128;219,3934631;199,298996;6,1140366;27,6780701;206,608017;11,624567;2897,6154785;4,5410156;0,6276847;275,3874207;138,557663;154,9028168;72,4917984;116,817482;23,9643784;261,719635;145,1400909;5,3931351;25,7477531;216,4079132;11,745162;2683,2739258;4,7988281;0,1851402;277,3815308;105,9433212;122,4010773;86,8684616;105,9082718;25,9468155;209,8757935;92,1629868;2,9705796;24,5496464;231,7516479;1,9206171;2306,0371094;5,125;0,0564979;260,4353027;68,9985962;116,437767;84,3643036;97,319931;30,6316223;361,3097229;105,0357361;2,3840997;25,6742554;273,2999878;0;2344,911377;7,0390625;0,0005881;328,0741577;6,9131856;131,1381226;2005-05-01
"7";204,0633545;357,5422974;69,8213882;174,1109467;531,4248047;11,4159842;35,3560448;135,1954956;53,2921677;9666,9042969;4,1679688;7,7838554;796,4163208;584,5700073;690,3512573;270,7839355;521,1137085;73,0814819;361,9237366;835,0646362;9,0513744;32,1644554;256,1480103;12,0046463;11324,0751953;4,2714844;0,3889146;972,9892578;644,7359009;1572,3289795;143,4276428;237,7332458;61,1089478;374,3616333;371,4053345;3,3305519;15,5504608;292,1875;0,1321818;5972,09375;4,4257812;0,08568;544,4862671;308,6700439;1439,1062012;143,202652;178,9031219;42,0349503;211,9335938;343,3048401;9,5115604;26,3565979;268,6124573;0;2715,2382812;4,6777344;0,3047937;270,2375183;117,6536636;452,5917664;120,6584015;187,2752075;31,255188;259,7392273;285,6072998;5,8033848;26,3536396;259,7962341;0;3163,4240723;4,8574219;0,1482041;332,743988;119,1737671;199,1862946;105,2486191;168,5762634;29,7219582;336,225769;210,0087433;6,1640277;27,9501572;270,6386108;0;3319,5268555;5,3007812;0,0390108;390,0403137;84,1778564;166,2320557;95,0437622;114,9049606;25,767498;211,3088989;95,6891708;2,7118957;22,5012627;246,3517303;0;2226,0178223;5,5800781;0,0150733;275,5554504;42,4470825;125,2056503;93,2242661;93,1003342;28,4754391;346,0030823;102,3796539;2,0460088;20,5739365;268,75;0;2110,420166;9,8945312;6e-07;301,4458008;0,0428228;131,4910889;2005-06-01
"8";306,9806519;539,7337036;71,5574722;184,7394714;717,1849365;5,0636477;21,6782551;159,1603088;3,3552666;11153,7822266;4,5761719;0,5291467;1073,0529785;520,3445435;1366,505249;282,8384094;548,0584717;55,3112106;304,1971741;878,0429688;3,6571698;14,6702137;250,0000153;0,8156433;10191,6669922;4,3730469;0,1151816;910,9711914;544,9812622;2061,0285645;138,7219696;231,7109528;60,5999374;374,4563904;363,2121582;2,4592376;14,5359364;293,75;0;5374,8847656;4,5859375;0,037201;518,8258667;249,0149078;1933,6896973;141,8708954;177,5179291;37,2700195;190,2159119;372,3553162;6,026289;20,3474541;265,625;0;2117,8857422;4,7148438;0,2055117;213,3126831;89,2424469;507,9190369;125,8446426;194,8858948;28,1854916;240,4321442;314,4971313;4,1406107;20,0056572;253,1250153;0;2688,9106445;5,2480469;0,0333041;312,3909302;71,7391586;199,8784027;110,2840347;175,8644257;26,1462193;310,2769775;223,9046173;4,8504529;19,9631939;267,1875;0;2987,5739746;5,8398438;0,0074863;384,0979919;42,6983147;166,8231506;93,776062;113,2471695;24,6986389;204,1714172;92,1335754;2,3758893;20,7726116;244,9219055;0;2003,4157715;6,1875;0,0032995;267,3562927;18,8460178;125,5455627;92,3894501;88,8898468;28,3104515;345,3005676;99,2205276;1,8694212;20,2687225;265,625;0;1899,3780518;10,0859375;4e-07;271,3135681;0,0261519;131,9031067;2005-07-01
"9";342,663208;605,9343262;65,0073776;171,8301239;690,0718994;2,120311;15,7028246;153,90625;2,5362525;10038,4033203;5,6835938;0,0109033;1262,973877;171,0837708;1954,5212402;279,3650818;547,5440674;55,3890419;307,2746887;872,8255615;1,9623214;15,3619308;200;1,3951004;9172,5;4,7460938;0,0179899;932,9821167;377,3750916;2580,5778809;136,2116394;229,3011475;60,5906677;376,7655945;348,7372131;1,8135427;15,3741388;290,625;0,9070002;4837,3959961;4,8867188;0,0103773;513,1317749;177,9248199;2465,8730469;135,9745331;170,5848694;36,44067;186,7967224;390,5864258;4,1433468;20,0479298;262,5;0;1651,9508057;4,7226562;0,1987085;166,7963562;69,1966324;572,0043945;125,2610321;193,9992676;28,0744705;240,0851288;338,4349976;3,1921134;20,2554493;254,6875153;0;2285,5742188;5,5058594;0,0169136;279,3761597;47,134449;200,6180573;109,3434448;174,4098053;25,9760017;309,5352173;237,5972443;4,2874041;20,248415;266,40625;0;2688,8164062;6,3398438;0,0023136;363,2855225;20,8311176;167,4621582;91,0445251;110,2063141;24,3045216;201,7246246;88,9652939;2,1457911;20,878603;244,53125;0;1803,0740967;7,578125;0,0001325;255,240799;2,341238;125,9113617;91,1091919;84,6886292;28,0751247;344,055481;96,4510498;1,7107755;20,4989452;267,1875;0;1709,4401855;10,1347656;4e-07;244,1844482;0,0213097;132,3747559;2005-08-01
"10";320,0809021;568,0793457;76,9590149;215,2553711;635,5267944;2,1982179;25,505415;268,7601624;2,6526802;7971,5859375;7,0429688;0,0006803;1115,430542;23,3674927;1953,7054443;263,8399353;523,1917114;54,0631371;304,164917;838,965271;1,1267817;15,3619308;203,125;0,154805;8255,25;4,8808594;0,0106021;874,2191772;305,1022949;2934,0449219;124,6903992;211,3822479;58,3019753;368,5256042;326,6751099;1,2789984;15,3741388;292,1875;0;4353,65625;4,8984375;0,0099456;463,3590698;158,5918884;2824,6716309;128,5874786;161,7453308;35,3933983;182,2388763;398,756134;2,8556135;20,0479298;268,75;0;1288,5216064;4,5488281;0,4471897;122,7949371;61,2795906;626,6187134;123,3964386;191,2307587;27,8224983;238,753067;355,7250977;2,4129889;20,2554493;253,9062347;0;1942,7380371;5,8339844;0,0075917;249,5807343;27,9533043;201,191925;108,1175308;172,5475616;25,777914;308,4936523;250,4115601;3,7602398;20,248415;266,796875;0;2419,9348145;7,3984375;0,0002004;341,5471497;4,1578436;167,9693451;88,3190231;107,2157211;23,9090233;199,2060394;85,8154907;1,9374394;20,878603;244,9219055;0;1622,7666016;9,3378906;2,3e-06;231,7259674;0,0978437;126,2497711;89,4111023;81,0197372;27,7769318;342,2451782;93,6978989;1,5621912;20,4989452;266,40625;0;1538,4960938;10,2070312;3e-07;219,7686615;0,0165194;132,835144;2005-09-01
"11";276,0639954;490,6523132;65,2526016;184,227066;596,387207;2,5023577;22,8894691;239,870575;9,1872253;6992,0419922;5,8945312;0,0081538;905,0732422;93,7899399;1791,3961182;240,5313568;481,6195679;51,7017632;295,7786255;846,5317383;0,7408652;18,295639;204,6875;0,9776607;7429,7246094;4,6328125;0,0297324;728,6087646;332,7805481;3124,5300293;109,0509644;185,6918793;54,7035828;353,1574097;341,7341003;0,9912896;18,3078461;291,40625;0,9977335;3918,2905273;4,46875;0,0678211;362,9164124;196,8394012;3026,6582031;119,4488297;150,6229706;34,1025696;176,1752319;412,4923096;2,0570524;21,0503826;265,625;0,2328642;1005,046814;4,2988281;1,7735729;87,2941055;56,2840118;660,6936646;120,5902176;187,0974579;27,4990292;236,6057434;378,0581055;1,8602659;21,2579021;254,2968903;0;1651,3273926;5,7070312;0,0103005;208,4803314;27,4235859;201,5334778;107,0319214;170,9642181;25,6452026;307,4535522;270,3768616;3,3771;21,2466908;266,40625;0;2177,9411621;8,7988281;8e-06;310,7770081;0,357456;168,2754517;86,2963333;105,2753601;23,6241302;197,1706543;88,2550354;1,8695177;21,377739;244,53125;0;1460,4898682;9,6875;1e-06;208,5967102;0,0447074;126,5132751;88,3934479;81,0735779;27,6150665;340,9993286;96,5349503;1,5163068;21,3047276;266,796875;0;1384,6464844;10,3515625;2e-07;197,7956543;0,011012;133,1992035;2005-10-01
