"";"Ca_L1";"Mg_L1";"K_L1";"Na_L1";"Al_L1";"Si_L1";"P_L1";"Ca_L2";"Mg_L2";"K_L2";"Na_L2";"Al_L2";"Si_L2";"P_L2";"Ca_L3";"Mg_L3";"K_L3";"Na_L3";"Al_L3";"Si_L3";"P_L3";"Ca_L4";"Mg_L4";"K_L4";"Na_L4";"Al_L4";"Si_L4";"P_L4";"Ca_L5";"Mg_L5";"K_L5";"Na_L5";"Al_L5";"Si_L5";"P_L5";"Ca_L6";"Mg_L6";"K_L6";"Na_L6";"Al_L6";"Si_L6";"P_L6";"Ca_L7";"Mg_L7";"K_L7";"Na_L7";"Al_L7";"Si_L7";"P_L7";"Ca_L8";"Mg_L8";"K_L8";"Na_L8";"Al_L8";"Si_L8";"P_L8";"Date";"Total_Ca"
"3";0,0179507;0,022613;0,0390484;0,0051067;0,1326576;0,2071912;0,001802;0,0154463;0,0196542;0,033913;0,0043901;0,114854;0,1795227;0,0015599;0,0160531;0,0204538;0,0352802;0,0045619;0,119464;0,18675;0,0016209;0,0270665;0,0272751;0,0167291;0,0129769;0,1072014;0,2220496;0,003077;0,0345373;0,0323767;0,0195518;0,0171457;0,1308941;0,2728996;0,0038952;0,0361298;0,0335287;0,0200205;0,0177856;0,1349904;0,2823474;0,0041187;0,0042639;0,0040386;0,0024519;0,0020943;0,0162226;0,0338129;0,0004813;0,0003226;0,0003107;0,0001908;0,0001584;0,0012471;0,0025907;3,64e-05;2005-01-01;0,1517702
"4";0,0164852;0,0209666;0,0362016;0,0046857;0,1225671;0,1915634;0,0016662;0,0182784;0,0205885;0,0372043;0,0051955;0,129995;0,2007016;0,0017505;0,0148932;0,0191975;0,0331058;0,0042272;0,1116064;0,1746191;0,0015213;0,0396411;0,0369093;0,0220969;0,0194908;0,1484711;0,310421;0,0045082;0,0405333;0,037308;0,0217678;0,0191314;0,1467454;0,3094301;0,0048006;0,0344147;0,0319604;0,0190738;0,016879;0,1283634;0,2686499;0,0039224;0,0035522;0,003415;0,0020952;0,0017445;0,0137154;0,0284969;0,0004008;0,0003201;0,0003039;0,0001849;0,0001572;0,0012217;0,0025444;3,62e-05;2005-02-01;0,1681182
"5";0,0281378;0,0315856;0,0574792;0,0079659;0,2001807;0,3089009;0,002793;0,0199865;0,0244531;0,043432;0,0056852;0,1474765;0,2293265;0,0019975;0,0271115;0,0294297;0,0541322;0,0076295;0,190825;0,293587;0,0027088;0,0537997;0,0497976;0,0293422;0,0256921;0,1971618;0,4145647;0,0062553;0,0507525;0,0469148;0,0272717;0,0234387;0,1824382;0,3855499;0,0060965;0,0416556;0,0388881;0,0232716;0,0203001;0,1557463;0,3258439;0,0047558;0,0040302;0,0038853;0,0023891;0,0019756;0,015615;0,0324116;0,000457;0,0003524;0,0003372;0,0002064;0,0001728;0,0013561;0,0028188;4e-05;2005-03-01;0,2258262
"6";0,033996;0,0447716;0,0799883;0,00959;0,2624716;0,4101874;0,0037574;0,0354369;0,0425228;0,0788227;0,0098605;0,2652659;0,4108081;0,0039834;0,0405478;0,0472665;0,0883155;0,0111985;0,3002678;0,4639156;0,0046388;0,076201;0,0712382;0,0417668;0,0349534;0,2760927;0,582899;0,008986;0,0704091;0,0658588;0,0382153;0,0312704;0,2509803;0,5321746;0,0085705;0,061612;0,0577407;0,0341476;0,0287416;0,2259876;0,4755398;0,0071708;0,0049108;0,0047187;0,0028911;0,0023796;0,0189102;0,0392988;0,0005623;0,0004179;0,0004004;0,0002448;0,0002024;0,0016039;0,0033358;4,78e-05;2005-04-01;0,3235315
"7";0,0472066;0,0674715;0,120336;0,0132049;0,382245;0,6009997;0,0057408;0,0507187;0,0677778;0,127053;0,0138029;0,4078262;0,6358687;0,0066971;0,0568399;0,0749876;0,1415659;0,0153112;0,4563643;0,7106642;0,0077229;0,1219989;0,115216;0,0671195;0,0532896;0,435057;0,9236032;0,0146112;0,109175;0,103517;0,0599899;0,0460392;0,3848947;0,8192948;0,0136611;0,0930707;0,0883359;0,052545;0,0425346;0,3423633;0,7206767;0,0107636;0,0070077;0,0067768;0,004156;0,003329;0,0269499;0,0560457;0,0008074;0,0006044;0,0005822;0,0003554;0,0002863;0,0023115;0,0048136;6,96e-05;2005-05-01;0,4866219
"8";0,0642147;0,0899;0,1637252;0,017939;0,5203318;0,81536;0,0077791;0,0570838;0,0847775;0,1592211;0,015077;0,4899354;0,7696633;0,0090105;0,0616166;0,0921606;0,1736863;0,0158832;0,5319967;0,8365189;0,0106323;0,1565585;0,149398;0,0867311;0,0648154;0,5506354;1,1736257;0,0195952;0,1332693;0,1275738;0,0740386;0,0526511;0,4631235;0,9880707;0,0182678;0,1214404;0,116709;0,0690359;0,0526762;0,4413872;0,9329515;0,0144194;0,00803;0,0078714;0,0048734;0,0037753;0,0312219;0,0647778;0,0009295;0,0007296;0,0007086;0,0004341;0,0003407;0,0027993;0,0058271;8,42e-05;2005-06-01;0,6029429
"9";0,0860471;0,1179255;0,2230044;0,0237334;0,7090431;1,1055365;0,0106324;0,0528159;0,0853288;0,157687;0,0131709;0,4708666;0,7465267;0,0105199;0,0543465;0,085158;0,1555293;0,0125857;0,4648709;0,73918;0,0132965;0,1801786;0,172839;0,10038;0,0716324;0,6276548;1,339838;0,0239192;0,148724;0,1424177;0,0830386;0,0562445;0,5116826;1,0909075;0,0224972;0,1407876;0,1368067;0,0813511;0,0598844;0,5141581;1,0857754;0,0169009;0,0092458;0,009124;0,0056741;0,0043175;0,0360879;0,0748234;0,0010734;0,0008353;0,0008161;0,0005027;0,000389;0,0032206;0,0066978;9,63e-05;2005-07-01;0,6729808
"10";0,0845417;0,1180352;0,220686;0,0235788;0,7015691;1,0957798;0,0097869;0,0567631;0,0937657;0,1733429;0,0140623;0,5140639;0,8161575;0,011562;0,05786;0,0878426;0,1571878;0,0123813;0,4701407;0,75076;0,0168827;0,1925985;0,1872888;0,1102726;0,0744126;0,677946;1,4411641;0,0269661;0,1698206;0,1629676;0,0953067;0,0634762;0,5837327;1,2442532;0,0260857;0,1676218;0,1632097;0,0966089;0,0693459;0,6050223;1,2818936;0,020522;0,0103278;0,010263;0,0064092;0,0047819;0,04042;0,0837779;0,0012053;0,0011246;0,0010887;0,0006559;0,0005037;0,004199;0,0088117;0,0001302;2005-08-01;0,7406581
"11";0,0495046;0,0736204;0,131837;0,0137905;0,4156693;0,6546741;0,0059369;0,0430641;0,0689258;0,1258952;0,01051;0,3775622;0,5996209;0,0091043;0,0451279;0,0665126;0,118299;0,0096617;0,3577998;0,5708231;0,0130907;0,1591724;0,1520188;0,0885797;0,0597719;0,5453877;1,1628902;0,0246328;0,1410661;0,1345387;0,0783419;0,0528384;0,4822963;1,0286187;0,0219964;0,1380838;0,1339315;0,0791272;0,057622;0,498426;1,0555853;0,0169638;0,0101115;0,0100366;0,0062616;0,0046797;0,0395011;0,081913;0,0011791;0,0010497;0,0010178;0,0006175;0,000477;0,0039571;0,0082818;0,0001207;2005-09-01;0,5871801
"12";0,0289027;0,0401488;0,0703292;0,008134;0,2286206;0,3591712;0,0032366;0,0312789;0,0447272;0,0825791;0,0081926;0,259112;0,4069932;0,0049879;0,027688;0,0384536;0,0678626;0,0060913;0,2110088;0,3353458;0,0074966;0,0974483;0,0914733;0,0527537;0,0370627;0,3303732;0,704541;0,0157;0,0859161;0,0810762;0,0468974;0,0329418;0,2936959;0,6255954;0,0135306;0,0836265;0,0801258;0,0469783;0,035402;0,3005215;0,6360124;0,0106291;0,0077698;0,0076718;0,0047762;0,0036524;0,0304142;0,0630075;0,0009044;0,000584;0,0005869;0,0003689;0,0002726;0,0023193;0,0047897;6,91e-05;2005-10-01;0,3632143
