"";"YEAR";"Month";"Ca";"Mg";"K";"Na";"NO3";"NH4";"SO4";"Cl";"P";"DOC";"Al";"Si"
"2";2005;1;1,5626335;2,1413648;0,9241637;3,2476459;0,0056941;0,1129835;0,2233951;3,8480349;0,0053039;1,3568338;0;"      1.3802581"
"3";2005;2;0,0500367;0,0688767;0,0312589;0,1129833;0,0001626;0,0038885;0,0079572;0,1466375;0,0003554;0,0834837;0;"      0.0519066"
"4";2005;3;0;0;0;0;0;0;0;0;0;0;0;"      0.0000000"
"5";2005;4;0;0;0;0;0;0;0;0;0;0;0;"      0.0000000"
"6";2005;5;0;0;0;0;0;0;0;0;0;0;0;"      0.0000000"
"7";2005;6;0;0;0;0;0;0;0;0;0;0;0;"      0.0000000"
"8";2005;7;0;0;0;0;0;0;0;0;0;0;0;"      0.0000000"
"9";2005;8;0;0;0;0;0;0;0;0;0;0;0;"      0.0000000"
"10";2005;9;0;0;0;0;0;0;0;0;0;0;0;"      0.0000000"
"11";2005;10;0;0;0;0;0;0;0;0;0;0;0;"      0.0000000"
"12";2005;11;0;0;0;0;0;0;0;0;0;0;0;"      0.0000000"
"13";2005;12;1,9679937;2,742883;2,0488267;8,5753975;0;0;0,8852369;17,8236485;0,0113596;21,0767651;2,5e-06;"     15.1266928"
"14";2006;1;2,1159055;2,9298689;2,8596783;10,9298134;0;0;1,6186714;19,8295574;0,0200734;24,9048672;1,5e-06;"     15.4517736"
"15";2006;2;0,3909373;0,5406328;0,5555289;2,079865;0;0;0,3306426;3,5350699;0,00646;5,0389156;1,5e-06;"      2.6938732"
"16";2006;3;0,0753905;0,1041813;0,1007694;0,3753337;0;0;0,0559965;0,619552;0,0018131;1,1065859;2,1e-06;"      0.4822824"
"17";2006;4;0,0244751;0,0337918;0,0297319;0,1104389;0;0,0015167;0,0142865;0,1760304;0;0,4313461;3,9e-06;"      0.1439017"
"18";2006;5;0;0;0;0;0;0;0;0;0;0;1,48e-05;"      0.0000000"
"19";2006;6;0;0;0;0;0;0;0;0;0;0;8,3e-06;"      0.0000000"
"20";2006;7;0;0;0;0;0;0;0;0;0;0;4,5e-06;"      0.0000000"
"21";2006;8;0;0;0;0;0;0;0;0;0;0;4,8e-06;"      0.0000000"
"22";2006;9;0;0;0;0;0;0;0;0;0;0;4,1e-06;"      0.0000000"
"23";2006;10;0;0;0;0;0;0;0;0;0;0;2,8e-06;"      0.0000000"
"24";2006;11;1,1111145;1,5262691;1,3450271;4,9756632;0;0;0,6959904;8,2088118;0,0124355;16,8466549;2,2e-06;"     11.1011705"
"25";2006;12;1,0029492;1,3736374;1,4611748;5,0845757;0;0;0,9167799;7,882771;0,0120455;14,3570766;1,2e-06;"      9.7957993"
"26";2007;1;0,4496067;0,6149418;0,7105512;2,3999507;0;0;0,4843138;3,5493522;0,0071749;6,4141574;9e-07;"      4.0711522"
"27";2007;2;0,4762716;0,6502229;0,7845635;2,5538538;0;0;0,5583133;3,6033797;0,0097712;7,0804491;9e-07;"      3.3600872"
"28";2007;3;0,1978345;0,2697561;0,3012423;0,9614618;0;0,0020085;0,1973989;1,278752;0,0068929;3,5032074;1,7e-06;"      1.1597592"
"29";2007;4;0;0;0;0;0;0;0;0;0;0;3,1e-06;"      0.0000000"
"30";2007;5;0;0;0;0;0;0;0;0;0;0;5,9e-06;"      0.0000000"
"31";2007;6;0;0;0;0;0;0;0;0;0;0;1,9e-06;"      0.0000000"
"32";2007;7;0;0;0;0;0;0;0;0;0;0;9e-07;"      0.0000000"
"33";2007;8;0;0;0;0;0;0;0;0;0;0;7e-07;"      0.0000000"
"34";2007;9;0;0;0;0;0;0;0;0;0;0;4e-07;"      0.0000000"
"35";2007;10;0;0;0;0;0;0;0;0;0;0;3e-07;"      0.0000000"
