"";"Ca_L1";"Mg_L1";"K_L1";"Na_L1";"NO3_L1";"NH4_L1";"SO4_L1";"Cl_L1";"P_L1";"DOC_L1";"pH_L1";"Al_L1";"R_L1";"HR_L1";"Si_L1";"Ca_L2";"Mg_L2";"K_L2";"Na_L2";"NO3_L2";"NH4_L2";"SO4_L2";"Cl_L2";"P_L2";"DOC_L2";"pH_L2";"Al_L2";"R_L2";"HR_L2";"Si_L2";"Ca_L3";"Mg_L3";"K_L3";"Na_L3";"NO3_L3";"NH4_L3";"SO4_L3";"Cl_L3";"P_L3";"DOC_L3";"pH_L3";"Al_L3";"R_L3";"HR_L3";"Si_L3";"Ca_L4";"Mg_L4";"K_L4";"Na_L4";"NO3_L4";"NH4_L4";"SO4_L4";"Cl_L4";"P_L4";"DOC_L4";"pH_L4";"Al_L4";"R_L4";"HR_L4";"Si_L4";"Ca_L5";"Mg_L5";"K_L5";"Na_L5";"NO3_L5";"NH4_L5";"SO4_L5";"Cl_L5";"P_L5";"DOC_L5";"pH_L5";"Al_L5";"R_L5";"HR_L5";"Si_L5";"Ca_L6";"Mg_L6";"K_L6";"Na_L6";"NO3_L6";"NH4_L6";"SO4_L6";"Cl_L6";"P_L6";"DOC_L6";"pH_L6";"Al_L6";"R_L6";"HR_L6";"Si_L6";"Ca_L7";"Mg_L7";"K_L7";"Na_L7";"NO3_L7";"NH4_L7";"SO4_L7";"Cl_L7";"P_L7";"DOC_L7";"pH_L7";"Al_L7";"R_L7";"HR_L7";"Si_L7";"Ca_L8";"Mg_L8";"K_L8";"Na_L8";"NO3_L8";"NH4_L8";"SO4_L8";"Cl_L8";"P_L8";"DOC_L8";"pH_L8";"Al_L8";"R_L8";"HR_L8";"Si_L8";"Date"
"2";93,6684036;132,3450775;18,7084732;61,2106934;1,5967264;1,934801;23,2141933;62,2697563;1,1289219;368,7015381;10,9746094;1,9e-06;61,4493561;0,000901;37,9768639;124,2736206;128,0903473;43,6961784;138,7330627;0,3822401;1,3969517;23,2431755;77,1713562;0,9929242;453,0178223;11,0664062;2e-07;75,5020676;0,0009001;64,7033463;270,8131409;112,8452911;31,4831123;75,0172348;0;1,2686656;23,2274094;79,812912;0,8892701;440,4468994;11,1660156;4e-07;73,4071198;0,0007001;75,4713364;71,9650269;123,9279938;35,5062408;150,132019;0,3554402;7,62922;12,4583979;148,7139893;0,4915242;238,8422089;11,0117188;0;39,8065033;0,0005362;79,5450134;67,6013412;114,3036652;32,2729034;143,7587433;0,5471973;12,887084;12,5010786;175,9555206;0,3285356;226,7242279;10,9550781;0;37,7867928;0,0005766;84,4299164;66,3953323;105,5350418;39,8954086;210,9861603;0,656014;14,382452;12,4776831;188,0195618;0,3739764;181,586441;11,0039062;0;30,2639942;0,0004149;86,5353317;92,2075043;133,3585815;37,7901382;248,7251282;0,7064713;14,8899927;12,4718037;193,0397949;0,3563143;207,7950439;11,0761719;0;34,632103;0,0004067;87,489975;69,8041763;157,7340088;42,3176346;252,9087372;0,7278167;14,44137;12,4730549;194,3194885;0,3065702;202,250061;11,0839844;0;33,7079582;0,0003878;87,9849625;2005-01-01
"3";95,2156219;134,518158;20,2382317;66,5033035;0,7267172;0,6882691;26,5924606;72,6957245;2,5466163;905,2329102;10,8222656;3,1e-06;150,8690948;0,0030845;39,6803551;137,6187439;142,001236;50,732605;162,7103577;0;0;28,046381;98,4372253;2,6338995;1146,475708;10,9511719;2e-07;191,076355;0,0029498;96,4460449;356,8131409;148,71875;40,2015305;96,4385757;0;0;28,4692535;105,6839752;2,3667166;994,793457;11,1523438;5e-07;165,7972717;0,0016405;105,4053421;49,1973915;84,868782;29,9200916;130,0366058;0,2199093;5,7682266;12,8736458;155,9479218;0,8679138;330,8368835;10,7773438;0;55,1382408;0,0012423;86,4547501;49,8443222;84,3805466;28,4402981;129,3137512;0,4272352;12,7860737;13,1231251;191,7367706;0,5631217;415,7695923;10,6757812;0;69,2929916;0,0019412;94,0450592;54,6852036;86,9988327;37,2377396;202,6299133;0,5332588;13,4184332;13,1480637;205,8290405;0,6830141;277,3347473;10,8613281;0;46,2215958;0,0008678;96,6546631;91,9477005;133,2746887;38,8603859;260,0696411;0,5906376;14,9006634;13,2188511;213,0909729;0,6520585;404,9775085;11,0273438;0;67,495369;0,000877;97,6690063;66,3539734;150,6125183;42,491291;261,1942749;0,6170316;14,7547445;13,1890945;219,8247528;0,6098633;369,4180298;11,0195312;0;61,5688553;0,0008147;98,2257004;2005-02-01
"4";55,1798935;77,8713608;16,3317871;55,7507172;2,142662;1,4039332;30,4627934;86,33078;2,1326044;884,8311768;10,0273438;2,16e-05;147,4558258;0,0160154;19,065197;75,2290802;77,8343201;36,8779984;115,1911392;0;0;27,2653847;94,1424408;1,7201866;1285,5726318;10,3867188;9e-07;214,2510376;0,0110852;57,7324333;254,1472778;106,1516495;33,4291267;83,370636;0;0;27,5418415;110,0451965;1,2582663;1426,3874512;10,9355469;8e-07;237,7274628;0,0037834;89,9088516;46,6955605;80,5122681;31,0979557;134,7348633;0,0810883;3,3237264;14,5651999;162,3459167;1,2008485;723,5299683;10,4960938;0;120,5833817;0,0049523;99,2954178;38,8194885;65,7726974;25,6750393;118,9812546;0,308578;14,0905457;13,5881376;214,7020721;0,7824976;783,9491577;6,6523438;0,0001284;125,9893875;4,668807;107,3023834;50,6537323;80,6316223;37,1892014;207,7845917;0,4581893;15,0047388;13,9568167;241,0890656;1,2271149;494,5098877;10,6699219;0;82,4159851;0,0023384;116,5385132;100,5261078;145,9558716;42,1289101;287,9922791;0,5344505;18,6197777;14,1021061;249,0642242;1,2152933;850,6220093;10,9726562;0;141,7682495;0,0020787;117,2962799;69,1895752;157,5972137;45,0213242;285,4951782;0,56898;18,9115124;14,027215;257,7134399;1,1348774;749,1171265;10,9472656;0;124,8509064;0,0019423;118,0272141;2005-03-01
"5";55,3794403;78,0637512;16,6348457;57,3465385;4,6716375;2,6115353;29,2532406;90,917511;2,2830176;1405,3840332;5,4003906;1,0532992;196,5565186;37,6741905;16,6710262;77,4638519;80,2651672;40,6320038;126,3892975;0;0;30,5358753;118,8056183;1,9465039;2290,9533691;5,2617188;0,1584792;311,4430847;70,3824921;72,0628204;285,3660278;119,3218613;38,6482582;98,6622314;0;0;30,8256187;145,6212311;0,9494338;2635,0671387;10,6484375;1,8e-06;439,1648254;0,0130362;114,9871674;40,0563202;69,0544128;27,4855518;120,3026352;0,0232937;1,9029567;12,6839781;159,5715942;0,2285386;1022,4633179;9,5410156;2e-07;170,361908;0,0486533;104,27005;32,3732986;54,8932648;23,6985779;112,0924988;0,2142159;14,8032713;13,1634283;222,7185669;0;1138,9814453;4,4179688;0,1045271;120,7989197;69,0313339;123,0991974;41,496727;66,0924454;33,5149269;190,7507324;0,3827741;17,9135265;12,8728638;265,0215149;0;832,8178101;9,8515625;1e-07;138,7814789;0,0214858;135,8862457;111,0710449;161,4793396;44,3086548;311,0276794;0,5265994;23,3756809;13,4128532;290,9481812;0;1281,7254639;10,9140625;0;213,6173401;0,0035652;141,078476;77,8123932;177,7167664;49,3078804;324,171051;0,6075901;26,0966148;13,8339567;319,7987671;0;1211,3741455;10,8632812;0;201,8919525;0,0037666;151,1813354;2005-04-01
"6";59,1000404;83,1392517;17,6918831;61,3535881;0;0,0049137;29,8663597;88,6506958;3,6955309;2023,324707;4,8496094;6,0355759;247,7285461;89,4922409;13,719614;93,6818924;97,1874237;46,8120346;143,9478302;0;0;31,4235592;136,9168396;3,5509543;4080,6965332;4,4667969;3,7283187;440,6387329;239,4774017;123,6127701;339,0013123;141,9120026;44,1563301;115,4614944;0;0;30,1678734;188,3472595;1,198545;5306,6479492;7,3300781;0,0041022;872,6286011;11,8127298;168,9419708;34,5294228;59,5537453;26,081686;116,0431366;0;0;12,2007036;179,110733;0,1688406;1568,1668701;4,4511719;0,0867757;168,3697815;92,9913712;123,5753555;39,1075745;66,3160553;26,7910633;127,7492981;0,0736632;9,7007933;12,0862503;271,7886047;0;2094,4553223;4,0527344;1,0121306;191,7300873;157,3458252;172,636795;43,0329247;68,5619736;35,1691551;205,1990204;0,106527;7,2493153;11,9292498;334,0139465;0;1354,8994141;4,53125;0,060764;149,7162018;76,1003876;174,2718811;122,6034927;178,4256287;46,6074524;335,6069336;0;0;12,3160152;347,7545776;0;1425,5019531;10,8320312;0;237,5789185;0,004744;171,1917877;86,2392273;197,3150024;51,3221016;351,3445129;0;0;11,5696917;389,7797241;0;1352,5753174;10,7734375;0;225,4241333;0,0051059;190,6988983;2005-05-01
"7";83,5440598;117,2451172;22,4644623;77,215271;0;0;35,7782249;90,7676163;7,8071294;3292,7319336;4,7480469;10,3646851;390,9788208;157,8098145;20,0385113;152,8503571;158,716507;64,5839691;197,5874786;0;0;38,8164597;173,2904663;9,1059189;7485,1489258;4,3085938;10,6507664;761,3929443;486,1319275;283,2882385;550,4577026;230,7130432;62,6399918;167,8160248;0;0;40,5319977;294,1540833;9,1665554;11343,65625;4,9863281;1,587472;1442,9537354;447,6556702;349,1022949;38,8402672;66,994957;28,8054695;129,6336212;0;0;14,1717167;220,1187592;2,8753159;2451,8322754;4,0859375;0,8348371;227,6682587;180,970459;176,1798096;50,7590485;86,0716248;30,5186272;146,6405792;0;0;13,1797285;331,2531128;0;2878,3918457;3,921875;2,3788054;248,7129059;231,0190277;258,1504211;50,7395592;80,853302;38,7340012;230,6800079;0;0;13,433176;424,2686462;0;1659,6368408;4,2070312;0,3956901;162,1022034;114,5039444;252,9335022;116,5397949;169,7663574;42,2028389;311,187561;0;0;11,3174477;357,656311;0;1311,0166016;10,7851562;0;218,4979095;0,0048448;179,9258575;77,1684189;176,8679047;43,7553635;310,1091309;0;0;10,3983974;387,5;0;1217,317749;10,6914062;0;202,8807983;0,0055023;196,4319916;2005-06-01
"8";143,5262604;201,433609;28,2762566;98,450592;0;0;28,7755108;114,9628296;0;5024,0400391;5,1171875;2,6115963;660,713501;176,6264801;76,429245;219,0034027;227,5148926;62,7880592;198,7470245;0;0;19,9823875;173,3126526;0;8936,0263672;4,5273438;2,0921288;986,0720825;503,2656555;715,9745483;656,2744141;275,0951233;50,2562027;136,8238373;0;0;16,6868477;266,3996582;0;11922,2001953;5,6953125;0,1237537;1753,026123;234,0075378;421,1446228;59,1207771;102,0105438;42,1790237;193,0629883;0;0;18,9350624;386,8156128;0;3468,9536133;4,0117188;1,8981599;311,9405823;266,2183838;370,0959473;53,9914322;91,5673676;30,0188522;145,7315216;0;0;11,0328283;370,5887451;0;2763,3474121;3,875;2,9545865;233,7542877;226,8036194;352,7140198;48,6927032;77,6005707;33,6080666;203,8670197;0;0;9,5635118;422,3381958;0;1503,666748;4,0625;0,7729089;138,2290649;112,3820572;302,367981;105,7994537;154,3173981;39,7472878;296,482666;0;0;10,7350626;356,25;0;1179,914917;10,703125;0;196,6472931;0,0051926;185,7853088;66,9554901;153,7738037;40,6867523;292,9175415;0;0;9,9432497;375;0;1095,5859375;10,5644531;0;182,591156;0,0064975;203,2062836;2005-07-01
"9";147,9352417;207,675354;22,4570827;79,2830353;0;0;16,4438725;94,7639313;0;4506,3862305;5,9726562;0,1806474;686,7510986;64,3133316;112,5339813;213,4078827;221,8735809;53,802002;173,6483765;0;0;14,5481443;151,5625;0;8042,4228516;4,6953125;0,7077542;939,1552124;401,2486572;1034,5852051;645,3612061;270,5518494;46,0857315;125,9615936;0;0;14,5481443;250,78125;0;10729,9794922;6,6503906;0,0112612;1724,2561035;64,0740891;432,9474182;51,3682899;88,6591415;29,4555378;138,000946;0;0;9,9817934;371,875;0;2705,7836914;3,8105469;4,0181503;222,1970673;228,7668762;435,4348755;50,4393654;85,5584793;27,2776737;133,4234924;0;0;9,9207582;367,1875;0;2348,845459;3,8496094;3,0967419;196,395462;195,0787659;422,5581055;46,5202179;74,1474991;32,6950188;199,5442505;0;0;9,9295235;423,4375;0;1353,3000488;4,0429688;0,8706239;123,3611755;102,1888275;363,9118652;96,1732788;140,4369354;37,8638458;285,0491638;0;0;10,9767246;362,5;0;1061,9233398;10,59375;0;176,9813232;0,0059076;192,5222015;58,8813553;135,4407806;38,0866623;278,0168762;0;0;10,3333769;400;0;986,0272827;10,3203125;0;164,328125;0,0097659;211,0253754;2005-08-01
"10";164,5290375;230,9716492;26,3247833;94,7700577;0;0;21,6404934;142,1588135;0;4128,7104492;9,6972656;4,13e-05;687,9736938;0,1446601;129,0040741;195,1446381;203,0468597;51,4206161;167,5647583;0;0;14,5481443;151,7578125;0;7238,1806641;4,7304688;0,6077275;854,7437744;351,6197815;1262,7164307;629,3781128;263,8768616;45,4764633;124,46698;0;0;14,5481443;251,171875;0;9656,9814453;10,0351562;4,6e-06;1609,3249512;0,1720088;440,3453369;45,1429901;77,9335022;27,5949783;129,9471588;0;0;9,9085512;373,4375;0;2110,5112305;3,8183594;3,8138568;173,9424591;177,809433;496,8406372;47,4317474;80,469017;26,4285755;129,75737;0;0;9,9207582;368,75;0;1996,5187988;3,8652344;2,7912245;168,1358643;164,6172791;482,5558777;44,9658394;71,6769791;32,1043129;196,8547363;0;0;9,9295235;422,65625;0;1217,9699707;4,0507812;0,8278711;111,4010773;91,5939255;416,4859619;87,9766922;128,5942841;36,18787;274,6957397;0;0;10,9767246;350;0;955,730896;10,5527344;0;159,2826843;0,0058105;199,1360321;52,3599892;120,5909805;35,8595581;264,9359436;0;0;10,3333769;400;0;887,4245605;10,140625;0;147,8913422;0,0127476;218,7215424;2005-09-01
"11";72,9682312;102,3382568;17,8725567;63,6641159;1,1203171;0,8526069;28,1837292;90,5229492;4,1226692;2344,953125;5,0273438;2,7374105;301,5184631;89,3070679;50,2558517;95,1737518;99,2053909;37,1673012;118,5829086;0;0;21,8064747;117,4372787;0,6918564;3645,4255371;4,6035156;1,1600193;412,9942627;194,5766907;530,8981323;515,0266724;215,9974518;41,1426468;112,924118;0;0;19,7647896;228,125;0;7523,2749023;10,3652344;2,2e-06;1253,8112793;0,0678612;454,7206421;41,5158157;71,6836166;26,4641895;124,9567032;0;0;11,6072626;372,65625;0;1646,1987305;3,8378906;3,3480425;136,9045715;137,4618835;538,269165;44,7918587;76,0003815;25,6835766;126,3686218;0;0;11,6194696;365,625;0;1697,0410156;3,8808594;2,5163405;143,9382629;138,9019012;521,7693481;43,8952675;69,9754257;31,7213001;194,9220123;0;0;11,6211557;423,046875;0;1096,1729736;4,0488281;0,8383515;100,1763229;82,5191727;450,8051453;80,8396759;118,2945251;34,6945267;265,1256714;0;0;11,8225412;350;0;860,1577759;10,5683594;0;143,3545837;0,00505;204,4160614;46,878109;108,1238022;33,9413986;253,0319061;0;0;11,6988211;350;0;798,6820679;10,2890625;0;133,1052399;0,008442;224,874527;2005-10-01
