"";"Ca_L1";"Mg_L1";"K_L1";"Na_L1";"Al_L1";"Si_L1";"P_L1";"Ca_L2";"Mg_L2";"K_L2";"Na_L2";"Al_L2";"Si_L2";"P_L2";"Ca_L3";"Mg_L3";"K_L3";"Na_L3";"Al_L3";"Si_L3";"P_L3";"Ca_L4";"Mg_L4";"K_L4";"Na_L4";"Al_L4";"Si_L4";"P_L4";"Ca_L5";"Mg_L5";"K_L5";"Na_L5";"Al_L5";"Si_L5";"P_L5";"Ca_L6";"Mg_L6";"K_L6";"Na_L6";"Al_L6";"Si_L6";"P_L6";"Ca_L7";"Mg_L7";"K_L7";"Na_L7";"Al_L7";"Si_L7";"P_L7";"Ca_L8";"Mg_L8";"K_L8";"Na_L8";"Al_L8";"Si_L8";"P_L8";"Date";"Total_Ca"
"3";0,0042534;0,0070774;0,0020189;0,0028444;0,031649;0,0454861;0;0,0012909;0,0022032;0,0006347;0,0008725;0,0098804;0,0141048;0;0,0015333;0,002705;0,0007812;0,0010374;0,0120616;0,0171453;0;0,0025059;0,0044069;0,0012761;0,0017051;0,0197461;0,0280216;0;0,0025047;0,0048456;0,001406;0,0016915;0,0212175;0,0298618;0;0,0025453;0,0048926;0,001429;0,0017193;0,0215625;0,0302872;0;0,0022779;0,0045433;0,001318;0,001521;0,0196429;0,0276546;0;0,0015852;0,003224;0,0009364;0,0010591;0,0138978;0,0195204;0;2005-01-01;0,0184966
"4";0,0039426;0,0065649;0,0018802;0,0026363;0,029386;0,0422237;0;0,0012233;0,0020947;0,0006021;0,0008219;0,0093475;0,0133671;0;0,0014603;0,0025801;0,0007429;0,0009812;0,0114447;0,0163048;0;0,0399617;0,0222568;0,0027876;0,0081492;0,0516769;0,1940987;0;0,0426458;0,0244644;0,0028428;0,007716;0,0516211;0,2064415;0;0,0367501;0,0200418;0,0032002;0,0080727;0,0540282;0,1824137;0;0,0022607;0,0042312;0,0012418;0,0014921;0,0185297;0,0263271;0;0,001492;0,0029871;0,0008655;0,0009911;0,0128714;0,0181392;0;2005-02-01;0,1297365
"5";0,0752491;0,0426826;0,003471;0,011899;0,0779972;0,3528839;0;0,001548;0,00269;0,0007696;0,0010236;0,011834;0,01699;0;0,0018517;0,0033128;0,0009484;0,0012231;0,0144847;0,0207285;0;0,0602486;0,0336487;0,0029809;0,0096511;0,0611632;0,2816324;0;0,0534242;0,0306988;0,0033737;0,0093063;0,0624245;0,2571341;0;0,0436686;0,0238892;0,0039388;0,0098339;0,0659831;0,2180879;0;0,00854;0,0071517;0,0021126;0,0036417;0,0313041;0,0592627;0;0,0106533;0,0071766;0,0019187;0,0036943;0,0283257;0,063957;0;2005-03-01;0,2551835
"6";0,0746761;0,0434601;0,0070113;0,0197446;0,1304958;0,3865448;0;0,0021378;0,0039724;0,0011356;0,0013701;0,0169116;0,0243436;0;0,0025817;0,0049287;0,0014086;0,0016509;0,0208613;0,029945;0;0,0718921;0,0403379;0,0042262;0,013101;0,0834872;0,3430867;0;0,0675475;0,0390709;0,0046126;0,0125123;0,0844352;0,3290512;0;0,0570604;0,0314308;0,0052892;0,0131289;0,0885561;0,286804;0;0,0063506;0,0067075;0,0020972;0,0031686;0,030532;0,0512867;0;0,0092544;0,0068423;0,0020031;0,0035732;0,0289714;0,059574;0;2005-04-01;0,2915006
"7";0,124749;0,0725419;0,0099336;0,0298703;0,1970951;0,6310109;0;0,0030292;0,005998;0,001718;0,0018886;0,0248648;0,0358224;0;0,003648;0,0074076;0,0021237;0,0022717;0,0305869;0,0439309;0;0,1041548;0,0587388;0,0063639;0,0197226;0,1263179;0,5006761;0;0,090024;0,0526072;0,0072664;0,0188522;0,1282944;0,449867;0;0,075072;0,0419155;0,0084855;0,0199215;0,1355455;0,3913911;0;0,0097964;0,0096354;0,0031124;0,0047124;0,044136;0,076177;0;0,0089633;0,0077126;0,0024748;0,003953;0,0348098;0,0641932;0;2005-05-01;0,4194367
"8";0,1281397;0,0756079;0,0144418;0,0390074;0,2594961;0,6881421;0;0,0064817;0,0082396;0,0026207;0,0037079;0,0379061;0,0589833;0;0,0223498;0,0158318;0,005058;0,0097751;0,0743174;0,1450806;0;0,1216487;0,0690453;0,0079255;0,0241161;0,1556935;0,5906554;0;0,1048953;0,0620158;0,0087363;0,0222604;0,1537057;0,5281132;0;0,0867577;0,0489827;0,0105562;0,0241073;0,1656151;0,4594998;0;0,0080606;0,0100201;0,0032871;0,0043587;0,0459288;0,0727415;0;0,010594;0,0091302;0,0030345;0,0047404;0,0418479;0,0765292;0;2005-06-01;0,4889275
"9";0,1308187;0,0807492;0,0138432;0,0353185;0,2491122;0,6991787;0;0,0225316;0,0152743;0,0048512;0,0094562;0,0705255;0,1423832;0;0,0504973;0,0306241;0,0062618;0,0146358;0,1021853;0,2742937;0;0,1284771;0,0733948;0,0094034;0,0274272;0,1785839;0,6340519;0;0,1229542;0,07323;0,0095758;0,0246283;0,1723504;0,6144657;0;0,0990938;0,0563941;0,0122478;0,0276305;0,1913464;0,5271483;0;0,0246825;0,018154;0,0059346;0,0101848;0,0820061;0,162529;0;0,0318084;0,0196698;0,0055257;0,0107934;0,0780802;0,1843005;0;2005-07-01;0,6108636
"10";0,0170488;0,0302993;0,0096581;0,0104705;0,1324833;0,1929787;0;0,0309026;0,0199249;0,0056294;0,0116707;0,0846351;0,1851028;0;0,0693689;0,0419528;0,0056464;0,0149793;0,1057685;0,3523437;0;0,1099876;0,0635188;0,0124218;0,0308101;0,2045834;0,5800824;0;0,1465692;0,0873991;0,0104574;0,0277067;0,194838;0,7250206;0;0,1424613;0,0806028;0,0118271;0,0305287;0,2113161;0,7112085;0;0,044495;0,0282319;0,0086008;0,0163753;0,1201271;0,2664941;0;0,049073;0,0292798;0,0064126;0,0140575;0,0980278;0,2661529;0;2005-08-01;0,6099064
"11";0,0229798;0,0252006;0,0085337;0,0123714;0,1195582;0,1937308;0;0,0305941;0,0189562;0,0036926;0,008935;0,0631396;0,1671662;0;0,0585985;0,0348823;0,004085;0,0114478;0,0798405;0,2903706;0;0,140383;0,0804481;0,0072976;0,0230727;0,1528741;0,6653838;0;0,1342161;0,0792985;0,0081313;0,0225866;0,1583577;0,6493125;0;0,1237457;0,069612;0,0095496;0,0250852;0,1733027;0,6103154;0;0,0510017;0,0312165;0,0088701;0,0176941;0,1262896;0,2954254;0;0,046074;0,0275325;0,0063377;0,0136573;0,0954407;0,2524238;0;2005-09-01;0,6075929
"12";0,0384819;0,0250768;0,0065965;0,0145553;0,104879;0,2294849;0;0,0111553;0,0076056;0,0021325;0,0044508;0,0330574;0,0689483;0;0,0370356;0,0216102;0,0023671;0,0068438;0,04662;0,180409;0;0,100085;0,0567172;0,0042146;0,0139357;0,0916658;0,46255;0;0,0924427;0,0539292;0,0047748;0,013629;0,0949839;0,4372492;0;0,0849433;0,0470846;0,0055384;0,0149908;0,1031546;0,407595;0;0,0422068;0,0256046;0,0067161;0,0137382;0,0975007;0,2391124;0;0,0298411;0,0182009;0,0047981;0,0096794;0,0691849;0,1695015;0;2005-10-01;0,4361917
