"";"Ca_L1";"Mg_L1";"K_L1";"Na_L1";"NO3_L1";"NH4_L1";"SO4_L1";"Cl_L1";"P_L1";"DOC_L1";"pH_L1";"Al_L1";"R_L1";"HR_L1";"Si_L1";"Ca_L2";"Mg_L2";"K_L2";"Na_L2";"NO3_L2";"NH4_L2";"SO4_L2";"Cl_L2";"P_L2";"DOC_L2";"pH_L2";"Al_L2";"R_L2";"HR_L2";"Si_L2";"Ca_L3";"Mg_L3";"K_L3";"Na_L3";"NO3_L3";"NH4_L3";"SO4_L3";"Cl_L3";"P_L3";"DOC_L3";"pH_L3";"Al_L3";"R_L3";"HR_L3";"Si_L3";"Ca_L4";"Mg_L4";"K_L4";"Na_L4";"NO3_L4";"NH4_L4";"SO4_L4";"Cl_L4";"P_L4";"DOC_L4";"pH_L4";"Al_L4";"R_L4";"HR_L4";"Si_L4";"Ca_L5";"Mg_L5";"K_L5";"Na_L5";"NO3_L5";"NH4_L5";"SO4_L5";"Cl_L5";"P_L5";"DOC_L5";"pH_L5";"Al_L5";"R_L5";"HR_L5";"Si_L5";"Ca_L6";"Mg_L6";"K_L6";"Na_L6";"NO3_L6";"NH4_L6";"SO4_L6";"Cl_L6";"P_L6";"DOC_L6";"pH_L6";"Al_L6";"R_L6";"HR_L6";"Si_L6";"Ca_L7";"Mg_L7";"K_L7";"Na_L7";"NO3_L7";"NH4_L7";"SO4_L7";"Cl_L7";"P_L7";"DOC_L7";"pH_L7";"Al_L7";"R_L7";"HR_L7";"Si_L7";"Ca_L8";"Mg_L8";"K_L8";"Na_L8";"NO3_L8";"NH4_L8";"SO4_L8";"Cl_L8";"P_L8";"DOC_L8";"pH_L8";"Al_L8";"R_L8";"HR_L8";"Si_L8";"Date"
"2";9,7847872;13,0559788;14,1629076;33,3633156;2,3214707;1,0194229;22,1452103;45,5160828;0,4572243;117,7029495;5,0039062;0,0746009;12,8932457;3,9214616;14,1092796;11,2545443;15,4115381;14,9131746;45,233696;2,2267587;0,8013239;22,185585;63,4695015;0,3934956;169,976181;4,8945312;0,1080028;18,0705242;6,2117877;25,1266174;17,8559914;21,0487061;18,4763031;35,9231339;2,1253147;0,8720037;22,0830669;76,3793945;0,3511532;191,9160461;5,0058594;0,0732441;21,0333996;6,3831797;34,1487427;9,4181938;16,2743092;14,5093393;49,3650894;1,8784735;1,2006159;12,3840265;92,9075012;0,2548309;148,899292;4,75;0,0181049;15,1637487;6,1075792;43,9410019;14,9036903;18,5100842;17,9460545;45,8568115;1,8265526;1,7334628;12,3174;83,95961;0,1784444;144,6975555;8,7519531;9e-07;20,645237;0,0258444;50,5132103;8,7659655;13,9217634;14,5251198;71,2983627;1,8354086;2,0327864;12,2796974;77,6173248;0,1889289;134,0128021;9,6347656;1e-07;19,1401348;0,004553;55,910553;9,0704565;13,0758991;11,8796787;86,9877853;1,8461449;2,3945885;12,2538815;73,2613831;0,1812167;139,6251678;9,9824219;1e-07;19,9440784;0,002373;60,5869179;6,6890669;15,1310511;13,1391182;92,1438751;1,8549231;2,6046033;12,2558088;72,6764069;0,1560358;135,943924;10,0820312;0;19,4186745;0,0018868;63,3679619;2005-01-01
"3";14,9502115;19,9326725;18,7140293;43,6700935;4,2221236;2,6858957;25,3800907;49,9641495;1,4538997;418,9063416;4,921875;0,1129182;44,8785706;14,965188;13,7537642;15,9260445;21,8067055;19,2633762;57,6989288;3,1445508;1,3041443;26,1213589;66,3727493;1,3898908;549,1571045;4,7363281;0,2365952;55,6872787;22,7637482;29,6221485;25,5314789;30,0931454;24,8674831;48,7543449;2,4464843;1,0074271;27,9189835;88,4195938;1,3861916;580,3665161;4,8144531;0,184001;60,2772141;22,6322918;46,1696129;9,3837576;16,2183933;14,9019709;50,4735489;1,6966143;1,7864445;13,0517817;89,9169388;0,6612142;291,9924622;4,5957031;0,0383842;28,2793655;13,4338417;49,0789185;16,7145023;20,7583065;19,6540833;50,2837372;1,7217258;3,4212692;13,2027864;91,6949615;0,3882847;291,3851929;5,2890625;0,0032643;34,1528931;7,4735632;53,3875427;8,5351305;13,5576382;14,8316469;71,5356827;1,7950538;3,7454882;13,1442556;87,0171585;0,4172371;240,7575226;5,1347656;0,0050303;27,2541008;7,1398339;57,6362076;8,6245384;12,4408255;11,992959;86,791153;1,8417965;4,5000348;13,1374168;82,6254883;0,3808542;269,0150146;6,0878906;0,0004542;35,567646;2,8630686;62,3173599;6,2619133;14,1598835;13,1491642;92,2106476;1,8702922;4,8649068;13,1497364;81,4344482;0,3046706;259,0100403;9,2050781;3e-07;36,9813499;0,0200829;65,0456924;2005-02-01
"4";21,6109562;28,7784119;23,6376419;56,2115135;5,4511123;4,7545848;28,0229187;72,6426315;2,2559454;686,9405518;4,8320312;0,1741611;71,7198181;26,4145527;13,1414709;24,5322819;33,5851402;25,5373993;75,3938217;4,481473;2,5412195;29,6480598;82,0729218;2,2522984;1109,0853271;4,6289062;0,4357836;108,6227798;49,8179741;32,9044418;38,6250076;45,5182838;32,2395172;64,1539154;2,9412796;1,5177922;30,8358116;102,176384;2,5137613;1337,2713623;4,6660156;0,3824573;132,5865326;58,4522667;57,1130753;11,8340921;20,4559765;16,9494267;57,1474571;1,5454377;3,153393;13,137557;91,4146652;1,3438104;594,9876709;4,5214844;0,0570117;56,1599579;28,8382835;60,1539383;23,1035461;28,6890793;23,5451775;60,1379166;1,6569891;8,2500505;13,6364441;106,8397675;0,8953411;653,6400757;4,9921875;0,0081995;71,378624;21,998539;62,5605202;10,6961079;16,9903412;17,0009537;81,6854248;1,854916;8,2632036;13,6732674;100,1414108;1,1978335;468,7070007;4,8496094;0,0136315;49,1886749;17,7694721;66,9363098;12,3346825;17,7850971;14,9061861;107,3106918;2,027494;11,1393528;14,127141;95,0203171;1,3203118;701,8273926;5,0742188;0,0065188;78,2792282;21,9818459;75,177063;8,1425686;18,4070396;15,57376;109,1392365;2,0729294;11,6844492;14,0816822;93,7163773;1,2623113;626,9665527;5,2285156;0,0041409;72,5260544;17,0405979;76,8114471;2005-03-01
"5";35,4340401;47,1433411;32,4279556;76,5567322;4,9213967;4,5871472;31,1722679;86,8880157;3,608211;1457,5002441;4,7929688;0,233385;150,4013824;57,8129692;27,0120316;41,4053841;56,6778107;35,0990486;103,4956131;0;0;32,1681519;108,0918808;3,3747451;2284,7436523;4,5078125;0,8876512;214,6096191;111,7823334;63,197998;63,6386871;74,9906158;43,2531967;87,2372513;0;0;32,4820518;141,83461;2,9144578;2644,0109863;4,5332031;0,7917136;250,5974121;127,1184845;103,9362869;15,1624355;26,2127781;19,3451424;65,1765594;0,0154739;0,0646362;13,6436014;99,4988022;1,2105156;903,7335205;4,4316406;0,0935;82,5739822;46,5308228;84,8865967;26,3843422;32,7635994;25,4193993;65,1581039;0,7315286;6,6539321;13,4332409;58,1518173;0,3812614;1023,9473267;5,8320312;0,0008871;131,5119171;14,7662697;77,0302658;13,4249935;21,3248978;19,1859493;92,0579376;0,8880733;6,097775;13,3469677;106,3474426;0,8294569;726,8342285;4,7441406;0,0210579;73,885025;29,9484348;79,6941071;18,149128;26,1531982;18,221487;130,7415771;1,0893764;9,045722;13,9694271;108,6617737;0,9742453;1165,256958;4,9003906;0,0118159;124,0866776;42,3786049;92,3742065;11,9776087;27,0587234;19,3120174;135,2450562;1,300545;11,0375748;14,1080933;111,1021347;0,8064727;1078,1791992;4,9589844;0,0099039;116,6937714;37,3318253;94,9305954;2005-04-01
"6";53,5429382;71,1694717;38,9645004;91,125412;0;0,0452961;28,4417229;91,8228607;6,9009442;2744,2272949;4,6210938;0,4734153;268,0655823;123,9669495;48,3171692;79,8724594;109,3385925;51,5981979;153,8510437;0;0;31,5254345;163,1656647;2,8876784;4842,1806641;4,390625;1,8770257;435,7032471;256,0368652;181,5658112;113,6399689;133,9166565;59,9350052;122,110733;0;0;29,5104237;233,2963562;0;4639,2617188;4,5292969;0,8674371;439,1017151;223,6499176;255,6377106;29,1937332;50,473465;33,7734489;114,1756973;0;0;20,4442616;173,272995;2,5335243;2032,0288086;4,3261719;0,2695173;178,3885345;111,9013062;206,8175659;43,3909492;53,8726311;35,089859;89,9260254;0,0968544;2,6368694;14,4356565;95,2663269;0,6068807;2145,7971191;4,7792969;0,0211667;220,5084534;86,0339813;107,8396301;19,6313515;31,1809158;24,3087788;116,8341446;0;0;13,6558323;131,6398468;1,674118;1263,3288574;4,546875;0,057649;120,3120804;60,1634712;106,252449;24,423233;35,1744347;21,0833721;151,8608398;0;0;13,2645483;122,8562851;0;1438,2098389;4,9628906;0,0094562;155,8257446;49,6328316;114,8432465;16,7089939;37,7228699;23,247221;164,1785278;0;0;13,5359545;134,1474457;0;1282,560791;5,1230469;0,0061125;144,7794189;38,4435425;122,3218231;2005-05-01
"7";105,9491425;140,7227783;62,731041;145,8623505;0;0;38,8807907;134,4229584;14,4853992;6351,2299805;4,4003906;1,9516275;573,5925903;333,7261353;128,9842834;129,3507233;177,1244965;66,8461151;201,7737579;0;0;35,2116661;221,2187347;3,0540545;7965,5498047;4,3007812;3,2659774;692,3850708;445,5506287;367,1018372;109,4338226;128,9815216;44,4053841;91,3690643;0;0;17,2838593;218,7499847;0;4175,3354492;4,5058594;0,557387;391,9230652;204,5534973;343,1418457;35,4435997;61,2927094;31,2687397;107,455864;0;0;14,0728683;194,8178253;0;1996,4747314;4,2988281;0,2233688;173,4053497;111,8053513;347,2265625;60,2192917;74,7606049;40,2763252;103,7521591;0;0;14,2617235;109,3747101;0;2342,6520996;5,40625;0,0027951;281,1534119;53,5111504;145,2755127;25,9686394;41,2480774;28,7737465;139,9360199;0;0;15,1318226;152,2342224;0;1559,1594238;4,6289062;0,0409773;152,7026062;70,0344467;151,5252991;27,5057526;39,6017265;21,2223797;153,9684906;0;0;12,3413563;126,5276718;0;1388,3049316;5,3105469;0,0030117;163,4574127;34,8718567;129,1486053;17,4361229;39,3450279;20,9614124;149,8687286;0;0;11,1012802;125,7812576;0;1154,3046875;5,4589844;0,0019046;139,9123383;24,9883461;123,0676117;2005-06-01
"8";149,4843597;198,6080017;61,7022285;146,473114;0;0;24,0699635;151,7452087;0;7327,2607422;4,6933594;0,3060952;732,9470825;313,8045044;298,6813049;124,2653427;170,2398529;48,050972;148,1679993;0;0;16,3059559;203,125;0;7168,9951172;4,2539062;2,3208416;611,6705933;412,4716492;485,0110474;101,1201706;119,2148666;42,691288;87,9926224;0;0;16,2327137;225;0;3757,8017578;4,4765625;0,6504775;349,0387573;187,7901611;447,226593;31,8864212;55,1595306;26,4282284;91,6331024;0;0;10,5818281;193,75;0;1557,2502441;4,2578125;0,2266721;133,0750427;89,3892975;451,106781;65,578392;81,4071884;37,116436;95,9771576;0;0;10,532999;200;0;1991,2542725;4,9785156;0,00753;216,6568298;67,8080902;154,8202209;24,8843193;39,527874;24,2041874;119,272934;0;0;10,5393639;145,5078125;0;1403,2434082;4,5527344;0,0438489;133,9098816;66,5534821;160,5764771;27,2530518;39,23489;20,3888302;148,6142426;0;0;11,2999554;123,4374847;0;1249,4743652;5,7128906;0,0010155;157,8808899;20,6154499;135,4711304;16,4498901;37,1169853;20,3366432;146,0278931;0;0;10,7960663;126,1718826;0;1038,8741455;5,5722656;0,0014328;128,4349365;19,9756584;123,9273758;2005-07-01
"9";149,7361908;199,0740814;52,8912506;127,2531281;0;0;17,4850502;140,625;0;6594,534668;4,9570312;0,0809748;713,3624268;228,7139587;440,2397766;112,5125732;154,2413635;45,7399368;141,5175629;0;0;17,0709152;204,6875;0;6452,0952148;4,2382812;2,5515277;547,0588989;374,6690369;616,5159912;95,6631775;112,8105698;41,5328445;85,7235565;0;0;17,0709152;224,609375;0;3382,0214844;4,5097656;0,5461667;317,8996582;165,2463226;566,6888428;29,0928001;50,3446579;25,2408581;87,9346466;0;0;10,8682432;192,1875;0;1214,6551514;4,3203125;0,1562582;106,3900146;67,132164;573,3809204;65,5902557;81,4228287;37,0980949;96,0073929;0;0;10,782794;173,4375;0;1692,5661621;6,5898438;0,0001295;232,3847809;9,4103765;162,8151245;22,7841053;36,1949196;23,1436024;114,5088425;0;0;10,7879658;146,875;0;1262,9190674;4,5058594;0,0557387;118,5454636;61,8715477;171,9706726;26,4004745;38,0082054;20,0572376;146,5444946;0;0;11,4059458;125,0000153;0;1124,5268555;6,0742188;0,0004302;148,4767914;12,1699152;142,3951111;15,537282;35,0547829;19,7417336;142,3486938;0;0;11,0262899;125,9765549;0;934,9866943;5,6699219;0,0011272;117,3932571;16,1762657;124,894783;2005-08-01
"10";157,489151;209,370285;66,2561111;165,4735565;0;0;28,1528492;255,0300446;0;5282,1450195;5,6171875;0,0191816;657,8046875;96,7875214;440,9451904;101,7457352;139,5577393;43,5068474;135,0356293;0;0;17,0709152;203,90625;0;5806,8857422;4,2265625;2,7405355;490,0278931;339,5272522;715,0759888;88,7310104;104,6591568;40,0039864;82,6964722;0;0;17,0709152;212,5;0;3043,8190918;4,5625;0,4175879;291,4541321;143,3771667;656,4837646;26,0072117;45,0189514;23,8621292;83,5035095;0;0;10,8682432;193,75;0;947,4309692;4,3164062;0,1598825;82,8579941;52,489296;673,0001831;65,3340225;81,1057053;37,0065994;95,8419113;0;0;10,782794;175;0;1438,6812744;9,6132812;1e-07;205,4749451;0,0509612;168,5149078;21,2707672;33,7930679;22,3474216;110,9227371;0;0;10,7879658;146,875;0;1136,6270752;4,5039062;0,0563096;106,6166;55,7587013;181,5802917;25,5791798;36,8270264;19,7341805;144,5070648;0;0;11,4059458;124,4140472;0;1012,0739746;7,0957031;4,03e-05;141,8365936;2,7454028;148,749939;14,7116194;33,1897087;19,1907806;138,9052429;0;0;11,0262899;126,1718826;0;841,4879761;5,78125;0,0008613;107,3537598;12,858819;125,8237076;2005-09-01
"11";134,7816467;179,2089691;55,8432884;140,3504791;1,0293133;0,7534166;25,1306839;227,7559204;2,5580845;4657,3637695;5,3398438;0,0322091;551,6669312;113,6707916;406,7789917;91,711319;125,8421783;41,3205643;128,5831757;0;0;20,0046234;204,296875;0,2587503;5226,1972656;4,1914062;3,4022412;434,7475586;311,8520813;769,6583252;80,8042831;95,3305588;38,1885262;79,0374603;0;0;20,0046234;213,671875;0;2739,4367676;4,4570312;0,7223599;252,6487579;138,6993713;706,7953491;22,5145779;38,9823952;22,2068577;77,9846039;0;0;11,8706961;190,625;0,536581;738,9961548;4,2675781;0,2137242;63,3975334;42,1733475;732,9196777;64,8082428;80,4544296;36,8580933;95,4775467;0;0;11,7852468;162,5;0;1222,8791504;10,1855469;0;174,6833038;0,0137344;171,9132385;20,0536137;31,8608913;21,7003403;107,9194107;0;0;11,7862415;143,75;0;1022,9644165;4,5195312;0,0519234;96,4893341;49,6484299;187,3587646;24,699419;35,5674248;19,39324;142,2605743;0;0;11,9050837;124,609375;0;910,8665161;8,9335938;6e-07;130,0068359;0,1169602;153,5011749;13,9494295;31,4764614;18,6887112;135,6110229;0;0;11,8320732;125,9765549;0;757,3391113;5,8144531;0,0007954;97,0475235;11,1437807;126,5395126;2005-10-01
