"";"Ca_L1";"Mg_L1";"K_L1";"Na_L1";"Al_L1";"Si_L1";"P_L1";"Ca_L2";"Mg_L2";"K_L2";"Na_L2";"Al_L2";"Si_L2";"P_L2";"Ca_L3";"Mg_L3";"K_L3";"Na_L3";"Al_L3";"Si_L3";"P_L3";"Ca_L4";"Mg_L4";"K_L4";"Na_L4";"Al_L4";"Si_L4";"P_L4";"Ca_L5";"Mg_L5";"K_L5";"Na_L5";"Al_L5";"Si_L5";"P_L5";"Ca_L6";"Mg_L6";"K_L6";"Na_L6";"Al_L6";"Si_L6";"P_L6";"Ca_L7";"Mg_L7";"K_L7";"Na_L7";"Al_L7";"Si_L7";"P_L7";"Ca_L8";"Mg_L8";"K_L8";"Na_L8";"Al_L8";"Si_L8";"P_L8";"Date";"Total_Ca"
"3";0,0264309;0,0283305;0,0519666;0,0073797;0,1836931;0,2825879;0,0028148;0,0193039;0,0216995;0,0389445;0,0055046;0,1362144;0,2103895;0,0018429;0,018256;0,0202505;0,036498;0,0051992;0,128194;0,1977611;0,001743;0,0230479;0,0230588;0,0140754;0,0110438;0,090335;0,1876466;0,0025947;0,0003506;0,0003272;0,0001967;0,000174;0,0013186;0,0027553;3,92e-05;0,0027971;0,002701;0,0016607;0,0013884;0,0108713;0,0225628;0,0003109;0,0039534;0,0037897;0,0023178;0,0019402;0,0151817;0,0315942;0,0004438;0,0030245;0,0029476;0,0018162;0,0014765;0,0117586;0,0244157;0,0003401;2005-01-01;0,0971643
"4";0,0216256;0,0237618;0,0429379;0,0061526;0,1512226;0,2331;0,0020726;0,0207636;0,0223919;0,0409573;0,0058499;0,1447366;0,2226964;0,0020898;0,0190426;0,0206088;0,0377181;0,00536;0,1331004;0,2048376;0,0019261;0,0287952;0,0272777;0,0165833;0,0142698;0,1098577;0,2288648;0,0032171;0,0003329;0,0003112;0,0001871;0,0001646;0,0012518;0,0026161;3,74e-05;0,0029471;0,0027962;0,0017023;0,0014608;0,0112684;0,0234617;0,0003296;0,0036628;0,0034986;0,0021352;0,0017976;0,0140204;0,0291961;0,0004114;0,0029088;0,0028039;0,0017199;0,0014251;0,0112181;0,0233271;0,0003267;2005-02-01;0,1000786
"5";0,0296139;0,0326021;0,0595403;0,008364;0,2085099;0,3212903;0,0029802;0,025934;0,0286652;0,0525794;0,0072885;0,1836478;0,2830073;0,0026772;0,0239879;0,0266995;0,0490726;0,0067164;0,1708012;0,2633303;0,0025331;0,0360062;0,0341503;0,0207556;0,017704;0,1371585;0,285833;0,0040541;0,0004242;0,0003958;0,000237;0,0002076;0,001584;0,0033164;4,79e-05;0,0037268;0,0035315;0,0021445;0,0018322;0,0141778;0,0295564;0,0004193;0,0042866;0,0040861;0,0024898;0,002099;0,0163668;0,034099;0,0004829;0,0034363;0,0032997;0,0020203;0,0016817;0,0132106;0,0274837;0,0003872;2005-03-01;0,1274159
"6";0,0294516;0,0427017;0,0738304;0,0082348;0,2362268;0,3728781;0,0035775;0,0336584;0,0400968;0,0734593;0,0094762;0,248524;0,3849531;0,0035849;0,0329288;0,039106;0,0724316;0,0091758;0,2446476;0,3786422;0,0036756;0,0518614;0,0491484;0,0296818;0,0248834;0,1949763;0,4078231;0,0058964;0,0005422;0,0005148;0,0003114;0,0002603;0,0020413;0,0042688;6,15e-05;0,0049259;0,0047254;0,0028825;0,0023661;0,0187536;0,0391171;0,0005603;0,0048319;0,0046485;0,0028452;0,0023364;0,0185162;0,0385559;0,0005489;0,0039008;0,0037757;0,0023197;0,001884;0,0150295;0,0312598;0,0004438;2005-04-01;0,162101
"7";0,0404832;0,0639626;0,1104702;0,0111845;0,3424917;0,5440367;0,0054334;0,0512995;0,0641445;0,11966;0,014259;0,3947619;0,6127016;0,0059497;0,0447437;0,0564845;0,1050317;0,0124897;0,3461735;0,5376413;0,0050465;0,086911;0,082008;0,0489068;0,040507;0,3197317;0,6730864;0,0098693;0,0007442;0,000725;0,0004457;0,0003487;0,0028459;0,0059337;8,58e-05;0,0073628;0,0071449;0,0043788;0,0034519;0,0280359;0,0585174;0,0008459;0,0065064;0,0063487;0,0039132;0,0030811;0,0250695;0,0521581;0,0007495;0,0053132;0,0052043;0,0032133;0,0025108;0,0205159;0,0426704;0,0006132;2005-05-01;0,243364
"8";0,0552448;0,0842566;0,1498733;0,0153412;0,4655831;0,7354959;0,0071565;0,0594677;0,0851338;0,1604477;0,0159909;0,501;0,7843807;0,0085255;0,0509981;0,0676668;0,1263271;0,0142284;0,4089245;0,6367996;0,0058062;0,1097769;0,1046817;0,0625037;0,0498795;0,4042448;0,8512576;0,0125559;0,0010011;0,0009727;0,000596;0,0004642;0,0038149;0,0079599;0,0001149;0,0097477;0,009437;0,0057643;0,0045189;0,0369125;0,0771557;0,0011163;0,008799;0,0085026;0,005194;0,0041215;0,0335232;0,0699177;0,001011;0,0072435;0,0070056;0,004285;0,0033968;0,0276152;0,0575904;0,0008321;2005-06-01;0,3022788
"9";0,0844018;0,115896;0,2190954;0,0233196;0,6968508;1,0865661;0,0102913;0,052604;0,0851777;0,1576149;0,0131689;0,4706464;0,7460063;0,0103302;0,0590489;0,079477;0,1485409;0,0164699;0,4777526;0,7446104;0,0068072;0,1198201;0,115703;0,0701799;0,0547976;0,4499474;0,9427516;0,0136636;0,0009544;0,0009627;0,0006061;0,000437;0,0037724;0,0078029;0,0001134;0,0102035;0,0101046;0,0062852;0,0046955;0,0395602;0,082215;0,0011888;0,0089105;0,0088474;0,0055286;0,0041606;0,0350314;0,0725033;0,0010395;0,0075478;0,0074793;0,004667;0,0035256;0,0296186;0,0613269;0,0008788;2005-07-01;0,343491
"10";0,0821662;0,1157624;0,21557;0,0229227;0,6841115;1,0695188;0,0095248;0,0575164;0,0949363;0,1759118;0,0143337;0,5218617;0,8280711;0,0114993;0,064261;0,0885114;0,1648006;0,0179303;0,5255917;0,8207146;0,0075304;0,1381353;0,1335749;0,0811234;0,0629376;0,5179784;1,0860423;0,0156864;0,0010266;0,0010513;0,0006654;0,0004608;0,0040808;0,0084336;0,0001247;0,0143299;0,0138927;0,0084496;0,0065163;0,0539024;0,1129234;0,0016298;0,0099568;0,0099606;0,006251;0,0046069;0,0392749;0,0812453;0,001169;0,0080023;0,0080562;0,0050745;0,003693;0,0317402;0,0655754;0,0009463;2005-08-01;0,3753945
"11";0,0418937;0,0705754;0,1209459;0,0114589;0,3703715;0,5911169;0,0057883;0,0441946;0,0708261;0,1301357;0,0109551;0,3903603;0,6191391;0,0089074;0,0460438;0,0635943;0,1165442;0,01288;0,3734345;0,5840681;0,0053231;0,1080485;0,1046392;0,0638477;0,0497696;0,4080114;0,8536382;0,012342;0,0007855;0,0008137;0,0005149;0,0003496;0,0031396;0,006483;9,7e-05;0,0112816;0,0109479;0,0066883;0,0051915;0,0427524;0,0893568;0,0012898;0,0092721;0,0093388;0,00588;0,0042702;0,0367252;0,0759087;0,0010984;0,0077351;0,0077929;0,0049076;0,0035625;0,0306495;0,0633442;0,0009165;2005-09-01;0,2692549
"12";0,0258765;0,0380759;0,0652889;0,0072258;0,2103001;0,332348;0,0030059;0,0285822;0,0421291;0,077302;0,0073601;0,2402114;0,3785155;0,0048908;0,0273496;0,0350958;0,063529;0,0077122;0,2107416;0,3282703;0,0028833;0,065352;0,0625516;0,0379799;0,0309165;0,2470747;0,5162091;0,0074798;0,0004636;0,0004785;0,0003011;0,0002126;0,0018655;0,0038457;5,62e-05;0,0068888;0,006603;0,0040097;0,0032503;0,0261112;0,054507;0,0007918;0,0070757;0,0070989;0,0044619;0,0033102;0,0281037;0,0580292;0,000835;0,0059524;0,0059647;0,0037471;0,0027867;0,0236239;0,0487864;0,0007016;2005-10-01;0,1675408
